edition	language	directory	named_functions	functions	named_variables	variables
ABW	nl	나라/ABW/posix-ABW	4	107	11	117
AFG	fa	나라/AFG/posix-AFG	4	107	0	117
AGO	pt	나라/AGO/posix-AGO	49	107	11	117
AIA	en	나라/AIA/posix-AIA	107	107	117	117
ALA	sv	나라/ALA/posix-ALA	4	107	11	117
ALB	sq	나라/ALB/posix-ALB	4	107	0	117
AND	ca	나라/AND/posix-AND	4	107	0	117
ARE	ar	나라/ARE/posix-ARE	49	107	11	117
ARG	es	나라/ARG/posix-ARG	49	107	11	117
ARM	hy	나라/ARM/posix-ARM	4	107	0	117
ASM	sm	나라/ASM/posix-ASM	2	107	0	117
ATA	und	나라/ATA/posix-ATA	0	107	0	117
ATF	fr	나라/ATF/posix-ATF	49	107	11	117
ATG	en	나라/ATG/posix-ATG	107	107	117	117
AUS	en	나라/AUS/posix-AUS	107	107	117	117
AUT	de	나라/AUT/posix-AUT	49	107	11	117
AZE	az_Latn	나라/AZE/posix-AZE	4	107	0	117
BDI	rn	나라/BDI/posix-BDI	2	107	0	117
BEL	nl	나라/BEL/posix-BEL	4	107	11	117
BEN	fr	나라/BEN/posix-BEN	49	107	11	117
BES	nl	나라/BES/posix-BES	4	107	11	117
BFA	fr	나라/BFA/posix-BFA	49	107	11	117
BGD	bn	나라/BGD/posix-BGD	2	107	11	117
BGR	bg	나라/BGR/posix-BGR	4	107	0	117
BHR	ar	나라/BHR/posix-BHR	49	107	11	117
BHS	en	나라/BHS/posix-BHS	107	107	117	117
BIH	bs_Cyrl	나라/BIH/posix-BIH	4	107	0	117
BLM	fr	나라/BLM/posix-BLM	49	107	11	117
BLR	be	나라/BLR/posix-BLR	4	107	0	117
BLZ	en	나라/BLZ/posix-BLZ	107	107	117	117
BMU	en	나라/BMU/posix-BMU	107	107	117	117
BOL	es	나라/BOL/posix-BOL	49	107	11	117
BRA	pt	나라/BRA/posix-BRA	49	107	11	117
BRB	en	나라/BRB/posix-BRB	107	107	117	117
BRN	ms_Latn	나라/BRN/posix-BRN	4	107	0	117
BTN	dz	나라/BTN/posix-BTN	2	107	0	117
BVT	und	나라/BVT/posix-BVT	0	107	0	117
BWA	en	나라/BWA/posix-BWA	107	107	117	117
CAF	fr	나라/CAF/posix-CAF	49	107	11	117
CAN	en	나라/CAN/posix-CAN	107	107	117	117
CCK	en	나라/CCK/posix-CCK	107	107	117	117
CHE	de	나라/CHE/posix-CHE	49	107	11	117
CHL	es	나라/CHL/posix-CHL	49	107	11	117
CHN	zh_Hans	나라/CHN/posix-CHN	107	107	117	117
CIV	fr	나라/CIV/posix-CIV	49	107	11	117
CMR	fr	나라/CMR/posix-CMR	49	107	11	117
COD	fr	나라/COD/posix-COD	49	107	11	117
COG	fr	나라/COG/posix-COG	49	107	11	117
COK	en	나라/COK/posix-COK	107	107	117	117
COL	es	나라/COL/posix-COL	49	107	11	117
COM	ar	나라/COM/posix-COM	49	107	11	117
CPV	pt	나라/CPV/posix-CPV	49	107	11	117
CRI	es	나라/CRI/posix-CRI	49	107	11	117
CUB	es	나라/CUB/posix-CUB	49	107	11	117
CUW	pap	나라/CUW/posix-CUW	2	107	0	117
CXR	en	나라/CXR/posix-CXR	107	107	117	117
CYM	en	나라/CYM/posix-CYM	107	107	117	117
CYP	el	나라/CYP/posix-CYP	4	107	0	117
CZE	cs	나라/CZE/posix-CZE	4	107	11	117
DEU	de	나라/DEU/posix-DEU	49	107	11	117
DJI	ar	나라/DJI/posix-DJI	49	107	11	117
DMA	en	나라/DMA/posix-DMA	107	107	117	117
DNK	da	나라/DNK/posix-DNK	4	107	0	117
DOM	es	나라/DOM/posix-DOM	49	107	11	117
DZA	ar	나라/DZA/posix-DZA	49	107	11	117
ECU	es	나라/ECU/posix-ECU	49	107	11	117
EGY	ar	나라/EGY/posix-EGY	49	107	11	117
ERI	ti	나라/ERI/posix-ERI	2	107	0	117
ESH	ar	나라/ESH/posix-ESH	49	107	11	117
ESP	es	나라/ESP/posix-ESP	49	107	11	117
EST	et	나라/EST/posix-EST	4	107	0	117
ETH	am	나라/ETH/posix-ETH	4	107	0	117
FIN	fi	나라/FIN/posix-FIN	4	107	11	117
FJI	en	나라/FJI/posix-FJI	107	107	117	117
FLK	en	나라/FLK/posix-FLK	107	107	117	117
FRA	fr	나라/FRA/posix-FRA	49	107	11	117
FRO	fo	나라/FRO/posix-FRO	2	107	0	117
FSM	en	나라/FSM/posix-FSM	107	107	117	117
GAB	fr	나라/GAB/posix-GAB	49	107	11	117
GBR	en	나라/GBR/posix-GBR	107	107	117	117
GEO	ka	나라/GEO/posix-GEO	4	107	0	117
GGY	en	나라/GGY/posix-GGY	107	107	117	117
GHA	en	나라/GHA/posix-GHA	107	107	117	117
GIB	en	나라/GIB/posix-GIB	107	107	117	117
GIN	fr	나라/GIN/posix-GIN	49	107	11	117
GLP	fr	나라/GLP/posix-GLP	49	107	11	117
GMB	en	나라/GMB/posix-GMB	107	107	117	117
GNB	pt	나라/GNB/posix-GNB	49	107	11	117
GNQ	es	나라/GNQ/posix-GNQ	49	107	11	117
GRC	el	나라/GRC/posix-GRC	4	107	0	117
GRD	en	나라/GRD/posix-GRD	107	107	117	117
GRL	kl	나라/GRL/posix-GRL	2	107	0	117
GTM	es	나라/GTM/posix-GTM	49	107	11	117
GUF	fr	나라/GUF/posix-GUF	49	107	11	117
GUM	en	나라/GUM/posix-GUM	107	107	117	117
GUY	en	나라/GUY/posix-GUY	107	107	117	117
HKG	zh_Hant	나라/HKG/posix-HKG	107	107	117	117
HMD	und	나라/HMD/posix-HMD	0	107	0	117
HND	es	나라/HND/posix-HND	49	107	11	117
HRV	hr	나라/HRV/posix-HRV	4	107	0	117
HTI	ht	나라/HTI/posix-HTI	2	107	0	117
HUN	hu	나라/HUN/posix-HUN	4	107	0	117
IDN	id	나라/IDN/posix-IDN	4	107	11	117
IMN	en	나라/IMN/posix-IMN	107	107	117	117
IND	hi	나라/IND/posix-IND	49	107	11	117
IOT	en	나라/IOT/posix-IOT	107	107	117	117
IRL	en	나라/IRL/posix-IRL	107	107	117	117
IRN	fa	나라/IRN/posix-IRN	4	107	0	117
IRQ	ar	나라/IRQ/posix-IRQ	49	107	11	117
ISL	is	나라/ISL/posix-ISL	4	107	0	117
ISR	he	나라/ISR/posix-ISR	4	107	0	117
ITA	it	나라/ITA/posix-ITA	4	107	11	117
JAM	en	나라/JAM/posix-JAM	107	107	117	117
JEY	en	나라/JEY/posix-JEY	107	107	117	117
JOR	ar	나라/JOR/posix-JOR	49	107	11	117
JPN	ja	나라/JPN/posix-JPN	107	107	117	117
KAZ	ru	나라/KAZ/posix-KAZ	49	107	11	117
KEN	sw	나라/KEN/posix-KEN	2	107	0	117
KGZ	ky_Cyrl	나라/KGZ/posix-KGZ	4	107	0	117
KHM	km	나라/KHM/posix-KHM	2	107	0	117
KIR	en	나라/KIR/posix-KIR	107	107	117	117
KNA	en	나라/KNA/posix-KNA	107	107	117	117
KOR	ko	나라/KOR/posix-KOR	107	107	117	117
KWT	ar	나라/KWT/posix-KWT	49	107	11	117
LAO	lo	나라/LAO/posix-LAO	2	107	0	117
LBN	ar	나라/LBN/posix-LBN	49	107	11	117
LBR	en	나라/LBR/posix-LBR	107	107	117	117
LBY	ar	나라/LBY/posix-LBY	49	107	11	117
LCA	en	나라/LCA/posix-LCA	107	107	117	117
LIE	de	나라/LIE/posix-LIE	49	107	11	117
LKA	si	나라/LKA/posix-LKA	2	107	0	117
LSO	st	나라/LSO/posix-LSO	2	107	0	117
LTU	lt	나라/LTU/posix-LTU	4	107	0	117
LUX	fr	나라/LUX/posix-LUX	49	107	11	117
LVA	lv	나라/LVA/posix-LVA	4	107	0	117
MAC	zh_Hant	나라/MAC/posix-MAC	107	107	117	117
MAF	fr	나라/MAF/posix-MAF	49	107	11	117
MAR	ar	나라/MAR/posix-MAR	49	107	11	117
MCO	fr	나라/MCO/posix-MCO	49	107	11	117
MDA	ro	나라/MDA/posix-MDA	4	107	0	117
MDG	mg	나라/MDG/posix-MDG	4	107	0	117
MDV	dv	나라/MDV/posix-MDV	2	107	0	117
MEX	es	나라/MEX/posix-MEX	49	107	11	117
MHL	en	나라/MHL/posix-MHL	107	107	117	117
MKD	mk	나라/MKD/posix-MKD	4	107	0	117
MLI	fr	나라/MLI/posix-MLI	49	107	11	117
MLT	mt	나라/MLT/posix-MLT	2	107	0	117
MMR	my	나라/MMR/posix-MMR	2	107	0	117
MNE	sr_Latn	나라/MNE/posix-MNE	4	107	0	117
MNG	mn_Cyrl	나라/MNG/posix-MNG	4	107	0	117
MNP	en	나라/MNP/posix-MNP	107	107	117	117
MOZ	pt	나라/MOZ/posix-MOZ	49	107	11	117
MRT	ar	나라/MRT/posix-MRT	49	107	11	117
MSR	en	나라/MSR/posix-MSR	107	107	117	117
MTQ	fr	나라/MTQ/posix-MTQ	49	107	11	117
MUS	en	나라/MUS/posix-MUS	107	107	117	117
MWI	en	나라/MWI/posix-MWI	107	107	117	117
MYS	ms_Latn	나라/MYS/posix-MYS	4	107	0	117
MYT	fr	나라/MYT/posix-MYT	49	107	11	117
NAM	en	나라/NAM/posix-NAM	107	107	117	117
NCL	fr	나라/NCL/posix-NCL	49	107	11	117
NER	fr	나라/NER/posix-NER	49	107	11	117
NFK	en	나라/NFK/posix-NFK	107	107	117	117
NGA	en	나라/NGA/posix-NGA	107	107	117	117
NIC	es	나라/NIC/posix-NIC	49	107	11	117
NIU	en	나라/NIU/posix-NIU	107	107	117	117
NLD	nl	나라/NLD/posix-NLD	4	107	11	117
NOR	nb	나라/NOR/posix-NOR	4	107	0	117
NPL	ne	나라/NPL/posix-NPL	2	107	0	117
NRU	en	나라/NRU/posix-NRU	107	107	117	117
NZL	en	나라/NZL/posix-NZL	107	107	117	117
OMN	ar	나라/OMN/posix-OMN	49	107	11	117
PAK	ur	나라/PAK/posix-PAK	4	107	11	117
PAN	es	나라/PAN/posix-PAN	49	107	11	117
PCN	en	나라/PCN/posix-PCN	107	107	117	117
PER	es	나라/PER/posix-PER	49	107	11	117
PHL	en	나라/PHL/posix-PHL	107	107	117	117
PLW	pau	나라/PLW/posix-PLW	2	107	0	117
PNG	tpi	나라/PNG/posix-PNG	2	107	0	117
POL	pl	나라/POL/posix-POL	4	107	11	117
PRI	es	나라/PRI/posix-PRI	49	107	11	117
PRK	ko	나라/PRK/posix-PRK	107	107	117	117
PRT	pt	나라/PRT/posix-PRT	49	107	11	117
PRY	gn	나라/PRY/posix-PRY	2	107	0	117
PSE	ar	나라/PSE/posix-PSE	49	107	11	117
PYF	fr	나라/PYF/posix-PYF	49	107	11	117
QAT	ar	나라/QAT/posix-QAT	49	107	11	117
REU	fr	나라/REU/posix-REU	49	107	11	117
ROU	ro	나라/ROU/posix-ROU	4	107	0	117
RUS	ru	나라/RUS/posix-RUS	49	107	11	117
RWA	rw	나라/RWA/posix-RWA	4	107	0	117
SAU	ar	나라/SAU/posix-SAU	49	107	11	117
