edition	language	named_declarations	declarations	pending_c_identifiers
ABW	nl	0	233	494
AFG	fa	0	233	505
AGO	pt	30	233	373
AIA	en	233	233	0
ALA	sv	0	233	494
ALB	sq	0	233	505
AND	ca	0	233	505
ARE	ar	30	233	373
ARG	es	30	233	373
ARM	hy	0	233	505
ASM	sm	0	233	509
ATA	und	0	233	513
ATF	fr	30	233	374
ATG	en	233	233	0
AUS	en	233	233	0
AUT	de	30	233	373
AZE	az_Latn	0	233	505
BDI	rn	0	233	509
BEL	nl	0	233	494
BEN	fr	30	233	374
BES	nl	0	233	494
BFA	fr	30	233	374
BGD	bn	0	233	498
BGR	bg	0	233	505
BHR	ar	30	233	373
BHS	en	233	233	0
BIH	bs_Cyrl	0	233	505
BLM	fr	30	233	374
BLR	be	0	233	505
BLZ	en	233	233	0
BMU	en	233	233	0
BOL	es	30	233	373
BRA	pt	30	233	373
BRB	en	233	233	0
BRN	ms_Latn	0	233	505
BTN	dz	0	233	509
BVT	und	0	233	513
BWA	en	233	233	0
CAF	fr	30	233	374
CAN	en	233	233	0
CCK	en	233	233	0
CHE	de	30	233	373
CHL	es	30	233	373
CHN	zh_Hans	233	233	0
CIV	fr	30	233	374
CMR	fr	30	233	374
COD	fr	30	233	374
COG	fr	30	233	374
COK	en	233	233	0
COL	es	30	233	373
COM	ar	30	233	373
CPV	pt	30	233	373
CRI	es	30	233	373
CUB	es	30	233	373
CUW	pap	0	233	509
CXR	en	233	233	0
CYM	en	233	233	0
CYP	el	0	233	505
CZE	cs	0	233	494
DEU	de	30	233	373
DJI	ar	30	233	373
DMA	en	233	233	0
DNK	da	0	233	505
DOM	es	30	233	373
DZA	ar	30	233	373
ECU	es	30	233	373
EGY	ar	30	233	373
ERI	ti	0	233	509
ESH	ar	30	233	373
ESP	es	30	233	373
EST	et	0	233	505
ETH	am	0	233	505
FIN	fi	0	233	494
FJI	en	233	233	0
FLK	en	233	233	0
FRA	fr	30	233	374
FRO	fo	0	233	509
FSM	en	233	233	0
GAB	fr	30	233	374
GBR	en	233	233	0
GEO	ka	0	233	505
GGY	en	233	233	0
GHA	en	233	233	0
GIB	en	233	233	0
GIN	fr	30	233	374
GLP	fr	30	233	374
