edition	directory	vm_name	entry_check
ABW	나라/ABW	worldos ABW	PASS
AFG	나라/AFG	worldos AFG	PASS
AGO	나라/AGO	worldos AGO	PASS
AIA	나라/AIA	worldos AIA	PASS
ALA	나라/ALA	worldos ALA	PASS
ALB	나라/ALB	worldos ALB	PASS
AND	나라/AND	worldos AND	PASS
ARE	나라/ARE	worldos ARE	PASS
ARG	나라/ARG	worldos ARG	PASS
ARM	나라/ARM	worldos ARM	PASS
ASM	나라/ASM	worldos ASM	PASS
ATA	나라/ATA	worldos ATA	PASS
ATF	나라/ATF	worldos ATF	PASS
ATG	나라/ATG	worldos ATG	PASS
AUS	나라/AUS	worldos AUS	PASS
AUT	나라/AUT	worldos AUT	PASS
AZE	나라/AZE	worldos AZE	PASS
BDI	나라/BDI	worldos BDI	PASS
BEL	나라/BEL	worldos BEL	PASS
BEN	나라/BEN	worldos BEN	PASS
BES	나라/BES	worldos BES	PASS
BFA	나라/BFA	worldos BFA	PASS
BGD	나라/BGD	worldos BGD	PASS
BGR	나라/BGR	worldos BGR	PASS
BHR	나라/BHR	worldos BHR	PASS
BHS	나라/BHS	worldos BHS	PASS
BIH	나라/BIH	worldos BIH	PASS
BLM	나라/BLM	worldos BLM	PASS
BLR	나라/BLR	worldos BLR	PASS
BLZ	나라/BLZ	worldos BLZ	PASS
BMU	나라/BMU	worldos BMU	PASS
BOL	나라/BOL	worldos BOL	PASS
BRA	나라/BRA	worldos BRA	PASS
BRB	나라/BRB	worldos BRB	PASS
BRN	나라/BRN	worldos BRN	PASS
BTN	나라/BTN	worldos BTN	PASS
BVT	나라/BVT	worldos BVT	PASS
BWA	나라/BWA	worldos BWA	PASS
CAF	나라/CAF	worldos CAF	PASS
CAN	나라/CAN	worldos CAN	PASS
CCK	나라/CCK	worldos CCK	PASS
CHE	나라/CHE	worldos CHE	PASS
CHL	나라/CHL	worldos CHL	PASS
CHN	나라/CHN	worldos CHN	PASS
CIV	나라/CIV	worldos CIV	PASS
CMR	나라/CMR	worldos CMR	PASS
COD	나라/COD	worldos COD	PASS
COG	나라/COG	worldos COG	PASS
COK	나라/COK	worldos COK	PASS
COL	나라/COL	worldos COL	PASS
COM	나라/COM	worldos COM	PASS
CPV	나라/CPV	worldos CPV	PASS
CRI	나라/CRI	worldos CRI	PASS
CUB	나라/CUB	worldos CUB	PASS
CUW	나라/CUW	worldos CUW	PASS
CXR	나라/CXR	worldos CXR	PASS
CYM	나라/CYM	worldos CYM	PASS
CYP	나라/CYP	worldos CYP	PASS
CZE	나라/CZE	worldos CZE	PASS
DEU	나라/DEU	worldos DEU	PASS
DJI	나라/DJI	worldos DJI	PASS
DMA	나라/DMA	worldos DMA	PASS
DNK	나라/DNK	worldos DNK	PASS
DOM	나라/DOM	worldos DOM	PASS
DZA	나라/DZA	worldos DZA	PASS
ECU	나라/ECU	worldos ECU	PASS
EGY	나라/EGY	worldos EGY	PASS
ERI	나라/ERI	worldos ERI	PASS
ESH	나라/ESH	worldos ESH	PASS
ESP	나라/ESP	worldos ESP	PASS
EST	나라/EST	worldos EST	PASS
ETH	나라/ETH	worldos ETH	PASS
FIN	나라/FIN	worldos FIN	PASS
FJI	나라/FJI	worldos FJI	PASS
FLK	나라/FLK	worldos FLK	PASS
FRA	나라/FRA	worldos FRA	PASS
FRO	나라/FRO	worldos FRO	PASS
FSM	나라/FSM	worldos FSM	PASS
GAB	나라/GAB	worldos GAB	PASS
GBR	나라/GBR	worldos GBR	PASS
GEO	나라/GEO	worldos GEO	PASS
GGY	나라/GGY	worldos GGY	PASS
GHA	나라/GHA	worldos GHA	PASS
GIB	나라/GIB	worldos GIB	PASS
GIN	나라/GIN	worldos GIN	PASS
GLP	나라/GLP	worldos GLP	PASS
GMB	나라/GMB	worldos GMB	PASS
GNB	나라/GNB	worldos GNB	PASS
GNQ	나라/GNQ	worldos GNQ	PASS
GRC	나라/GRC	worldos GRC	PASS
GRD	나라/GRD	worldos GRD	PASS
GRL	나라/GRL	worldos GRL	PASS
GTM	나라/GTM	worldos GTM	PASS
GUF	나라/GUF	worldos GUF	PASS
GUM	나라/GUM	worldos GUM	PASS
GUY	나라/GUY	worldos GUY	PASS
HKG	나라/HKG	worldos HKG	PASS
HMD	나라/HMD	worldos HMD	PASS
HND	나라/HND	worldos HND	PASS
HRV	나라/HRV	worldos HRV	PASS
HTI	나라/HTI	worldos HTI	PASS
HUN	나라/HUN	worldos HUN	PASS
IDN	나라/IDN	worldos IDN	PASS
IMN	나라/IMN	worldos IMN	PASS
IND	나라/IND	worldos IND	PASS
IOT	나라/IOT	worldos IOT	PASS
IRL	나라/IRL	worldos IRL	PASS
IRN	나라/IRN	worldos IRN	PASS
IRQ	나라/IRQ	worldos IRQ	PASS
ISL	나라/ISL	worldos ISL	PASS
ISR	나라/ISR	worldos ISR	PASS
ITA	나라/ITA	worldos ITA	PASS
JAM	나라/JAM	worldos JAM	PASS
JEY	나라/JEY	worldos JEY	PASS
JOR	나라/JOR	worldos JOR	PASS
JPN	나라/JPN	worldos JPN	PASS
KAZ	나라/KAZ	worldos KAZ	PASS
KEN	나라/KEN	worldos KEN	PASS
KGZ	나라/KGZ	worldos KGZ	PASS
KHM	나라/KHM	worldos KHM	PASS
KIR	나라/KIR	worldos KIR	PASS
KNA	나라/KNA	worldos KNA	PASS
KOR	나라/KOR	worldos KOR	PASS
KWT	나라/KWT	worldos KWT	PASS
LAO	나라/LAO	worldos LAO	PASS
LBN	나라/LBN	worldos LBN	PASS
LBR	나라/LBR	worldos LBR	PASS
LBY	나라/LBY	worldos LBY	PASS
LCA	나라/LCA	worldos LCA	PASS
LIE	나라/LIE	worldos LIE	PASS
LKA	나라/LKA	worldos LKA	PASS
