edition	result	canonical_sha256	shell_elf_sha256	kernel_elf_sha256
CHN	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	b4bbb40df6d89b270ea49492aefb6c1af5caeb189777932864b4da213d41c43e	d9d28a4f1bbac56f4ecb5614c28ae1d36c12aa60cabbd897af9e789ca7a4bf2c
CHN/zh_Hans	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	b4bbb40df6d89b270ea49492aefb6c1af5caeb189777932864b4da213d41c43e	124409291c208973e99f1ec2136aee9ee496f3ad6146475d3153e32e387299c1
CHN/zh_Hant	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	c772038ff2f0fdafdf964ebceb3839c83812c4274e0eb4ddf3c57205b6a24e61	3d1ca52baecd17964e4e80ff93b64dd6812282affd9e47ef7b5b023573688775
DEU	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4a18f417d84e19869358c0b9586fa78672d3c8eedbbe697cbe75f00b9f144da4	dd7bf9a4e7876564d5ac1b5bd48040b87692b02532962801407dace9c91a629c
FRA	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	8aadb470828422818d69b3d54f3ee6d8a6915d741d01b5e23f71d5f6b45d8ca3	3a9fa765e8764afc377bd23b01d651f7fd57254b2493b3a3232742e0b484d509
IND/hi_Deva	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0f9dce4aa4073a11db759228205b6567e355304dd3879607809acdb5eaa0820b	a3ff18fe3ae6c24abaec3c5129aaa33efa71be2b56deaf037f71cecf8740f4dc
IND/ta_Taml	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	cf30cc5cf7200094508bcc8b6f470ed3175e28dd4d4c488c180974626a592d18	d94be1fb2ec0902e5973a5132a50708bd2ebdb3a9ced9834493185e37162db83
JPN	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	66e1972d2327b82e21ab41385aaa3d369a35766db1bef66eabb9966c16a2f9ae	8ee96ddbb44ed6b883d1541712be075e81922de631070a2942affbd538d7c5e3
JPN/ja_Hira	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	6bd1282ff25f83f383adaf3dc78b62b3bfe8a227adee3ffa25ec258fbc45cd04	507e5a4e97b7a8a1dee7467da7254c1ba381ac1b845b69c6fb5e0e7a297fa8ff
JPN/ja_Kana	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	21e5e027f41effccab579e77463391af52ae46308c44cd08a1c626c17d7d4686	688e330fea3cc858a3b5d07320553280ac89bdda43b72cfd85c6836723f3f0f1
KOR	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	04a47363f1c44dcc86cb225fd1cf0d4af1a7d34e743939c4d39a98af9560c019	26cd335f46777286013c135530e0db1048dd6abb18bdd304d70d9685d2123078
SRB/sr_Cyrl	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	9db05dae4a102009e973692d35bcf7e2d08ec00ad600c1e9237726c8fdebddd2	a095ae97987119fe115651adb76c5dd233ed4228ce91a9379b9c7e48143e197c
USA	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	489164f09442ae446ba0447b5668b05a82262ce7f2f1ff78b6b699b55068debd	c5083d97708bf54027fd2dd454099d19d3669818d8eaab830f1ad24e9432a931
