go run tools/verify_country_sources.go
country source structure OK: 249/249
python3 tools/refine_country_names.py --check
ABW/nl: names=35, tokens=358, paths=50, pending concepts=0
AFG/fa: names=5, tokens=24, paths=40, pending concepts=50
AGO/pt: names=35, tokens=358, paths=50, pending concepts=0
AIA/en: names=35, tokens=358, paths=50, pending concepts=0
ALA/sv: names=35, tokens=358, paths=50, pending concepts=0
ALB/sq: names=5, tokens=24, paths=40, pending concepts=50
AND/ca: names=5, tokens=24, paths=40, pending concepts=50
ARE/ar: names=35, tokens=358, paths=50, pending concepts=0
ARG/es: names=35, tokens=358, paths=50, pending concepts=0
ARM/hy: names=5, tokens=24, paths=40, pending concepts=50
ASM/sm: names=5, tokens=24, paths=40, pending concepts=50
ATA/und: names=35, tokens=358, paths=50, pending concepts=0
ATF/fr: names=35, tokens=358, paths=50, pending concepts=0
ATG/en: names=35, tokens=358, paths=50, pending concepts=0
AUS/en: names=35, tokens=358, paths=50, pending concepts=0
AUT/de: names=35, tokens=358, paths=50, pending concepts=0
AZE/az_Latn: names=5, tokens=24, paths=40, pending concepts=50
BDI/rn: names=5, tokens=24, paths=40, pending concepts=50
BEL/nl: names=35, tokens=358, paths=50, pending concepts=0
BEN/fr: names=35, tokens=358, paths=50, pending concepts=0
BES/nl: names=35, tokens=358, paths=50, pending concepts=0
BFA/fr: names=35, tokens=358, paths=50, pending concepts=0
BGD/bn: names=5, tokens=24, paths=40, pending concepts=50
BGR/bg: names=5, tokens=24, paths=40, pending concepts=50
BHR/ar: names=35, tokens=358, paths=50, pending concepts=0
BHS/en: names=35, tokens=358, paths=50, pending concepts=0
BIH/bs_Cyrl: names=5, tokens=24, paths=40, pending concepts=50
BLM/fr: names=35, tokens=358, paths=50, pending concepts=0
BLR/be: names=5, tokens=24, paths=40, pending concepts=50
BLZ/en: names=35, tokens=358, paths=50, pending concepts=0
BMU/en: names=35, tokens=358, paths=50, pending concepts=0
BOL/es: names=35, tokens=358, paths=50, pending concepts=0
BRA/pt: names=35, tokens=358, paths=50, pending concepts=0
BRB/en: names=35, tokens=358, paths=50, pending concepts=0
BRN/ms_Latn: names=35, tokens=358, paths=50, pending concepts=0
BTN/dz: names=5, tokens=24, paths=40, pending concepts=50
BVT/und: names=35, tokens=358, paths=50, pending concepts=0
BWA/en: names=35, tokens=358, paths=50, pending concepts=0
CAF/fr: names=35, tokens=358, paths=50, pending concepts=0
CAN/en: names=35, tokens=358, paths=50, pending concepts=0
CCK/en: names=35, tokens=358, paths=50, pending concepts=0
CHE/de: names=35, tokens=358, paths=50, pending concepts=0
CHL/es: names=35, tokens=358, paths=50, pending concepts=0
CHN/zh_Hans: names=34, tokens=331, paths=50, pending concepts=0
CIV/fr: names=35, tokens=358, paths=50, pending concepts=0
CMR/fr: names=35, tokens=358, paths=50, pending concepts=0
COD/fr: names=35, tokens=358, paths=50, pending concepts=0
COG/fr: names=35, tokens=358, paths=50, pending concepts=0
COK/en: names=35, tokens=358, paths=50, pending concepts=0
COL/es: names=35, tokens=358, paths=50, pending concepts=0
COM/ar: names=35, tokens=358, paths=50, pending concepts=0
CPV/pt: names=35, tokens=358, paths=50, pending concepts=0
CRI/es: names=35, tokens=358, paths=50, pending concepts=0
CUB/es: names=35, tokens=358, paths=50, pending concepts=0
CUW/pap: names=5, tokens=24, paths=40, pending concepts=50
CXR/en: names=35, tokens=358, paths=50, pending concepts=0
CYM/en: names=35, tokens=358, paths=50, pending concepts=0
CYP/el: names=5, tokens=24, paths=40, pending concepts=50
CZE/cs: names=35, tokens=358, paths=50, pending concepts=0
DEU/de: names=35, tokens=358, paths=50, pending concepts=0
DJI/ar: names=35, tokens=358, paths=50, pending concepts=0
DMA/en: names=35, tokens=358, paths=50, pending concepts=0
DNK/da: names=5, tokens=24, paths=40, pending concepts=50
DOM/es: names=35, tokens=358, paths=50, pending concepts=0
DZA/ar: names=35, tokens=358, paths=50, pending concepts=0
ECU/es: names=35, tokens=358, paths=50, pending concepts=0
EGY/ar: names=35, tokens=358, paths=50, pending concepts=0
ERI/ti: names=5, tokens=24, paths=40, pending concepts=50
ESH/ar: names=35, tokens=358, paths=50, pending concepts=0
ESP/es: names=35, tokens=358, paths=50, pending concepts=0
EST/et: names=5, tokens=24, paths=40, pending concepts=50
ETH/am: names=5, tokens=24, paths=40, pending concepts=50
FIN/fi: names=35, tokens=358, paths=50, pending concepts=0
FJI/en: names=35, tokens=358, paths=50, pending concepts=0
FLK/en: names=35, tokens=358, paths=50, pending concepts=0
FRA/fr: names=35, tokens=358, paths=50, pending concepts=0
FRO/fo: names=5, tokens=24, paths=40, pending concepts=50
FSM/en: names=35, tokens=358, paths=50, pending concepts=0
GAB/fr: names=35, tokens=358, paths=50, pending concepts=0
GBR/en: names=35, tokens=358, paths=50, pending concepts=0
GEO/ka: names=5, tokens=24, paths=40, pending concepts=50
GGY/en: names=35, tokens=358, paths=50, pending concepts=0
GHA/en: names=35, tokens=358, paths=50, pending concepts=0
GIB/en: names=35, tokens=358, paths=50, pending concepts=0
GIN/fr: names=35, tokens=358, paths=50, pending concepts=0
GLP/fr: names=35, tokens=358, paths=50, pending concepts=0
GMB/en: names=35, tokens=358, paths=50, pending concepts=0
GNB/pt: names=35, tokens=358, paths=50, pending concepts=0
GNQ/es: names=35, tokens=358, paths=50, pending concepts=0
GRC/el: names=5, tokens=24, paths=40, pending concepts=50
GRD/en: names=35, tokens=358, paths=50, pending concepts=0
GRL/kl: names=5, tokens=24, paths=40, pending concepts=50
GTM/es: names=35, tokens=358, paths=50, pending concepts=0
GUF/fr: names=35, tokens=358, paths=50, pending concepts=0
GUM/en: names=35, tokens=358, paths=50, pending concepts=0
GUY/en: names=35, tokens=358, paths=50, pending concepts=0
HKG/zh_Hant: names=34, tokens=331, paths=50, pending concepts=0
HMD/und: names=35, tokens=358, paths=50, pending concepts=0
HND/es: names=35, tokens=358, paths=50, pending concepts=0
HRV/hr: names=5, tokens=24, paths=40, pending concepts=50
