country	test	result	expected_marker
JPN	core	PASS	POSIX-CORE:PASS
JPN	heap	PASS	POSIX-HEAP:PASS
JPN	fork	PASS	POSIX-FORK:PASS
JPN	exec	PASS	PTEST:PASS:cloexec
JPN	stdin	PASS	POSIX-STDIN:PASS
JPN	socket	PASS	NTEST:PASS:close-server
CHN	core	PASS	POSIX-CORE:PASS
CHN	heap	PASS	POSIX-HEAP:PASS
CHN	fork	PASS	POSIX-FORK:PASS
CHN	exec	PASS	PTEST:PASS:cloexec
CHN	stdin	PASS	POSIX-STDIN:PASS
CHN	socket	PASS	NTEST:PASS:close-server
ARE	core	PASS	POSIX-CORE:PASS
ARE	heap	PASS	POSIX-HEAP:PASS
ARE	fork	PASS	POSIX-FORK:PASS
ARE	exec	PASS	PTEST:PASS:cloexec
ARE	stdin	PASS	POSIX-STDIN:PASS
ARE	socket	PASS	NTEST:PASS:close-server
DEU	core	PASS	POSIX-CORE:PASS
DEU	heap	PASS	POSIX-HEAP:PASS
DEU	fork	PASS	POSIX-FORK:PASS
DEU	exec	PASS	PTEST:PASS:cloexec
DEU	stdin	PASS	POSIX-STDIN:PASS
DEU	socket	PASS	NTEST:PASS:close-server
IND	core	PASS	POSIX-CORE:PASS
IND	heap	PASS	POSIX-HEAP:PASS
IND	fork	PASS	POSIX-FORK:PASS
IND	exec	PASS	PTEST:PASS:cloexec
IND	stdin	PASS	POSIX-STDIN:PASS
IND	socket	PASS	NTEST:PASS:close-server
KOR	core	PASS	POSIX-CORE:PASS
KOR	heap	PASS	POSIX-HEAP:PASS
KOR	fork	PASS	POSIX-FORK:PASS
KOR	exec	PASS	PTEST:PASS:cloexec
KOR	stdin	PASS	POSIX-STDIN:PASS
KOR	socket	PASS	NTEST:PASS:close-server
USA	core	PASS	POSIX-CORE:PASS
USA	heap	PASS	POSIX-HEAP:PASS
USA	fork	PASS	POSIX-FORK:PASS
USA	exec	PASS	PTEST:PASS:cloexec
USA	stdin	PASS	POSIX-STDIN:PASS
USA	socket	PASS	NTEST:PASS:close-server
