country	result
ABW	PASS
AFG	PASS
AGO	PASS
AIA	PASS
ALA	PASS
ALB	PASS
AND	PASS
ARE	PASS
ARG	PASS
ARM	PASS
ASM	PASS
ATA	PASS
ATF	PASS
ATG	PASS
AUS	PASS
AUT	PASS
AZE	PASS
BDI	PASS
BEL	PASS
BEN	PASS
BES	PASS
BFA	PASS
BGD	PASS
BGR	PASS
BHR	PASS
BHS	PASS
BIH	PASS
BLM	PASS
BLR	PASS
BLZ	PASS
BMU	PASS
BOL	PASS
BRA	PASS
BRB	PASS
BRN	PASS
BTN	PASS
BVT	PASS
BWA	PASS
CAF	PASS
CAN	PASS
CCK	PASS
CHE	PASS
CHL	PASS
CHN	PASS
CIV	PASS
CMR	PASS
COD	PASS
COG	PASS
COK	PASS
COL	PASS
COM	PASS
CPV	PASS
CRI	PASS
CUB	PASS
CUW	PASS
CXR	PASS
CYM	PASS
CYP	PASS
CZE	PASS
DEU	PASS
DJI	PASS
DMA	PASS
DNK	PASS
DOM	PASS
DZA	PASS
ECU	PASS
EGY	PASS
ERI	PASS
ESH	PASS
ESP	PASS
EST	PASS
ETH	PASS
FIN	PASS
FJI	PASS
FLK	PASS
FRA	PASS
FRO	PASS
FSM	PASS
GAB	PASS
GBR	PASS
GEO	PASS
GGY	PASS
GHA	PASS
GIB	PASS
GIN	PASS
GLP	PASS
GMB	PASS
GNB	PASS
GNQ	PASS
GRC	PASS
GRD	PASS
GRL	PASS
GTM	PASS
GUF	PASS
GUM	PASS
GUY	PASS
HKG	PASS
HMD	PASS
HND	PASS
HRV	PASS
HTI	PASS
HUN	PASS
IDN	PASS
IMN	PASS
IND	PASS
IOT	PASS
IRL	PASS
IRN	PASS
IRQ	PASS
ISL	PASS
ISR	PASS
ITA	PASS
JAM	PASS
JEY	PASS
JOR	PASS
JPN	PASS
KAZ	PASS
KEN	PASS
KGZ	PASS
KHM	PASS
KIR	PASS
KNA	PASS
KOR	PASS
KWT	PASS
LAO	PASS
LBN	PASS
LBR	PASS
LBY	PASS
LCA	PASS
LIE	PASS
LKA	PASS
LSO	PASS
LTU	PASS
LUX	PASS
LVA	PASS
MAC	PASS
MAF	PASS
MAR	PASS
MCO	PASS
MDA	PASS
MDG	PASS
MDV	PASS
MEX	PASS
MHL	PASS
MKD	PASS
MLI	PASS
MLT	PASS
MMR	PASS
MNE	PASS
MNG	PASS
MNP	PASS
MOZ	PASS
MRT	PASS
MSR	PASS
MTQ	PASS
MUS	PASS
MWI	PASS
MYS	PASS
MYT	PASS
NAM	PASS
NCL	PASS
NER	PASS
NFK	PASS
NGA	PASS
NIC	PASS
NIU	PASS
NLD	PASS
NOR	PASS
NPL	PASS
NRU	PASS
NZL	PASS
OMN	PASS
PAK	PASS
PAN	PASS
PCN	PASS
PER	PASS
PHL	PASS
PLW	PASS
PNG	PASS
POL	PASS
PRI	PASS
PRK	PASS
PRT	PASS
PRY	PASS
PSE	PASS
PYF	PASS
QAT	PASS
REU	PASS
ROU	PASS
RUS	PASS
RWA	PASS
SAU	PASS
SDN	PASS
SEN	PASS
SGP	PASS
SGS	PASS
SHN	PASS
SJM	PASS
SLB	PASS
SLE	PASS
SLV	PASS
SMR	PASS
SOM	PASS
SPM	PASS
SRB	PASS
SSD	PASS
STP	PASS
SUR	PASS
SVK	PASS
SVN	PASS
SWE	PASS
SWZ	PASS
SXM	PASS
SYC	PASS
SYR	PASS
TCA	PASS
TCD	PASS
TGO	PASS
THA	PASS
TJK	PASS
TKL	PASS
TKM	PASS
TLS	PASS
TON	PASS
TTO	PASS
TUN	PASS
TUR	PASS
TUV	PASS
TWN	PASS
TZA	PASS
UGA	PASS
UKR	PASS
UMI	PASS
URY	PASS
USA	PASS
UZB	PASS
VAT	PASS
VCT	PASS
VEN	PASS
VGB	PASS
VIR	PASS
VNM	PASS
VUT	PASS
WLF	PASS
WSM	PASS
YEM	PASS
ZAF	PASS
ZMB	PASS
ZWE	PASS
