edition	audit	build	manifest_sha256_or_error
ABW	PASS	PASS	fa5aa231ab1841fe7a052c1ee0875f27273d7cdc063c4bbc1a58c377fe55176f
AFG	PASS	PASS	00b37759a2a9a4fc4b39c243ae0d986f4dc709cd6a8a04c7d92b9065768deed7
AGO	PASS	PASS	78f5b27b13e4eb26135aacec278785d17f5268c885519f1a43dc93287cfa201e
AIA	PASS	PASS	061f663b953184da6fdff86feaa4592f2675dc80d204e28a0612ec489aa65442
ALA	PASS	PASS	b052226eeea4ca25c1a05ceb1c8d70382cdf74d2b6f10c528c3b4fe7e47a32b7
ALB	PASS	PASS	cb11c5ee8b61c57b6d971c04318e052c29bcbaa2b465ae4fd8d2e03daadffa46
AND	PASS	PASS	fdd966b429ba77b21bd2746027baeeefe1b1989789f5dbb85a7ba3cfb73c26e1
ARE	PASS	PASS	ba6393e6f8e401232a68f6fadad3246b51f52ea2b7f2a3144786bdd488c0049c
ARG	PASS	PASS	9eee51c67f6aa9916fe21d271a43702d32643b8f4bf98448c5f7f72c850a69c0
ARM	PASS	PASS	1ba10e989277210270499bda6b1bf87a870be645e5619a9180d102dff1e8b662
ASM	PASS	PASS	5be224884eebe6e89f53902f5c1832b70f7f2ca4c99d2a8ebe24abb484b87d40
ATA	PASS	PASS	5ca778e4a6f3d17358a4b9bfb7ae793eb1c915b6394a92683174a0ea2c76278b
ATF	PASS	PASS	0bbbd501f49ebb8efcd99f0a55d7847d2a5aef75a45afc42aa31abda915bd519
ATG	PASS	PASS	2918729d141f2824fd5fd6f689eb2c6a7d68c31e31485f6e61b82b54037777da
AUS	PASS	PASS	b2153fa68a17baf5398f784ff00103a13d11ac7fe9e796f751044c4a80826243
AUT	PASS	PASS	4b77c3c6b18f7f8b2fea1415bc067a01f2645308264f9871cf1abfdf813d1e05
AZE	PASS	PASS	a45bc70666e730d6cc45189c88516406c47ede2525e0b3c1e9d0643aaf573693
BDI	PASS	PASS	b8e5bc519be5d4dfac1221b04a707d4c599a96d13b21b853f4fc13d2e210aa4d
BEL	PASS	PASS	7808b55be49cd5ee8b21cae0819d9e169748dd07b4a1329152f1ab936b4c5b4e
BEN	PASS	PASS	592a6b1285734f287353e32db136e06793e63d388e64c6176606242084a77116
BES	PASS	PASS	4137f0e5ed9293dbfe9bbaac41ae7429a00256fdc5e250d23524ca23d56ea2c1
BFA	PASS	PASS	22d7c97d63dcec517cc96176afac8fe617f78394aa07417e1b9b64a23a25b600
BGD	PASS	PASS	7b8ab609279838940dc1af4647be87606e053a8d5dfcf628aa2519085f405db6
BGR	PASS	PASS	9d6f40c7b0817f33d77b39cdc4824b2547ee30950af2f47706a8079a001c4484
BHR	PASS	PASS	6a742196cb6eb71e636b91710c9da678ae30ce815207d9e950f68ce7461b80f7
BHS	PASS	PASS	80222f4b1bcf3fb5bc5a4615fb1de9f68d1507b9fa111ed291ae11ae7560b9e2
BIH	PASS	PASS	6c81ac1f596a38169020a7bcb301e0c9f9d6471a417313f48974a9d3a2bc8499
BIH/bs_Cyrl	PASS	PASS	c9c41b4556c2a60bd6c94c8ebb7f98898a09e2003d39abec9e6eaa0763574416
BIH/bs_Latn	PASS	PASS	d52b1b6350d71a2021ab719b70ec16faab4f91a828aa03d3b7ff6ff4aa23f7d9
BLM	PASS	PASS	78f194b6a75ea763c9b859aacb16ded1105a11df02dcbf5f20c4ada1f6c39b27
BLR	PASS	PASS	748d7b897b25cd9f5ea0eda5499e677e1604fd1e357b34c7f3d82a655a625b38
BLZ	PASS	PASS	aa5aa99bba862440d8fe23e8206c0842410b93c36c1ac5f323116aa58cef3e8e
BMU	PASS	PASS	2b4e832ae27c3e16f18d9c11f63da988b0e662256f4cbd4b01e742cd2aaad220
BOL	PASS	PASS	a232c795192a83ab3e40a29e9808bb70f058554e8174bebd2f391d73c0d179a6
BRA	PASS	PASS	0f4d4748a1457208d4540571ccadd522867abff79b6c63c0448b2269f7366594
BRB	PASS	PASS	050ddf89eee4c3a36408ce6d38f403a7076be378f72c80f8a73270c02c0b41a2
BRN	PASS	PASS	a3d77a5711461bf39ae4c7262fabb22929e26cc6c507800d99f98b0f88782163
BTN	PASS	PASS	7b51486fd7df57ec2832b147144016f1f867623b8d131bb57b5b767450d59485
BVT	PASS	PASS	7805db57813a41c1abc04bd4cefd9a8a41933ad9d3762e64037ed9ddae46dda1
BWA	PASS	PASS	1fe95315b3729fd97a9172c4522c1daf12c1114c9bb81729bed1496c9d38ca75
CAF	PASS	PASS	7496baf6a0efd5d8240dbd5d596c47a7d19e2c461fafc24ba9ac81c9cdc4be9e
CAN	PASS	PASS	4ff7ae69a1b318bfce40a24df7ba0b028275b3530e88c4d62aad00f98608a4d6
CCK	PASS	PASS	4eb1cdf2f6497716c4aea5c7188af92004cfd2d8afd6c50e336cc9e5a07dfd80
CHE	PASS	PASS	7bcc7ce147acd47c85442d8d1f04b6af428b9f8d8f0f881c59d132aae190baff
CHL	PASS	PASS	b1ae4ee62d06c582de1f2e663a70733043e2023f87e97cc9ce69f4579729f63c
CHN	PASS	PASS	7bf2e8fb3db91b6d14bf640e53317ac5cb001c2f98a24f2853a6b0c4df4170d3
CHN/zh_Hans	PASS	PASS	65f1782cde5c9c5a85cd1a6c59e5f0eae5cb2b206214d19d4074e6a40352ec99
CHN/zh_Hant	PASS	PASS	58b837538edeb87696693e1a13656efc1e3de2d5b0432c6271f29aaddfe480c8
CIV	PASS	PASS	f57e543b11b1f08b4394962bd836395f4062156008a63cabb0c3ff3bbc0b4225
CMR	PASS	PASS	8b4252b023bc716baf7befda8f0b53cfa13b7caa57829e34440b3ba82fbf50e0
COD	PASS	PASS	13a418e3d98166fa2396e3d662cde2d3e6bae9e4a933d31be958bad0a0b3716c
COG	PASS	PASS	6e7ab4ae3863ef74a8fb0a028973e66e0fe6015bb158ddf44875e0d0a28b3de6
COK	PASS	PASS	dbc689e5a0bfb6fde7a8f5e8b040f48bf220eb4ba07646d7fbe2c08bc7c5ad4f
COL	PASS	PASS	ca42ff317464e61828dd3976dc5170b9b18eec3f9abc625f6e6bdc0bcf76ff61
COM	PASS	PASS	3d6f69339479c7ec19cfd173915b9769d6c1d2645cbddb9e956db16ea13409a4
CPV	PASS	PASS	7fd8eba0b5d930263fa855ae7e039b9ebb7a0a9c1523f767b4bb876cde04e146
CRI	PASS	PASS	b4a8c09fc3fae8e5bb94ecce936a2c01120fd1f7ddf59e86e3d9cb8b597c1ee1
CUB	PASS	PASS	ce04482da759e4460e0d971034b9c29cf288106025d65ca73342e093a17c3b51
CUW	PASS	PASS	6e50d8e43be8131aed529dee4abc1e2e5e30c2d542087a5757c188e3344c4a45
CXR	PASS	PASS	70df15aa0152ef42432cc5d36d91c69125583199ac6ce9569f631c9fd8158c11
