edition	case	result	program_sha256	kernel_iso_sha256
ABW	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	ae3125971b2c5a390750fa3883ffe939607d07040a51eae92055d65bd9a930bf
AFG	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	52b84682e8e429b6d7ee43b60a103c6fd75fc1644c05cacd727955777a427546
AGO	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	b4cb447b8d33ca5c68fb5af6ccdf0399b638c5968ad253fe74527216ed89bf8d
AIA	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	47a5bc01b71e2f551d7808c666150ca34ecd8dcf5821fe628eb3ddaa81fac419
ALA	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	aef2fed1319d7077d393056051d7ba658c0b8fb3f05dbbcd9b8e198e53b745f2
ALB	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	d434e537fd86005cbdde149384c6a4164ec0c7c3e43a4b8c856933ebbc3dd4ac
AND	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	2fcabe954b995a323f69f83e59b081c5b80be13b8ef358c58954cd0985bd79c2
ARE	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	9d58d95ae4b92b89000ceb5f0f4e13053e16e6a86debb4857dac09ea50e135e2
ARG	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	1414273f4c8d5fa665784a996e6550a355b7a13330b2b90cebc2256a6e2960c2
ARM	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	8d6429602b8e9d3a31179f5c0c8fa0a7568a889babafcbc7db03c55677bc116e
ASM	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	cd18c4c2d9039a18ddd47c25914235993e70335071c90e353f73bd44c110c526
ATA	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	c0ff370f732b80f6aea807462c561e47def7ccb8cf32acd369950fb7e5a68a2d
ATF	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	62576da8cb9e20d0865555322c4ace2a4316a9fb9bb4bb5d4d9f098c91db88c9
ATG	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	bfdf8c7b05e7c975f5452bf0c6935f39a6543fa3c33bff8a3d6df6ace24b8580
AUS	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	72d173123cd031b645a80f156a624028f3cb83d1eb42dd17628a105acc1853e1
AUT	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	5ca36024dc1821c15970cccd6ee8363acf3d12b19c2ce5e6bdac0ddcc9adaf6b
