edition	case	result	program_sha256	kernel_iso_sha256
ARE	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	9d58d95ae4b92b89000ceb5f0f4e13053e16e6a86debb4857dac09ea50e135e2
ARE	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	9d58d95ae4b92b89000ceb5f0f4e13053e16e6a86debb4857dac09ea50e135e2
ARE	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	9d58d95ae4b92b89000ceb5f0f4e13053e16e6a86debb4857dac09ea50e135e2
ARE	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	9d58d95ae4b92b89000ceb5f0f4e13053e16e6a86debb4857dac09ea50e135e2
ARE	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	9d58d95ae4b92b89000ceb5f0f4e13053e16e6a86debb4857dac09ea50e135e2
ARE	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	9d58d95ae4b92b89000ceb5f0f4e13053e16e6a86debb4857dac09ea50e135e2
ARE	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	9d58d95ae4b92b89000ceb5f0f4e13053e16e6a86debb4857dac09ea50e135e2
ARE	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	9d58d95ae4b92b89000ceb5f0f4e13053e16e6a86debb4857dac09ea50e135e2
CHN/zh_Hant	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	c8a941a54512d799ce0369b0c44997c5dce1e96a14e3261c78fd45c280fac76b
CHN/zh_Hant	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	c8a941a54512d799ce0369b0c44997c5dce1e96a14e3261c78fd45c280fac76b
CHN/zh_Hant	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	c8a941a54512d799ce0369b0c44997c5dce1e96a14e3261c78fd45c280fac76b
CHN/zh_Hant	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	c8a941a54512d799ce0369b0c44997c5dce1e96a14e3261c78fd45c280fac76b
CHN/zh_Hant	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	c8a941a54512d799ce0369b0c44997c5dce1e96a14e3261c78fd45c280fac76b
CHN/zh_Hant	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	c8a941a54512d799ce0369b0c44997c5dce1e96a14e3261c78fd45c280fac76b
CHN/zh_Hant	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	c8a941a54512d799ce0369b0c44997c5dce1e96a14e3261c78fd45c280fac76b
CHN/zh_Hant	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	c8a941a54512d799ce0369b0c44997c5dce1e96a14e3261c78fd45c280fac76b
IND/hi_Deva	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	08bccfeb65c568e03f9dffddd4bff051f16c585f82788e38bde6d61141fd720a
IND/hi_Deva	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	08bccfeb65c568e03f9dffddd4bff051f16c585f82788e38bde6d61141fd720a
IND/hi_Deva	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	08bccfeb65c568e03f9dffddd4bff051f16c585f82788e38bde6d61141fd720a
IND/hi_Deva	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	08bccfeb65c568e03f9dffddd4bff051f16c585f82788e38bde6d61141fd720a
IND/hi_Deva	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	08bccfeb65c568e03f9dffddd4bff051f16c585f82788e38bde6d61141fd720a
IND/hi_Deva	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	08bccfeb65c568e03f9dffddd4bff051f16c585f82788e38bde6d61141fd720a
IND/hi_Deva	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	08bccfeb65c568e03f9dffddd4bff051f16c585f82788e38bde6d61141fd720a
IND/hi_Deva	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	08bccfeb65c568e03f9dffddd4bff051f16c585f82788e38bde6d61141fd720a
IND/ta_Taml	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	6dcfa2a0ee6ab057ee801e0533472adbc20aa82e4300b036ab77879491498a30
IND/ta_Taml	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	6dcfa2a0ee6ab057ee801e0533472adbc20aa82e4300b036ab77879491498a30
IND/ta_Taml	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	6dcfa2a0ee6ab057ee801e0533472adbc20aa82e4300b036ab77879491498a30
IND/ta_Taml	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	6dcfa2a0ee6ab057ee801e0533472adbc20aa82e4300b036ab77879491498a30
IND/ta_Taml	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	6dcfa2a0ee6ab057ee801e0533472adbc20aa82e4300b036ab77879491498a30
IND/ta_Taml	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	6dcfa2a0ee6ab057ee801e0533472adbc20aa82e4300b036ab77879491498a30
IND/ta_Taml	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	6dcfa2a0ee6ab057ee801e0533472adbc20aa82e4300b036ab77879491498a30
IND/ta_Taml	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	6dcfa2a0ee6ab057ee801e0533472adbc20aa82e4300b036ab77879491498a30
JPN/ja_Hira	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	2f73a74b042f1ef9ca9af509eb4853f04e2a040c5b177d67c45509de28fd9acd
JPN/ja_Hira	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	2f73a74b042f1ef9ca9af509eb4853f04e2a040c5b177d67c45509de28fd9acd
JPN/ja_Hira	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	2f73a74b042f1ef9ca9af509eb4853f04e2a040c5b177d67c45509de28fd9acd
JPN/ja_Hira	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	2f73a74b042f1ef9ca9af509eb4853f04e2a040c5b177d67c45509de28fd9acd
JPN/ja_Hira	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	2f73a74b042f1ef9ca9af509eb4853f04e2a040c5b177d67c45509de28fd9acd
JPN/ja_Hira	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	2f73a74b042f1ef9ca9af509eb4853f04e2a040c5b177d67c45509de28fd9acd
JPN/ja_Hira	socket	FAIL	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	2f73a74b042f1ef9ca9af509eb4853f04e2a040c5b177d67c45509de28fd9acd
JPN/ja_Hira	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	2f73a74b042f1ef9ca9af509eb4853f04e2a040c5b177d67c45509de28fd9acd
JPN/ja_Kana	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	bba5856dce07482fd3c89e7290c9fbd1d40513276d6960ade369312a4c03c42d
JPN/ja_Kana	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	bba5856dce07482fd3c89e7290c9fbd1d40513276d6960ade369312a4c03c42d
JPN/ja_Kana	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	bba5856dce07482fd3c89e7290c9fbd1d40513276d6960ade369312a4c03c42d
JPN/ja_Kana	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	bba5856dce07482fd3c89e7290c9fbd1d40513276d6960ade369312a4c03c42d
JPN/ja_Kana	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	bba5856dce07482fd3c89e7290c9fbd1d40513276d6960ade369312a4c03c42d
JPN/ja_Kana	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	bba5856dce07482fd3c89e7290c9fbd1d40513276d6960ade369312a4c03c42d
JPN/ja_Kana	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	bba5856dce07482fd3c89e7290c9fbd1d40513276d6960ade369312a4c03c42d
JPN/ja_Kana	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	bba5856dce07482fd3c89e7290c9fbd1d40513276d6960ade369312a4c03c42d
KOR	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	a4f54a553dfd7e23e22dc73fd2c328b87261824a4639dca8e8a314af10d14f19
KOR	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	a4f54a553dfd7e23e22dc73fd2c328b87261824a4639dca8e8a314af10d14f19
KOR	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	a4f54a553dfd7e23e22dc73fd2c328b87261824a4639dca8e8a314af10d14f19
