country	test	result	expected_marker
IND-as_Beng	core	PASS	POSIX-CORE:PASS
IND-bn_Beng	core	PASS	POSIX-CORE:PASS
IND-brx_Deva	core	PASS	POSIX-CORE:PASS
IND-doi_Deva	core	PASS	POSIX-CORE:PASS
IND-gu_Gujr	core	PASS	POSIX-CORE:PASS
IND-hi_Deva	core	PASS	POSIX-CORE:PASS
IND-kn_Knda	core	PASS	POSIX-CORE:PASS
IND-ks_Arab	core	PASS	POSIX-CORE:PASS
IND-kok_Deva	core	PASS	POSIX-CORE:PASS
IND-mai_Deva	core	PASS	POSIX-CORE:PASS
IND-ml_Mlym	core	PASS	POSIX-CORE:PASS
IND-mni_Mtei	core	PASS	POSIX-CORE:PASS
IND-mr_Deva	core	PASS	POSIX-CORE:PASS
IND-ne_Deva	core	PASS	POSIX-CORE:PASS
IND-or_Orya	core	PASS	POSIX-CORE:PASS
IND-pa_Guru	core	PASS	POSIX-CORE:PASS
IND-sa_Deva	core	PASS	POSIX-CORE:PASS
IND-sat_Olck	core	PASS	POSIX-CORE:PASS
IND-sd_Arab	core	PASS	POSIX-CORE:PASS
IND-te_Telu	core	PASS	POSIX-CORE:PASS
IND-ur_Arab	core	PASS	POSIX-CORE:PASS
IND-kok_Latn	core	PASS	POSIX-CORE:PASS
IND-ks_Deva	core	PASS	POSIX-CORE:PASS
IND-mni_Beng	core	PASS	POSIX-CORE:PASS
IND-pa_Arab	core	PASS	POSIX-CORE:PASS
IND-sat_Beng	core	PASS	POSIX-CORE:PASS
IND-sat_Deva	core	PASS	POSIX-CORE:PASS
IND-sd_Deva	core	PASS	POSIX-CORE:PASS
JPN-ja_Jpan	core	PASS	POSIX-CORE:PASS
JPN-ja_Kana	core	PASS	POSIX-CORE:PASS
CHN-zh_Hans	core	PASS	POSIX-CORE:PASS
HKG-zh_Hans	core	PASS	POSIX-CORE:PASS
HKG-zh_Hant	core	PASS	POSIX-CORE:PASS
MAC-zh_Hans	core	PASS	POSIX-CORE:PASS
MAC-zh_Hant	core	PASS	POSIX-CORE:PASS
TWN-zh_Hans	core	PASS	POSIX-CORE:PASS
TWN-zh_Hant	core	PASS	POSIX-CORE:PASS
SRB-sr_Cyrl	core	PASS	POSIX-CORE:PASS
SRB-sr_Latn	core	PASS	POSIX-CORE:PASS
MNE-sr_Cyrl	core	PASS	POSIX-CORE:PASS
MNE-sr_Latn	core	PASS	POSIX-CORE:PASS
BIH-bs_Cyrl	core	PASS	POSIX-CORE:PASS
BIH-bs_Latn	core	PASS	POSIX-CORE:PASS
JPN-ja_Hira	core	PASS	POSIX-CORE:PASS
JPN-ja_Hira	heap	PASS	POSIX-HEAP:PASS
JPN-ja_Hira	fork	PASS	POSIX-FORK:PASS
JPN-ja_Hira	exec	PASS	PTEST:PASS:cloexec
JPN-ja_Hira	stdin	PASS	POSIX-STDIN:PASS
JPN-ja_Hira	socket	PASS	NTEST:PASS:close-server
CHN-zh_Hant	core	PASS	POSIX-CORE:PASS
CHN-zh_Hant	heap	PASS	POSIX-HEAP:PASS
CHN-zh_Hant	fork	PASS	POSIX-FORK:PASS
CHN-zh_Hant	exec	PASS	PTEST:PASS:cloexec
CHN-zh_Hant	stdin	PASS	POSIX-STDIN:PASS
CHN-zh_Hant	socket	PASS	NTEST:PASS:close-server
IND-ta_Taml	core	PASS	POSIX-CORE:PASS
IND-ta_Taml	heap	PASS	POSIX-HEAP:PASS
IND-ta_Taml	fork	PASS	POSIX-FORK:PASS
IND-ta_Taml	exec	PASS	PTEST:PASS:cloexec
IND-ta_Taml	stdin	PASS	POSIX-STDIN:PASS
IND-ta_Taml	socket	PASS	NTEST:PASS:close-server
