country	profile	source_roundtrip	kernel_iso	posix_tests_build
BIH	bs_Cyrl	PASS	PASS	PASS
BIH	bs_Latn	PASS	PASS	PASS
CHN	zh_Hans	PASS	PASS	PASS
CHN	zh_Hant	PASS	PASS	PASS
HKG	zh_Hans	PASS	PASS	PASS
HKG	zh_Hant	PASS	PASS	PASS
IND	as_Beng	PASS	PASS	PASS
IND	bn_Beng	PASS	PASS	PASS
IND	brx_Deva	PASS	PASS	PASS
IND	doi_Deva	PASS	PASS	PASS
IND	gu_Gujr	PASS	PASS	PASS
IND	hi_Deva	PASS	PASS	PASS
IND	kn_Knda	PASS	PASS	PASS
IND	kok_Deva	PASS	PASS	PASS
IND	kok_Latn	PASS	PASS	PASS
IND	ks_Arab	PASS	PASS	PASS
IND	ks_Deva	PASS	PASS	PASS
IND	mai_Deva	PASS	PASS	PASS
IND	ml_Mlym	PASS	PASS	PASS
IND	mni_Beng	PASS	PASS	PASS
IND	mni_Mtei	PASS	PASS	PASS
IND	mr_Deva	PASS	PASS	PASS
IND	ne_Deva	PASS	PASS	PASS
IND	or_Orya	PASS	PASS	PASS
IND	pa_Arab	PASS	PASS	PASS
IND	pa_Guru	PASS	PASS	PASS
IND	sa_Deva	PASS	PASS	PASS
IND	sat_Beng	PASS	PASS	PASS
IND	sat_Deva	PASS	PASS	PASS
IND	sat_Olck	PASS	PASS	PASS
IND	sd_Arab	PASS	PASS	PASS
IND	sd_Deva	PASS	PASS	PASS
IND	ta_Taml	PASS	PASS	PASS
IND	te_Telu	PASS	PASS	PASS
IND	ur_Arab	PASS	PASS	PASS
JPN	ja_Hira	PASS	PASS	PASS
JPN	ja_Jpan	PASS	PASS	PASS
JPN	ja_Kana	PASS	PASS	PASS
MAC	zh_Hans	PASS	PASS	PASS
MAC	zh_Hant	PASS	PASS	PASS
MNE	sr_Cyrl	PASS	PASS	PASS
MNE	sr_Latn	PASS	PASS	PASS
SRB	sr_Cyrl	PASS	PASS	PASS
SRB	sr_Latn	PASS	PASS	PASS
TWN	zh_Hans	PASS	PASS	PASS
TWN	zh_Hant	PASS	PASS	PASS
