edition	language	source_directory	review_status	renamed_paths	changed_files
ABW	nl	source	pending-language-review	20	54
AFG	fa	source	pending-language-review	20	54
AGO	pt	código-fonte	project-proposal	20	54
AIA	en	source	project-proposal	20	54
ALA	sv	source	pending-language-review	20	54
ALB	sq	source	pending-language-review	20	54
AND	ca	source	pending-language-review	20	54
ARE	ar	النص-المصدري	project-proposal	20	54
ARG	es	código-fuente	project-proposal	20	54
ARM	hy	source	pending-language-review	20	54
ASM	sm	source	pending-language-review	20	54
ATA	und	source	pending-language-review	20	54
ATF	fr	code-source	project-proposal	20	54
ATG	en	source	project-proposal	20	54
AUS	en	source	project-proposal	20	54
AUT	de	Quelltext	project-proposal	20	54
AZE	az_Latn	source	pending-language-review	20	54
BDI	rn	source	pending-language-review	20	54
BEL	nl	source	pending-language-review	20	54
BEN	fr	code-source	project-proposal	20	54
BES	nl	source	pending-language-review	20	54
BFA	fr	code-source	project-proposal	20	54
BGD	bn	source	pending-language-review	20	54
BGR	bg	source	pending-language-review	20	54
BHR	ar	النص-المصدري	project-proposal	20	54
BHS	en	source	project-proposal	20	54
BIH	bs_Cyrl	source	pending-language-review	20	54
BLM	fr	code-source	project-proposal	20	54
BLR	be	source	pending-language-review	20	54
BLZ	en	source	project-proposal	20	54
BMU	en	source	project-proposal	20	54
BOL	es	código-fuente	project-proposal	20	54
BRA	pt	código-fonte	project-proposal	20	54
BRB	en	source	project-proposal	20	54
BRN	ms_Latn	source	pending-language-review	20	54
BTN	dz	source	pending-language-review	20	54
BVT	und	source	pending-language-review	20	54
BWA	en	source	project-proposal	20	54
CAF	fr	code-source	project-proposal	20	54
CAN	en	source	project-proposal	20	54
CCK	en	source	project-proposal	20	54
CHE	de	Quelltext	project-proposal	20	54
CHL	es	código-fuente	project-proposal	20	54
CHN	zh_Hans	源代码	project-proposal	20	54
CIV	fr	code-source	project-proposal	20	54
CMR	fr	code-source	project-proposal	20	54
COD	fr	code-source	project-proposal	20	54
COG	fr	code-source	project-proposal	20	54
COK	en	source	project-proposal	20	54
COL	es	código-fuente	project-proposal	20	54
COM	ar	النص-المصدري	project-proposal	20	54
CPV	pt	código-fonte	project-proposal	20	54
CRI	es	código-fuente	project-proposal	20	54
CUB	es	código-fuente	project-proposal	20	54
CUW	pap	source	pending-language-review	20	54
CXR	en	source	project-proposal	20	54
CYM	en	source	project-proposal	20	54
CYP	el	source	pending-language-review	20	54
CZE	cs	source	pending-language-review	20	54
DEU	de	Quelltext	project-proposal	20	54
DJI	ar	النص-المصدري	project-proposal	20	54
DMA	en	source	project-proposal	20	54
DNK	da	source	pending-language-review	20	54
DOM	es	código-fuente	project-proposal	20	54
DZA	ar	النص-المصدري	project-proposal	20	54
ECU	es	código-fuente	project-proposal	20	54
EGY	ar	النص-المصدري	project-proposal	20	54
ERI	ti	source	pending-language-review	20	54
ESH	ar	النص-المصدري	project-proposal	20	54
ESP	es	código-fuente	project-proposal	20	54
EST	et	source	pending-language-review	20	54
ETH	am	source	pending-language-review	20	54
FIN	fi	source	pending-language-review	20	54
FJI	en	source	project-proposal	20	54
FLK	en	source	project-proposal	20	54
FRA	fr	code-source	project-proposal	20	54
FRO	fo	source	pending-language-review	20	54
FSM	en	source	project-proposal	20	54
GAB	fr	code-source	project-proposal	20	54
GBR	en	source	project-proposal	20	54
GEO	ka	source	pending-language-review	20	54
