원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/veelvoorkomend/geheugenoperation.go
src/common/type.go	src/veelvoorkomend/soort.go
src/console/console.go	src/console/console.go
src/console/console.s	src/console/console.s
src/drivers/ata/ata.go	src/driver/ata/ata.go
src/drivers/driver/driver.go	src/driver/driver/driver.go
src/drivers/keyboard/keyboard.go	src/driver/toetsenbord/toetsenbord.go
src/drivers/mouse/mouse.go	src/driver/aanwijsapparaat/aanwijsapparaat.go
src/drivers/timer/timer.go	src/driver/aftelklok/aftelklok.go
src/etherframe/etherframe.go	src/frame_van_het_gedeelde_medium_netwerk/frame_van_het_gedeelde_medium_netwerk.go
src/filesystem/elf/elf.go	src/bestandSysteem/uitvoerbaar_en_koppelbaar_formaat/uitvoerbaar_en_koppelbaar_formaat.go
src/filesystem/elf/elfheader.go	src/bestandSysteem/uitvoerbaar_en_koppelbaar_formaat/elfheader.go
src/filesystem/elf/elfsection.go	src/bestandSysteem/uitvoerbaar_en_koppelbaar_formaat/elfsection.go
src/filesystem/elf/linkmap.go	src/bestandSysteem/uitvoerbaar_en_koppelbaar_formaat/koppelingmap.go
src/filesystem/fat/fat.go	src/bestandSysteem/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/bestandSysteem/msdospartition/msdospartition.go
src/gate/gate.go	src/gate/gate.go
src/gate/gate.s	src/gate/gate.s
src/gate/gate_amd64.go	src/gate/gateamd64.go
src/gate/gate_amd64.s	src/gate/gateamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/besturingsberichtprotocol_voor_verbonden_netwerken/besturingsberichtprotocol_voor_verbonden_netwerken.go
src/interrupt/interrupt.go	src/interrupt/interrupt.go
src/interrupt/interrupt.s	src/interrupt/interrupt.s
src/ipv4/ipv4.go	src/protocol_voor_verbonden_netwerken_4/protocol_voor_verbonden_netwerken_4.go
src/memorymanager/memorymanager.go	src/geheugenmanager/geheugenmanager.go
src/multitasking/multi.s	src/multitasking/multi.s
src/multitasking/multitasking.go	src/multitasking/multitasking.go
src/paging/paging.go	src/paging/paging.go
src/paging/paging.s	src/paging/paging.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/physicalGeheugen/physicalGeheugen.go
src/port/port.go	src/poort/poort.go
src/port/port.s	src/poort/poort.s
src/systemcall/systemcall.go	src/systeemcall/systeemcall.go
src/systemcall/systemcall.s	src/systeemcall/systeemcall.s
src/tasking/process/process.go	src/tasking/proces/proces.go
src/tasking/scheduler/scheduler.go	src/tasking/scheduler/scheduler.go
src/tasking/scheduler/scheduler.s	src/tasking/scheduler/scheduler.s
src/tasking/thread/thread.go	src/tasking/thread/thread.go
src/tasking/tss/tss.go	src/tasking/tss/tss.go
src/tasking/tss/tss.s	src/tasking/tss/tss.s
src/text_mode/text_mode.go	src/tekstmodus/tekstmodus.go
src/udp/udp.go	src/gebruikersdatagramprotocol/gebruikersdatagramprotocol.go
src/util/array/array.go	src/util/reeks/reeks.go
src/util/list/list.go	src/util/lijst/lijst.go
src/util/util.go	src/util/util.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/virtueelGeheugen/virtueelGeheugen.go
src/widget/widget.go	src/schermelement/schermelement.go
main.go	hoofd.go
main.s	hoofd.s
asm/constants.inc	machineopstart/constante.inc
asm/gdt.inc	machineopstart/gdt.inc
asm/go_asm_offsets.inc	machineopstart/goasmVerschuiving.inc
asm/multiboot_header.s	machineopstart/multibootheader.s
asm/rt0.s	machineopstart/rt0.s
go.sh	kern_compileren.sh
linker.ld	koppelindeling.ld
tools/decode-virtualbox-log.sh	hulpmiddelen/serieel_logboek_ontleden.sh
