english	localized	language
a	ا	fa
access	access	fa
ack	ack	fa
activate	فعالکردن	fa
active	فعال	fa
add	اضافهکردن	fa
addend	addend	fa
addr	addr	fa
addralign	addralign	fa
address	address	fa
advanced	پیشرفته	fa
af	af	fa
after	after	fa
align	ردیف	fa
aligned	aligned	fa
alignment	alignment	fa
all	همه	fa
alloc	alloc	fa
allocate	allocate	fa
allocated	allocated	fa
am	am	fa
amd	amd	fa
amount	مقدار	fa
and	and	fa
append	append	fa
args	args	fa
argument	argument	fa
arguments	نشانوندها	fa
arp	arp	fa
arp콘솔	arp콘솔	fa
array	آرایه	fa
assembly	assembly	fa
at	at	fa
ata	ata	fa
atime	atime	fa
attachment	attachment	fa
attempts	attempts	fa
attr	attr	fa
attribute	مشخصه	fa
attributes	attributes	fa
aux	aux	fa
avail	avail	fa
available	دردسترس	fa
b	b	fa
ba	ba	fa
back	عقب	fa
backend	backend	fa
backup	backup	fa
bar	نوار	fa
base	base	fa
be	be	fa
bh	bh	fa
big	big	fa
bind	bind	fa
bios	bios	fa
bit	bit	fa
bitmap	bitmap	fa
bitmasp	bitmasp	fa
bits	bits	fa
blksize	blksize	fa
block	قطعه	fa
blocked	blocked	fa
blocking	blocking	fa
blocks	blocks	fa
boot	boot	fa
bootable	bootable	fa
bootloader	bootloader	fa
bound	bound	fa
bpb	bpb	fa
break	break	fa
brk	brk	fa
broadcast	broadcast	fa
buf	buf	fa
buffer	buffer	fa
buffers	میانگیرها	fa
bufptr	bufptr	fa
bus	bus	fa
button	دکمه	fa
buttons	buttons	fa
by	by	fa
byte	byte	fa
bytes	بایت	fa
c	c	fa
cache	cache	fa
call	call	fa
candidate	candidate	fa
cap	cap	fa
capable	capable	fa
card	card	fa
central	central	fa
char	char	fa
chdir	chdir	fa
check	check	fa
checked	checked	fa
checksum	checksum	fa
child	فرزند	fa
chunk	chunk	fa
class	رده	fa
clear	پاککردن	fa
cloexec	cloexec	fa
clone	clone	fa
close	بستن	fa
cluster	cluster	fa
cmp	cmp	fa
code	code	fa
col	col	fa
color	رنگ	fa
colordepth	colordepth	fa
command	فرمان	fa
commandport	commandport	fa
common	مشترک	fa
component	component	fa
connect	اتصال	fa
connected	connected	fa
console	console	fa
constant	ثابت	fa
contains	contains	fa
contents	محتویات	fa
control	مهار	fa
controller	controller	fa
coordinate	coordinate	fa
copies	copies	fa
copy	کپی	fa
count	count	fa
cow	cow	fa
cpu	cpu	fa
cpustate	cpustate	fa
cpy	cpy	fa
cr	cr	fa
creat	creat	fa
create	create	fa
crtc	crtc	fa
cs	cs	fa
ctime	ctime	fa
cur	cur	fa
current	current	fa
cursor	cursor	fa
cylinder	cylinder	fa
d	d	fa
data	data	fa
databuffer	databuffer	fa
datagram	datagram	fa
dataport	dataport	fa
date	تاریخ	fa
deactivate	غیرفعالکردن	fa
deactive	deactive	fa
debug	debug	fa
decrement	decrement	fa
default	default	fa
delete	حذف	fa
delta	delta	fa
depth	depth	fa
desc	desc	fa
descr	descr	fa
description	شرح	fa
descriptor	descriptor	fa
descriptors	descriptors	fa
descsz	descsz	fa
destination	مقصد	fa
destroy	destroy	fa
dev	dev	fa
device	دستگاه	fa
diff	diff	fa
digits	digits	fa
dir	dir	fa
directory	شاخه	fa
dirent	dirent	fa
disable	غیرفعالکردن	fa
discard	discard	fa
disconnect	قطع	fa
dispatch	dispatch	fa
divide	divide	fa
divisor	divisor	fa
do	do	fa
domain	دامنه	fa
double	double	fa
down	پایین	fa
draw	draw	fa
drive	drive	fa
driver	driver	fa
drivercount	drivercount	fa
drivers	drivers	fa
drv	drv	fa
ds	ds	fa
dst	dst	fa
dstptr	dstptr	fa
dup	dup	fa
dword	dword	fa
dyn	dyn	fa
dynamic	پویا	fa
e	e	fa
eacces	eacces	fa
eaddrinuse	eaddrinuse	fa
eafnosupport	eafnosupport	fa
eagain	eagain	fa
eax	eax	fa
ebadf	ebadf	fa
ebp	ebp	fa
ebusy	ebusy	fa
ebx	ebx	fa
echild	echild	fa
echo	echo	fa
ecx	ecx	fa
edi	edi	fa
edx	edx	fa
eexist	eexist	fa
ef	ef	fa
efault	efault	fa
efbig	efbig	fa
eflags	eflags	fa
ehsize	ehsize	fa
eintr	eintr	fa
einval	einval	fa
eio	eio	fa
eip	eip	fa
eisdir	eisdir	fa
elf	elf	fa
emfile	emfile	fa
empty	empty	fa
emsgsize	emsgsize	fa
enable	enable	fa
enabled	فعالشده	fa
end	پایان	fa
enetunreach	enetunreach	fa
enfile	enfile	fa
enodev	enodev	fa
enoent	enoent	fa
enoexec	enoexec	fa
enomem	enomem	fa
enospc	enospc	fa
enosys	enosys	fa
enotconn	enotconn	fa
enotdir	enotdir	fa
enotty	enotty	fa
ensure	ensure	fa
entries	entries	fa
entry	entry	fa
entrypoint	entrypoint	fa
entsize	entsize	fa
environment	environment	fa
eopnotsupp	eopnotsupp	fa
eperm	eperm	fa
ephemeral	ephemeral	fa
eprotonosupport	eprotonosupport	fa
equal	equal	fa
erange	erange	fa
erofs	erofs	fa
err	err	fa
error	خطا	fa
errorln	errorln	fa
es	es	fa
esi	esi	fa
esp	esp	fa
espipe	espipe	fa
esrch	esrch	fa
ether	ether	fa
etherframe	etherframe	fa
ethernet	اترنت	fa
event	event	fa
events	events	fa
exceeded	exceeded	fa
except	except	fa
exception	exception	fa
exec	اجرا	fa
execve	execve	fa
exists	exists	fa
exit	خروج	fa
exited	exited	fa
ext	ext	fa
extended	extended	fa
f	f	fa
family	family	fa
fat	fat	fa
fatal	fatal	fa
fatbuf	fatbuf	fa
fatbuffer	fatbuffer	fa
fault	fault	fa
fb	fb	fa
fcntl	fcntl	fa
fd	fd	fa
fds	fds	fa
field	field	fa
file	پرونده	fa
filename	نامپرونده	fa
files	files	fa
filesz	filesz	fa
fill	fill	fa
find	پیداکردن	fa
first	first	fa
fl	fl	fa
flag	flag	fa
flags	flags	fa
floating	floating	fa
flush	flush	fa
fn	fn	fa
focus	focus	fa
focussable	focussable	fa
foo	foo	fa
for	for	fa
forced	forced	fa
fork	fork	fa
found	found	fa
fp	fp	fa
fpu	fpu	fa
frame	چارچوب	fa
free	آزاد	fa
frequency	frequency	fa
from	from	fa
front	جلو	fa
fs	fs	fa
fstat	fstat	fa
fsync	fsync	fa
fuction	fuction	fa
full	full	fa
func	func	fa
function	تابع	fa
functions	تابعها	fa
fxrstor	fxrstor	fa
fxsave	fxsave	fa
g	g	fa
gate	gate	fa
gateway	gateway	fa
gb	گیگابایت	fa
gdt	gdt	fa
get	get	fa
getcwd	getcwd	fa
getegid	getegid	fa
geteuid	geteuid	fa
getgid	getgid	fa
getpid	getpid	fa
getppid	getppid	fa
getuid	getuid	fa
gid	gid	fa
global	سراسری	fa
got	got	fa
gpf	gpf	fa
gran	gran	fa
graphics	گرافیک	fa
grub	grub	fa
gs	gs	fa
h	h	fa
halt	halt	fa
handle	handle	fa
handler	handler	fa
handlers	handlers	fa
hardware	سختافزار	fa
has	has	fa
hd	hd	fa
head	head	fa
header	header	fa
headertype	headertype	fa
heap	heap	fa
height	ارتفاع	fa
helper	helper	fa
hex	hex	fa
hex출력	hex출력	fa
hi	hi	fa
hidden	hidden	fa
high	زیاد	fa
hop	hop	fa
i	i	fa
icmp	icmp	fa
icmp콘솔	icmp콘솔	fa
id	شناسه	fa
ident	ident	fa
identify	identify	fa
idt	idt	fa
idx	idx	fa
ifchr	ifchr	fa
ifdir	ifdir	fa
ifmt	ifmt	fa
ifreg	ifreg	fa
ifsock	ifsock	fa
in	داخل	fa
increment	increment	fa
index	نمایه	fa
inet	inet	fa
info	info	fa
init	init	fa
initial	initial	fa
initialization	initialization	fa
initialize	initialize	fa
ino	ino	fa
inode	inode	fa
input	ورودی	fa
install	نصب	fa
int	int	fa
interconnect	interconnect	fa
interface	واسط	fa
internet	اینترنت	fa
internetprotocol	internetprotocol	fa
interrupt	interrupt	fa
interrupts	interrupts	fa
invalid	نامعتبر	fa
io	io	fa
iomap	iomap	fa
ip	ip	fa
ipci	ipci	fa
ipmessage	ipmessage	fa
ipv	ipv	fa
ip콘솔	ip콘솔	fa
iret	iret	fa
is	is	fa
ist	ist	fa
j	j	fa
jmp	jmp	fa
jump	jump	fa
k	k	fa
kb	کیلوبایت	fa
kcs	kcs	fa
kds	kds	fa
kernel	kernel	fa
key	key	fa
keyboard	صفحهکلید	fa
kgs	kgs	fa
kind	kind	fa
k핵심	k핵심	fa
l	l	fa
label	برچسب	fa
last	آخرین	fa
lba	lba	fa
ldt	ldt	fa
left	چپ	fa
len	len	fa
length	طول	fa
lengths	lengths	fa
level	level	fa
lib	lib	fa
lidt	lidt	fa
lidtaddr	lidtaddr	fa
limit	limit	fa
line	خط	fa
link	پیوند	fa
linked	linked	fa
linker	linker	fa
list	list	fa
listen	listen	fa
listening	listening	fa
live	live	fa
load	بار	fa
loader	loader	fa
local	محلی	fa
log	log	fa
logical	logical	fa
loop	loop	fa
low	اندک	fa
lseek	lseek	fa
lstat	lstat	fa
m	m	fa
mac	mac	fa
machine	machine	fa
magicnumber	magicnumber	fa
main	اصلی	fa
make	make	fa
malloc	malloc	fa
manager	manager	fa
map	map	fa
mask	نقاب	fa
master	اصلی	fa
matches	matches	fa
max	max	fa
maximum	بیشینه	fa
mb	مگابایت	fa
mbr	mbr	fa
media	media	fa
mem	mem	fa
memory	حافظه	fa
memorymananger	memorymananger	fa
memorytest	memorytest	fa
memsz	memsz	fa
mesg	mesg	fa
message	پیغام	fa
mics	mics	fa
mid	mid	fa
minimum	minimum	fa
mode	حالت	fa
model	model	fa
mouse	موشی	fa
mousemove	mousemove	fa
move	انتقال	fa
msdospart	msdospart	fa
msg	msg	fa
mtime	mtime	fa
multi	multi	fa
multiboot	multiboot	fa
multitasking	multitasking	fa
my	my	fa
myfunction	myfunction	fa
m긴급로그	m긴급로그	fa
m긴급로그문자열	m긴급로그문자열	fa
m직렬로그초기화	m직렬로그초기화	fa
m출력	m출력	fa
m테스트	m테스트	fa
n	خ	fa
name	نام	fa
namesz	namesz	fa
net	net	fa
network	شبکه	fa
new	جدید	fa
next	بعدی	fa
nibble	nibble	fa
nlink	nlink	fa
nmi	nmi	fa
node	node	fa
nodename	nodename	fa
noexec	noexec	fa
none	هیچ	fa
normal	عادی	fa
norw	norw	fa
not	not	fa
note	یادداشت	fa
nsec	nsec	fa
num	num	fa
number	number	fa
o	o	fa
of	of	fa
offset	offset	fa
ok	تأیید	fa
old	old	fa
on	روشن	fa
only	only	fa
opcode	opcode	fa
open	بازکردن	fa
oper	oper	fa
operation	operation	fa
options	options	fa
order	order	fa
org	org	fa
other	بقیه	fa
out	خارج	fa
output	خروجی	fa
overflow	overflow	fa
p	p	fa
packet	packet	fa
packets	بستهها	fa
paddr	paddr	fa
page	صفحه	fa
pages	pages	fa
paging	paging	fa
param	param	fa
parameter	parameter	fa
params	params	fa
parent	والد	fa
parse	parse	fa
part	part	fa
partition	partition	fa
partitions	partitions	fa
path	مسیر	fa
pause	مکث	fa
payload	payload	fa
pci	pci	fa
pde	pde	fa
pdelen	pdelen	fa
peer	peer	fa
pending	pending	fa
per	per	fa
peripheral	peripheral	fa
phentsize	phentsize	fa
phnum	phnum	fa
phoff	phoff	fa
phy	phy	fa
phyaddr	phyaddr	fa
phymem	phymem	fa
phys	phys	fa
physical	physical	fa
pic	pic	fa
pid	مشخصهبرنامه	fa
pit	pit	fa
pixel	pixel	fa
point	point	fa
pointer	pointer	fa
pointers	pointers	fa
poll	poll	fa
port	درگاه	fa
portnumber	portnumber	fa
pos	pos	fa
position	position	fa
posix	posix	fa
prefetch	prefetch	fa
prefetchable	prefetchable	fa
present	present	fa
prev	prev	fa
primary	primary	fa
print	چاپ	fa
printf	printf	fa
println	println	fa
printreg	printreg	fa
priv	priv	fa
private	خصوصی	fa
privilege	privilege	fa
proc	proc	fa
process	process	fa
processes	processes	fa
processing	processing	fa
program	برنامه	fa
programmable	programmable	fa
protocol	protocol	fa
provided	provided	fa
provider	provider	fa
ps	ps	fa
pt	pt	fa
pte	pte	fa
ptr	ptr	fa
push	push	fa
put	put	fa
pv	pv	fa
queue	queue	fa
r	r	fa
range	محدوده	fa
raw	raw	fa
rdev	rdev	fa
read	خواندن	fa
ready	آماده	fa
receive	receive	fa
received	دریافتشد	fa
receiver	receiver	fa
receviced	receviced	fa
record	ضبط	fa
rectangle	rectangle	fa
recv	recv	fa
ref	ref	fa
refs	refs	fa
reg	reg	fa
region	region	fa
register	register	fa
registeroffset	registeroffset	fa
registers	registers	fa
regs	regs	fa
regtype	regtype	fa
rel	rel	fa
rela	rela	fa
release	release	fa
released	released	fa
reload	بازخوانی	fa
relocation	relocation	fa
remaining	remaining	fa
remote	راهدور	fa
remove	حذف	fa
reply	reply	fa
request	request	fa
requested	requested	fa
reserved	reserved	fa
reset	برگرداندنبهمقادیراولیه	fa
resolve	resolve	fa
restore	بازیابی	fa
result	result	fa
ret	ret	fa
revision	revision	fa
rgb	rgb	fa
right	راست	fa
root	ریشه	fa
round	گردکردن	fa
route	route	fa
rs	rs	fa
rt	rt	fa
run	اجرا	fa
runnable	runnable	fa
rx	rx	fa
s	s	fa
saved	saved	fa
sc	sc	fa
scan	پویش	fa
scancode	scancode	fa
sche	sche	fa
schedule	schedule	fa
scheduler	scheduler	fa
screen	screen	fa
secondary	secondary	fa
sect	sect	fa
section	section	fa
sector	sector	fa
sectors	sectors	fa
seek	seek	fa
seg	seg	fa
segment	segment	fa
segments	segments	fa
select	select	fa
selector	selector	fa
self	خود	fa
send	send	fa
sequencer	sequencer	fa
serial	serial	fa
set	set	fa
setup	setup	fa
sh	sh	fa
shared	shared	fa
shentsize	shentsize	fa
shift	تبدیل	fa
shndx	shndx	fa
shnum	shnum	fa
shoff	shoff	fa
shstrndx	shstrndx	fa
signature	signature	fa
simd	simd	fa
size	اندازه	fa
sl	sl	fa
slave	slave	fa
sock	sock	fa
socket	socket	fa
socketcall	socketcall	fa
sockets	sockets	fa
soft	soft	fa
software	software	fa
source	مبدأ	fa
space	فاصله	fa
spawn	spawn	fa
src	src	fa
srcptr	srcptr	fa
ss	ss	fa
st	st	fa
stack	stack	fa
stackbottom	stackbottom	fa
stacktop	stacktop	fa
start	start	fa
started	started	fa
starting	starting	fa
stat	stat	fa
state	حالت	fa
status	وضعیت	fa
stderr	stderr	fa
stdin	stdin	fa
stdout	stdout	fa
stop	ایست	fa
stopped	stopped	fa
str	str	fa
string	رشته	fa
strtab	strtab	fa
subclass	subclass	fa
subnet	subnet	fa
support	پشتیبانی	fa
swap	swap	fa
switch	switch	fa
sym	sym	fa
sync	sync	fa
sys	sys	fa
syscall	syscall	fa
sysname	sysname	fa
system	سیستم	fa
systemcall	systemcall	fa
t	t	fa
table	جدول	fa
tag	برچسب	fa
tail	tail	fa
tamd	tamd	fa
tarp	tarp	fa
task	task	fa
tasking	tasking	fa
tasks	وظایف	fa
tcow	tcow	fa
tcpu	tcpu	fa
technology	technology	fa
temp	temp	fa
temporary	temporary	fa
tenth	tenth	fa
terminated	terminated	fa
test	test	fa
text	متن	fa
thr	thr	fa
thread	thread	fa
threads	threads	fa
tick	tick	fa
ticmp	ticmp	fa
time	زمان	fa
timer	timer	fa
tip	tip	fa
tls	tls	fa
tmp	tmp	fa
tmsdos	tmsdos	fa
to	to	fa
top	بالا	fa
tos	tos	fa
total	total	fa
track	track	fa
trap	trap	fa
truncate	truncate	fa
tss	tss	fa
type	نوع	fa
t공용서술자테이블	t공용서술자테이블	fa
t작업관리자	t작업관리자	fa
t조각설명자	t조각설명자	fa
t콘솔	t콘솔	fa
t함수	t함수	fa
udesc	udesc	fa
udp	udp	fa
udp콘솔	udp콘솔	fa
uid	uid	fa
uint	uint	fa
uintptr	uintptr	fa
uname	uname	fa
unhandle	unhandle	fa
unhandled	unhandled	fa
unit	unit	fa
unset	صفرکردن	fa
unused	unused	fa
up	بالا	fa
update	update	fa
usable	usable	fa
use	use	fa
used	استفادهشده	fa
user	کاربر	fa
userhandler	userhandler	fa
usermode	usermode	fa
userproc	userproc	fa
util	util	fa
util콘솔	util콘솔	fa
uts	uts	fa
utsname	utsname	fa
v	v	fa
vaddr	vaddr	fa
val	val	fa
value	مقدار	fa
values	values	fa
vector	vector	fa
vendor	vendor	fa
ver	ver	fa
version	version	fa
vfs	vfs	fa
vga	vga	fa
video	ویدیو	fa
virt	virt	fa
virtlen	virtlen	fa
virtmem	virtmem	fa
virtual	مجازی	fa
volume	حجم	fa
w	w	fa
wait	انتظار	fa
waitpid	waitpid	fa
wdata	wdata	fa
when	when	fa
whence	whence	fa
widget	ابزارک	fa
width	عرض	fa
word	کلمه	fa
writable	writable	fa
write	نوشتن	fa
writer	writer	fa
x	x	fa
xy	xy	fa
y	ب	fa
zero	zero	fa
값	값	fa
공용서술자테이블	공용서술자테이블	fa
기준	기준	fa
기준주소	기준주소	fa
낮은	낮은	fa
넷카드콘솔	넷카드콘솔	fa
높은	높은	fa
단말기	단말기	fa
마우스콘솔	마우스콘솔	fa
매개값	매개값	fa
매우높은	매우높은	fa
멈추기	멈추기	fa
목적	목적	fa
유형	유형	fa
이더넷콘솔	이더넷콘솔	fa
인터럽트무시하기	인터럽트무시하기	fa
인터럽트예외처리기	인터럽트예외처리기	fa
인터럽트요청처리	인터럽트요청처리	fa
인터럽트처리기	인터럽트처리기	fa
임시	임시	fa
자료	자료	fa
자신	자신	fa
작업관리자	작업관리자	fa
작업콘솔	작업콘솔	fa
조각설명자	조각설명자	fa
출력	출력	fa
콘솔	콘솔	fa
크기	크기	fa
키보드콘솔	키보드콘솔	fa
표시들	표시들	fa
한도	한도	fa
