원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/gemensam/minneoperation.go
src/common/type.go	src/gemensam/typ.go
src/console/console.go	src/konsol/konsol.go
src/console/console.s	src/konsol/konsol.s
src/drivers/ata/ata.go	src/driver/ata/ata.go
src/drivers/driver/driver.go	src/driver/driver/driver.go
src/drivers/keyboard/keyboard.go	src/driver/tangentbord/tangentbord.go
src/drivers/mouse/mouse.go	src/driver/pekdon/pekdon.go
src/drivers/timer/timer.go	src/driver/tidtagare/tidtagare.go
src/etherframe/etherframe.go	src/ram_i_nät_med_delat_medium/ram_i_nät_med_delat_medium.go
src/filesystem/elf/elf.go	src/arkivsystem/körbart_och_länkbart_format/körbart_och_länkbart_format.go
src/filesystem/elf/elfheader.go	src/arkivsystem/körbart_och_länkbart_format/elfheader.go
src/filesystem/elf/elfsection.go	src/arkivsystem/körbart_och_länkbart_format/elfsection.go
src/filesystem/elf/linkmap.go	src/arkivsystem/körbart_och_länkbart_format/länkmap.go
src/filesystem/fat/fat.go	src/arkivsystem/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/arkivsystem/msdospartition/msdospartition.go
src/gate/gate.go	src/gate/gate.go
src/gate/gate.s	src/gate/gate.s
src/gate/gate_amd64.go	src/gate/gateamd64.go
src/gate/gate_amd64.s	src/gate/gateamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/styrmeddelandeprotokoll_för_sammankopplade_nät/styrmeddelandeprotokoll_för_sammankopplade_nät.go
src/interrupt/interrupt.go	src/avbrott/avbrott.go
src/interrupt/interrupt.s	src/avbrott/avbrott.s
src/ipv4/ipv4.go	src/protokoll_för_sammankopplade_nät_4/protokoll_för_sammankopplade_nät_4.go
src/memorymanager/memorymanager.go	src/minnemanager/minnemanager.go
src/multitasking/multi.s	src/multitasking/multi.s
src/multitasking/multitasking.go	src/multitasking/multitasking.go
src/paging/paging.go	src/paging/paging.go
src/paging/paging.s	src/paging/paging.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/physicalMinne/physicalMinne.go
src/port/port.go	src/port/port.go
src/port/port.s	src/port/port.s
src/systemcall/systemcall.go	src/systemcall/systemcall.go
src/systemcall/systemcall.s	src/systemcall/systemcall.s
src/tasking/process/process.go	src/tasking/process/process.go
src/tasking/scheduler/scheduler.go	src/tasking/scheduler/scheduler.go
src/tasking/scheduler/scheduler.s	src/tasking/scheduler/scheduler.s
src/tasking/thread/thread.go	src/tasking/thread/thread.go
src/tasking/tss/tss.go	src/tasking/tss/tss.go
src/tasking/tss/tss.s	src/tasking/tss/tss.s
src/text_mode/text_mode.go	src/textLÄGE/textLÄGE.go
src/udp/udp.go	src/användardatagramprotokoll/användardatagramprotokoll.go
src/util/array/array.go	src/util/vektor/vektor.go
src/util/list/list.go	src/util/lista/lista.go
src/util/util.go	src/util/util.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/virtuellMinne/virtuellMinne.go
src/widget/widget.go	src/skärmelement/skärmelement.go
main.go	huvud.go
main.s	huvud.s
asm/constants.inc	maskinstart/konstant.inc
asm/gdt.inc	maskinstart/gdt.inc
asm/go_asm_offsets.inc	maskinstart/goasmFörskjutning.inc
asm/multiboot_header.s	maskinstart/multibootheader.s
asm/rt0.s	maskinstart/rt0.s
go.sh	kompilera_kärnan.sh
linker.ld	länkningslayout.ld
tools/decode-virtualbox-log.sh	verktyg/tolka_seriell_logg.sh
tools/offsets.go	verktyg/strukturförskjutningar.go
userland/posix/Makefile	användarutrymme/posix/Makefile
userland/posix/TEST_RESULTS.md	användarutrymme/posix/TEST_RESULTS.md
