original	before	after	review_status	concept	changed_tokens
Activate	Aktivera	Aktivera	existing-unreviewed		0
ActivateAll	AktiveraAlla	AktiveraAlla	existing-unreviewed		0
Active	Aktiv	Aktiv	existing-unreviewed		0
ActiveInterruptManager	AktivAvbrottmanager	AktivAvbrottmanager	existing-unreviewed		0
ActiveMemoryManager	AktivMinnemanager	AktivMinnemanager	existing-unreviewed		0
Add	Läggtill	Läggtill	existing-unreviewed		0
AddDriver	Läggtilldriver	Läggtilldriver	existing-unreviewed		0
AddRunnableThread	Läggtillrunnablethread	Läggtillrunnablethread	existing-unreviewed		0
AddTask	LäggtillAktivitet	LäggtillAktivitet	existing-unreviewed		0
AddThread	Läggtillthread	Läggtillthread	existing-unreviewed		0
Address	Adress	Adress	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	Allocateblock	Allocateblock	existing-unreviewed		0
AllocatePID	Allocateprocessid	Allocateprocessid	existing-unreviewed		0
AmountOfMemory	MängdavMinne	MängdavMinne	existing-unreviewed		0
ArrayToUint16	Vektortounsignedinteger16	Vektortounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Vektortounsignedinteger32	Vektortounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Vektortounsignedinteger48	Vektortounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Vektortounsignedinteger48be	Vektortounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Vektortounsignedinteger64	Vektortounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Blockperbyte	Blockperbyte	existing-unreviewed		0
BLOCK_SIZE	BlockStorlek	BlockStorlek	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	BaseAdress	BaseAdress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedTillstånd	BlockedTillstånd	existing-unreviewed		0
Blocks	Block	Block	existing-unreviewed		0
BoundRangeExceeded	BoundIntervallexceeded	BoundIntervallexceeded	existing-unreviewed		0
BroadcastMacAddress	BroadcastmacAdress	BroadcastmacAdress	existing-unreviewed		0
BytesPerSector	Bytepersector	Bytepersector	existing-unreviewed		0
BytesToString	Bytetosträng	Bytetosträng	existing-unreviewed		0
Checksum	Kontrollsumma	Kontrollsumma	existing-unreviewed		0
