before	after
asm/gdt.inc	maskinstart/gdt.inc
asm/goasmFörskjutning.inc	maskinstart/goasmFörskjutning.inc
asm/konstant.inc	maskinstart/konstant.inc
asm/multibootheader.s	maskinstart/multibootheader.s
asm/rt0.s	maskinstart/rt0.s
go.sh	kompilera_kärnan.sh
linker.ld	länkningslayout.ld
src/arkivsystem/elf/elf.go	src/arkivsystem/körbart_och_länkbart_format/körbart_och_länkbart_format.go
src/arkivsystem/elf/elfheader.go	src/arkivsystem/körbart_och_länkbart_format/elfheader.go
src/arkivsystem/elf/elfsection.go	src/arkivsystem/körbart_och_länkbart_format/elfsection.go
src/arkivsystem/elf/länkmap.go	src/arkivsystem/körbart_och_länkbart_format/länkmap.go
src/driver/mus/mus.go	src/driver/pekdon/pekdon.go
src/ethernetRam/ethernetRam.go	src/ram_i_nät_med_delat_medium/ram_i_nät_med_delat_medium.go
src/icmp/icmp.go	src/styrmeddelandeprotokoll_för_sammankopplade_nät/styrmeddelandeprotokoll_för_sammankopplade_nät.go
src/ipv4/ipv4.go	src/protokoll_för_sammankopplade_nät_4/protokoll_för_sammankopplade_nät_4.go
src/udp/udp.go	src/användardatagramprotokoll/användardatagramprotokoll.go
src/widget/widget.go	src/skärmelement/skärmelement.go
tools/decode-virtualbox-log.sh	verktyg/tolka_seriell_logg.sh
tools/offsets.go	verktyg/strukturförskjutningar.go
userland/posix/Makefile	användarutrymme/posix/Makefile
userland/posix/TEST_RESULTS.md	användarutrymme/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	användarutrymme/posix/deklarationer/arpa/inet.h
userland/posix/include/engos/syscall.h	användarutrymme/posix/deklarationer/engos/syscall.h
userland/posix/include/errno.h	användarutrymme/posix/deklarationer/errno.h
userland/posix/include/fcntl.h	användarutrymme/posix/deklarationer/fcntl.h
userland/posix/include/netinet/in.h	användarutrymme/posix/deklarationer/netinet/in.h
userland/posix/include/stddef.h	användarutrymme/posix/deklarationer/stddef.h
userland/posix/include/stdint.h	användarutrymme/posix/deklarationer/stdint.h
userland/posix/include/sys/socket.h	användarutrymme/posix/deklarationer/sys/socket.h
userland/posix/include/sys/stat.h	användarutrymme/posix/deklarationer/sys/stat.h
userland/posix/include/sys/types.h	användarutrymme/posix/deklarationer/sys/types.h
userland/posix/include/sys/utsname.h	användarutrymme/posix/deklarationer/sys/utsname.h
userland/posix/include/sys/wait.h	användarutrymme/posix/deklarationer/sys/wait.h
userland/posix/include/unistd.h	användarutrymme/posix/deklarationer/unistd.h
userland/posix/linker.ld	användarutrymme/posix/länkningslayout.ld
userland/posix/src/crt0.S	användarutrymme/posix/implementation/start.S
userland/posix/src/errno.c	användarutrymme/posix/implementation/felnummer.c
userland/posix/src/fcntl.c	användarutrymme/posix/implementation/filstyrning.c
userland/posix/src/socket.c	användarutrymme/posix/implementation/socket.c
userland/posix/src/stat.c	användarutrymme/posix/implementation/filstatus.c
userland/posix/src/syscall.S	användarutrymme/posix/implementation/systemanrop.S
userland/posix/src/unistd.c	användarutrymme/posix/implementation/unistd.c
userland/posix/tests/compile.c	användarutrymme/posix/tester/compile.c
userland/posix/tests/exec_runtime.c	användarutrymme/posix/tester/exec_runtime.c
userland/posix/tests/exec_target.c	användarutrymme/posix/tester/exec_target.c
userland/posix/tests/fork_runtime.c	användarutrymme/posix/tester/fork_runtime.c
userland/posix/tests/heap_runtime.c	användarutrymme/posix/tester/heap_runtime.c
userland/posix/tests/runtime.c	användarutrymme/posix/tester/runtime.c
userland/posix/tests/socket_runtime.c	användarutrymme/posix/tester/socket_runtime.c
userland/posix/tests/stdin_runtime.c	användarutrymme/posix/tester/stdin_runtime.c
