original	localized	language
Activate	Aktivo	sq
ActivateAll	Aktivokrejt	sq
Active	Aktiv	sq
ActiveInterruptManager	AktivinterruptManazhuesi	sq
ActiveMemoryManager	AktivMemoriaManazhuesi	sq
Add	Shto	sq
AddDriver	Shtodriver	sq
AddRunnableThread	Shtorunnablethread	sq
AddTask	ShtoProces	sq
AddThread	Shtothread	sq
Address	Address	sq
AlignedMalloc	Alignedmalloc	sq
AlignmentCheck	Alignmentcheck	sq
AllocateBlock	Allocateblock	sq
AllocatePID	Allocatepid	sq
AmountOfMemory	SasiangaMemoria	sq
ArrayToUint16	Rreshtimitounsignedinteger16	sq
ArrayToUint32	Rreshtimitounsignedinteger32	sq
ArrayToUint48	Rreshtimitounsignedinteger48	sq
ArrayToUint48_BE	Rreshtimitounsignedinteger48be	sq
ArrayToUint64	Rreshtimitounsignedinteger64	sq
Atime	Atime	sq
AtimeNsec	Atimensec	sq
BLOCKS_PER_BYTE	Blockperbyte	sq
BLOCK_SIZE	BlockMadhësia	sq
Backend	Backend	sq
BaseAddr	Baseaddress	sq
Bind	Bind	sq
Blksize	Blksize	sq
Blocked	Blocked	sq
BlockedState	BlockedGjendje	sq
Blocks	Block	sq
BoundRangeExceeded	BoundIntervalexceeded	sq
BroadcastMacAddress	Broadcastmacaddress	sq
BytesPerSector	Bytespersector	sq
BytesToString	Bytestovarg	sq
Checksum	Checksum	sq
Clear	Pastro	sq
Clone	Clone	sq
CloneAddressSpaceCOW	CloneaddressHapësiracow	sq
Connect	Lidhu	sq
ContainsCoordinate	Containscoordinate	sq
CopyPageFrameBlock	KopjofaqeKornizëblock	sq
CpuState	CpuGjendje	sq
Create	Create	sq
CreateFromData	Createfromdata	sq
CreateFromFunction	CreatefromFunksion	sq
CreatePtrFromFunction	CreateKursorifromFunksion	sq
Cs	Cs	sq
Ctime	Ctime	sq
CtimeNsec	Ctimensec	sq
CurrentPID	Etanishmepid	sq
CurrentParentPID	Etanishmeprindpid	sq
Data	Data	sq
Deactivate	Çaktivo	sq
Deactive	Deactive	sq
Decrement	Decrement	sq
Delete	Elemino	sq
DescriptorPrivilegeLevel	Descriptorprivilegelevel	sq
DescriptorType	DescriptorLloji	sq
Destroy	Shkatërroje	sq
Dev	Dispozitivi	sq
DeviceHasFunctions	DispozitivihasFunksionet	sq
DeviceNotAvailable	DispozitivinotNëdispozicion	sq
Device_id	Dispozitiviid	sq
DisableInt	Disableint	sq
Disconnect	Shkëputu	sq
DivideByZero	Dividebyzero	sq
DoHandleInterrupt	Dohandleinterrupt	sq
DoubleFault	Doublefault	sq
Draw	Draw	sq
DriverManager	DriverManazhuesi	sq
Ds	Ds	sq
Dynamic	Dynamic	sq
E2BIG	E2big	sq
EACCES	Eacces	sq
EADDRINUSE	Eaddrinuse	sq
EAFNOSUPPORT	Eafnosupport	sq
EAGAIN	Eagain	sq
EBADF	Ebadf	sq
EBUSY	Ebusy	sq
