english	localized	language
a	a	ca
access	accés	ca
ack	ack	ca
activate	Activa	ca
active	Actiu	ca
add	Afegeix	ca
addend	addend	ca
addr	addr	ca
addralign	addralign	ca
address	Adreça	ca
advanced	Avançat	ca
af	af	ca
after	after	ca
align	Alinea	ca
aligned	aligned	ca
alignment	alignment	ca
all	Tot	ca
alloc	alloc	ca
allocate	allocate	ca
allocated	allocated	ca
am	am	ca
amd	amd	ca
amount	Quantitat	ca
and	i	ca
append	append	ca
args	args	ca
argument	argument	ca
arguments	arguments	ca
arp	arp	ca
arp콘솔	arp콘솔	ca
array	Matriu	ca
assembly	assembly	ca
at	at	ca
ata	ata	ca
atime	atime	ca
attachment	attachment	ca
attempts	attempts	ca
attr	attr	ca
attribute	atribut	ca
attributes	Atributs	ca
aux	aux	ca
avail	avail	ca
available	Disponible	ca
b	b	ca
ba	ba	ca
back	Enrere	ca
backend	backend	ca
backup	backup	ca
bar	Barra	ca
base	base	ca
be	be	ca
bh	bh	ca
big	big	ca
bind	Vincula	ca
bios	bios	ca
bit	bit	ca
bitmap	bitmap	ca
bitmasp	bitmasp	ca
bits	bits	ca
blksize	blksize	ca
block	Bloc	ca
blocked	blocked	ca
blocking	blocking	ca
blocks	Blocs	ca
boot	boot	ca
bootable	bootable	ca
bootloader	bootloader	ca
bound	bound	ca
bpb	bpb	ca
break	break	ca
brk	brk	ca
broadcast	broadcast	ca
buf	buf	ca
buffer	buffer	ca
buffers	intermèdia	ca
bufptr	bufptr	ca
bus	bus	ca
button	Botó	ca
buttons	Botons	ca
by	by	ca
byte	byte	ca
bytes	bytes	ca
c	c	ca
cache	cache	ca
call	call	ca
candidate	candidate	ca
cap	cap	ca
capable	capable	ca
card	Cartes	ca
central	central	ca
char	char	ca
chdir	chdir	ca
check	check	ca
checked	checked	ca
checksum	checksum	ca
child	fill	ca
chunk	chunk	ca
class	Classe	ca
clear	Neteja	ca
cloexec	cloexec	ca
clone	clone	ca
close	Tanca	ca
cluster	cluster	ca
cmp	cmp	ca
code	code	ca
col	col	ca
color	color	ca
colordepth	colordepth	ca
command	Ordre	ca
commandport	commandport	ca
common	comú	ca
component	component	ca
connect	Connecta	ca
connected	connected	ca
console	Consola	ca
constant	constant	ca
contains	contains	ca
contents	Continguts	ca
control	control	ca
controller	Controlador	ca
coordinate	coordinate	ca
copies	copies	ca
copy	Copia	ca
count	Recompte	ca
cow	cow	ca
cpu	cpu	ca
cpustate	cpustate	ca
cpy	cpy	ca
cr	cr	ca
creat	creat	ca
create	create	ca
crtc	crtc	ca
cs	cs	ca
ctime	ctime	ca
cur	cur	ca
current	Actual	ca
cursor	cursor	ca
cylinder	cylinder	ca
d	d	ca
data	data	ca
databuffer	databuffer	ca
datagram	datagram	ca
dataport	dataport	ca
date	Data	ca
deactivate	Desactiva	ca
deactive	deactive	ca
debug	Depura	ca
decrement	decrement	ca
default	Perdefecte	ca
delete	Suprimeix	ca
delta	delta	ca
depth	depth	ca
desc	desc	ca
descr	descr	ca
description	Descripció	ca
descriptor	descriptor	ca
