english	localized	source	evidence_count
a	أ	gettext	1
access	نفاذ	gettext	5
ack	ack	fallback-English	0
activate	activate	fallback-English	0
active	نشط	gettext	3
add	أضف	gettext	22
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	متقدم	gettext	13
af	af	fallback-English	0
after	بعد	gettext	5
align	align	fallback-English	0
aligned	aligned	fallback-English	0
alignment	المحاذاة	gettext	1
all	الكل	gettext	4
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	amount	fallback-English	0
and	and	fallback-English	0
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	arguments	fallback-English	0
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	مصفوفة	curated-seed	10
assembly	تجميع	curated-seed	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	خاصية	curated-seed	5
attributes	سمات	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	متوفر	gettext	5
b	ب	gettext	1
ba	ba	fallback-English	0
back	للخلف	gettext	6
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	شريط	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	بت	gettext	1
blksize	blksize	fallback-English	0
block	حظر	gettext	5
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	البلوكات	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	الذاكرةالوسيطة	gettext	2
