compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	سعة_سطر_الإدخال	project-proposal
MAX_ARGUMENT_COUNT	الحد_الأقصى_لعدد_المعاملات	project-proposal
MAX_SCRIPT_DEPTH	الحد_الأقصى_لتداخل_ملفات_الأوامر	project-proposal
argument_count	عدد_المعاملات	project-proposal
arguments	المعاملات	project-proposal
buffer	مخزن_النقل_المؤقت_2	project-proposal
bytes_read	البايتات_المقروءة	project-proposal
bytes_written	عدد_البايتات_المكتوبة	project-proposal
capacity	السعة	project-proposal
character	المحرف	project-proposal
child_pid	معرف_العملية_الفرعية	project-proposal
cleanup	إغلاق_نقاط_الاتصال	project-proposal
command	الأمر	project-proposal
command_aliases	أسماء_الأوامر_المحلية	project-proposal
command_cat	عرض_محتوى_الملف	project-proposal
command_echo	عرض_المعاملات	project-proposal
command_matches	مطابقة_الأمر	project-proposal
command_names	الأوامر_المرجعية	project-proposal
command_pid	عرض_معرفات_العمليات	project-proposal
command_pwd	عرض_المجلد_الحالي	project-proposal
command_run	تشغيل_البرنامج	project-proposal
command_source	تفسير_ملف_الأوامر	project-proposal
command_stat	عرض_معلومات_الملف	project-proposal
command_udp	اختبار_إرجاع_حزمة_البيانات	project-proposal
command_uname	عرض_هوية_النظام	project-proposal
current	الموضع_الحالي	project-proposal
digit_text	محارف_الأرقام	project-proposal
file_descriptor	واصف_الملف_2	project-proposal
file_name	اسم_الملف	project-proposal
input	الإدخال	project-proposal
input_descriptor	واصف_الإدخال	project-proposal
input_line	سطر_الإدخال	project-proposal
input_stream	تدفق_الإدخال	project-proposal
left	اليسار	project-proposal
length	الطول	project-proposal
message	الرسالة	project-proposal
message_length	طول_الرسالة_بالبايت	project-proposal
name	هوية_النظام	project-proposal
number	المقدار_بلا_إشارة	project-proposal
operation	العملية	project-proposal
output	موضع_الإخراج	project-proposal
overflow	سطر_إدخال_غير_صالح	project-proposal
path	المسار	project-proposal
position	الموضع	project-proposal
print_help	عرض_المساعدة	project-proposal
quote	علامة_الاقتباس	project-proposal
read_line	قراءة_سطر_الإدخال	project-proposal
receive_address	عنوان_الاستقبال	project-proposal
receive_socket	نقطة_اتصال_الاستقبال	project-proposal
received_data	البيانات_المستلمة	project-proposal
received_length	عدد_البايتات_المستلمة	project-proposal
right	اليمين	project-proposal
run_input	تفسير_الإدخال	project-proposal
script_depth	عمق_تداخل_ملفات_الأوامر	project-proposal
send_socket	نقطة_اتصال_الإرسال	project-proposal
size	عدد_الخانات	project-proposal
source_address	عنوان_المرسل	project-proposal
source_address_length	طول_عنوان_المرسل	project-proposal
split_arguments	فصل_المعاملات	project-proposal
status	الحالة	project-proposal
text	النص	project-proposal
text_equal	تساوي_النصين	project-proposal
text_length	طول_النص_بالبايت	project-proposal
value	القيمة	project-proposal
wait_status	حالة_انتهاء_العملية_الفرعية	project-proposal
write_error	الإبلاغ_عن_خطأ	project-proposal
write_integer	كتابة_عدد_صحيح	project-proposal
write_text	كتابة_النص	project-proposal
