compiler_identifier	native_identifier
AF_INET	رمز_عائلة_عناوين_الشبكات_المترابطة
AF_UNSPEC	عائلة_عناوين_غير_محددة
INADDR_ANY	أي_عنوان_محلي
INADDR_LOOPBACK	عنوان_الحلقة_المحلية
IPPROTO_IP	بروتوكول_الشبكات_المترابطة_الأساسي
IPPROTO_UDP	بروتوكول_رزم_المستخدم
PF_INET	عائلة_بروتوكولات_الشبكات_المترابطة
SC_accept	SC_قبول_اتصال
SC_bind	SC_ربط_عنوان_محلي
SC_connect	SC_الاتصال_بالطرف_المقابل
SC_getpeername	SC_جلب_عنوان_الطرف_المقابل
SC_getsockname	SC_جلب_عنوان_النقطة_المحلية
SC_listen	SC_تهيئة_استقبال_الاتصالات
SC_recv	SC_استقبال
SC_recvfrom	SC_استقبال_مع_عنوان_المصدر
SC_send	SC_إرسال
SC_sendto	SC_إرسال_إلى_وجهة
SC_setsockopt	SC_ضبط_خيار_نقطة_الاتصال
SC_shutdown	SC_إغلاق_اتجاه_الاتصال
SC_socket	SC_إنشاء_نقطة_اتصال
SHUT_RD	إيقاف_الاستقبال
SHUT_RDWR	إيقاف_الاتجاهين
SHUT_WR	إيقاف_الإرسال
SOCK_DGRAM	نقطة_رزم_البيانات
SOCK_STREAM	نقطة_تدفق_البيانات
SYS_access	SYS_فحص_صلاحيات_الوصول
SYS_brk	SYS_تعيين_نهاية_الذاكرة_المتغيرة
SYS_chdir	SYS_تغيير_دليل_العمل
SYS_close	SYS_إغلاق
SYS_creat	SYS_إنشاء_ملف
SYS_dup	SYS_نسخ_مرجع_الملف_المفتوح
SYS_dup2	SYS_نسخ_مرجع_الملف_إلى_رقم_محدد
SYS_execve	SYS_استبدال_البرنامج_الجاري
SYS_exit	SYS_إنهاء_فوري
SYS_fcntl	SYS_التحكم_في_الملف
SYS_fork	SYS_إنشاء_عملية_فرعية
SYS_fstat	SYS_جلب_حالة_الملف_المفتوح
SYS_fsync	SYS_مزامنة_بيانات_الملف
SYS_getcwd	SYS_جلب_مسار_دليل_العمل
