original	before	after	review_status	concept	changed_tokens
Activate	Ակտիվացնել	Ակտիվացնել	existing-unreviewed		0
ActivateAll	ԱկտիվացնելԲոլորը	ԱկտիվացնելԲոլորը	existing-unreviewed		0
Active	Ակտիվ	Ակտիվ	existing-unreviewed		0
ActiveInterruptManager	ԱկտիվԸնդհատելmanager	ԱկտիվԸնդհատելmanager	existing-unreviewed		0
ActiveMemoryManager	ԱկտիվՀիշողությունmanager	ԱկտիվՀիշողությունmanager	existing-unreviewed		0
Add	Ավելացնել	Ավելացնել	existing-unreviewed		0
AddDriver	Ավելացնելdriver	Ավելացնելdriver	existing-unreviewed		0
AddRunnableThread	Ավելացնելrunnablethread	Ավելացնելrunnablethread	existing-unreviewed		0
AddTask	Ավելացնելtask	Ավելացնելtask	existing-unreviewed		0
AddThread	Ավելացնելthread	Ավելացնելthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateԱրգելափակել	AllocateԱրգելափակել	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	ՔանակofՀիշողություն	ՔանակofՀիշողություն	existing-unreviewed		0
ArrayToUint16	Զանգվածtounsignedinteger16	Զանգվածtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Զանգվածtounsignedinteger32	Զանգվածtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Զանգվածtounsignedinteger48	Զանգվածtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Զանգվածtounsignedinteger48be	Զանգվածtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Զանգվածtounsignedinteger64	Զանգվածtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Արգելափակելperbyte	Արգելափակելperbyte	existing-unreviewed		0
BLOCK_SIZE	ԱրգելափակելՉափս	ԱրգելափակելՉափս	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedՎիճակ	BlockedՎիճակ	existing-unreviewed		0
Blocks	Արգելափակել	Արգելափակել	existing-unreviewed		0
BoundRangeExceeded	BoundՄիջակայքexceeded	BoundՄիջակայքexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Բայթերpersector	Բայթերpersector	existing-unreviewed		0
BytesToString	ԲայթերtoՏՈՂ	ԲայթերtoՏՈՂ	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Ջնջել	Ջնջել	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneaddressԲացատcow	CloneaddressԲացատcow	existing-unreviewed		0
Connect	Միացնել	Միացնել	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	ՊատճենելԷջՇրջանակԱրգելափակել	ՊատճենելԷջՇրջանակԱրգելափակել	existing-unreviewed		0
CpuState	ԿՄՀՎիճակ	ԿՄՀՎիճակ	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createիցdata	Createիցdata	existing-unreviewed		0
CreateFromFunction	Createիցfunction	Createիցfunction	existing-unreviewed		0
CreatePtrFromFunction	CreateՑուցիչիցfunction	CreateՑուցիչիցfunction	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Currentpid	Currentpid	existing-unreviewed		0
CurrentParentPID	Currentծնողpid	Currentծնողpid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Ապաակտիվացնել	Ապաակտիվացնել	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Հեռացնել	Հեռացնել	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	DescriptorՏիպ	DescriptorՏիպ	existing-unreviewed		0
Destroy	Destroy	Destroy	existing-unreviewed		0
Dev	Սարք	Սարք	existing-unreviewed		0
DeviceHasFunctions	Սարքhasfunctions	Սարքhasfunctions	existing-unreviewed		0
DeviceNotAvailable	ՍարքnotՀասանելի	ՍարքnotՀասանելի	existing-unreviewed		0
Device_id	Սարքid	Սարքid	existing-unreviewed		0
DisableInt	Disableint	Disableint	existing-unreviewed		0
Disconnect	Անջատել	Անջատել	existing-unreviewed		0
DivideByZero	Dividebyzero	Dividebyzero	existing-unreviewed		0
DoHandleInterrupt	DohandleԸնդհատել	DohandleԸնդհատել	existing-unreviewed		0
DoubleFault	Doublefault	Doublefault	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Drivermanager	Drivermanager	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Dynamic	Dynamic	existing-unreviewed		0
E2BIG	E2big	E2big	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
EAGAIN	Eagain	Eagain	existing-unreviewed		0
EBADF	Ebadf	Ebadf	existing-unreviewed		0
EBUSY	Ebusy	Ebusy	existing-unreviewed		0
ECHILD	Echild	Echild	existing-unreviewed		0
EEXIST	Eexist	Eexist	existing-unreviewed		0
EFAULT	Efault	Efault	existing-unreviewed		0
EFBIG	Efbig	Efbig	existing-unreviewed		0
EINTR	Eintr	Eintr	existing-unreviewed		0
EINVAL	Einval	Einval	existing-unreviewed		0
EIO	Eio	Eio	existing-unreviewed		0
EISDIR	Eisdir	Eisdir	existing-unreviewed		0
EMFILE	Emfile	Emfile	existing-unreviewed		0
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed		0
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed		0
ENFILE	Enfile	Enfile	existing-unreviewed		0
ENODEV	Enodev	Enodev	existing-unreviewed		0
ENOENT	Enoent	Enoent	existing-unreviewed		0
ENOEXEC	Enoexec	Enoexec	existing-unreviewed		0
ENOMEM	Enomem	Enomem	existing-unreviewed		0
ENOSPC	Enospc	Enospc	existing-unreviewed		0
ENOSYS	Enosys	Enosys	existing-unreviewed		0
ENOTCONN	Enotconn	Enotconn	existing-unreviewed		0
ENOTDIR	Enotdir	Enotdir	existing-unreviewed		0
ENOTTY	Enotty	Enotty	existing-unreviewed		0
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed		0
EPERM	Eperm	Eperm	existing-unreviewed		0
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed		0
ERANGE	Erange	Erange	existing-unreviewed		0
EROFS	Erofs	Erofs	existing-unreviewed		0
ESPIPE	Espipe	Espipe	existing-unreviewed		0
ESRCH	Esrch	Esrch	existing-unreviewed		0
Eax	Eax	Eax	existing-unreviewed		0
Ebp	Ebp	Ebp	existing-unreviewed		0
Ebx	Ebx	Ebx	existing-unreviewed		0
Ecx	Ecx	Ecx	existing-unreviewed		0
Edi	Edi	Edi	existing-unreviewed		0
Edx	Edx	Edx	existing-unreviewed		0
Eflags	Eflags	Eflags	existing-unreviewed		0
Eip	Eip	Eip	existing-unreviewed		0
Elf	Elf	Elf	existing-unreviewed		0
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed		0
Elf32Note	Elf32Նշում	Elf32Նշում	existing-unreviewed		0
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed		0
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed		0
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed		0
ElfHeader	Elfheader	Elfheader	existing-unreviewed		0
ElfProgramHeader	Elfծրագիրheader	Elfծրագիրheader	existing-unreviewed		0
ElfSectionHeader	Elfsectionheader	Elfsectionheader	existing-unreviewed		0
EnablePaging	Enablepaging	Enablepaging	existing-unreviewed		0
Enabled	Միացված	Միացված	existing-unreviewed		0
EntryNumber	EntryՀԱՄԱՐ	EntryՀԱՄԱՐ	existing-unreviewed		0
EqualBytes	EqualԲայթեր	EqualԲայթեր	existing-unreviewed		0
Es	Es	Es	existing-unreviewed		0
Esi	Esi	Esi	existing-unreviewed		0
Esp	Esp	Esp	existing-unreviewed		0
FPUBuffer	Fpubuffer	Fpubuffer	existing-unreviewed		0
FPUOffset	Fpuoffset	Fpuoffset	existing-unreviewed		0
Family	Family	Family	existing-unreviewed		0
FileName	ՖայլԱնուն	ՖայլԱնուն	existing-unreviewed		0
Fill	Fill	Fill	existing-unreviewed		0
FillRectangle	Fillrectangle	Fillrectangle	existing-unreviewed		0
First	First	First	existing-unreviewed		0
FirstFree	FirstԱզատ	FirstԱզատ	existing-unreviewed		0
FirstFreeSize	FirstԱզատՉափս	FirstԱզատՉափս	existing-unreviewed		0
Flags	Դրոշներ	Դրոշներ	existing-unreviewed		0
FloatingPointException	Floatingpointexception	Floatingpointexception	existing-unreviewed		0
Flush	Flush	Flush	existing-unreviewed		0
FlushTlsTable	FlushtlsԱղյուսակ	FlushtlsԱղյուսակ	existing-unreviewed		0
Focussable	Focussable	Focussable	existing-unreviewed		0
Free	Ազատ	Ազատ	existing-unreviewed		0
Fs	Fs	Fs	existing-unreviewed		0
GB	Gb	Gb	existing-unreviewed		0
GDT_ENTRIES	Gdtentry	Gdtentry	existing-unreviewed		0
GOT	Got	Got	existing-unreviewed		0
