원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/gemeinsam/speicherVorgang.go
src/common/type.go	src/gemeinsam/typ.go
src/console/console.go	src/konsole/konsole.go
src/console/console.s	src/konsole/konsole.s
src/drivers/ata/ata.go	src/treiber/ata/ata.go
src/drivers/driver/driver.go	src/treiber/treiber/treiber.go
src/drivers/keyboard/keyboard.go	src/treiber/tastatur/tastatur.go
src/drivers/mouse/mouse.go	src/treiber/zeigegerät/zeigegerät.go
src/drivers/timer/timer.go	src/treiber/zeitgeber/zeitgeber.go
src/etherframe/etherframe.go	src/rahmen_des_gemeinsamen_Übertragungsnetzes/rahmen_des_gemeinsamen_Übertragungsnetzes.go
src/filesystem/elf/elf.go	src/dateiSystem/ausführbares_und_bindbares_Format/ausführbares_und_bindbares_Format.go
src/filesystem/elf/elfheader.go	src/dateiSystem/ausführbares_und_bindbares_Format/elfKopf.go
src/filesystem/elf/elfsection.go	src/dateiSystem/ausführbares_und_bindbares_Format/elfAbschnitt.go
src/filesystem/elf/linkmap.go	src/dateiSystem/ausführbares_und_bindbares_Format/verknüpfungAbbildung.go
src/filesystem/fat/fat.go	src/dateiSystem/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/dateiSystem/msdosPartition/msdosPartition.go
src/gate/gate.go	src/tor/tor.go
src/gate/gate.s	src/tor/tor.s
src/gate/gate_amd64.go	src/tor/toramd64.go
src/gate/gate_amd64.s	src/tor/toramd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/netzverbundsteuerprotokoll/netzverbundsteuerprotokoll.go
src/interrupt/interrupt.go	src/unterbrechung/unterbrechung.go
src/interrupt/interrupt.s	src/unterbrechung/unterbrechung.s
src/ipv4/ipv4.go	src/netzverbundprotokoll4/netzverbundprotokoll4.go
src/memorymanager/memorymanager.go	src/speicherVerwalter/speicherVerwalter.go
src/multitasking/multi.s	src/mehrfachAufgabenverwaltung/mehrfach.s
src/multitasking/multitasking.go	src/mehrfachAufgabenverwaltung/mehrfachAufgabenverwaltung.go
src/paging/paging.go	src/seitenverwaltung/seitenverwaltung.go
src/paging/paging.s	src/seitenverwaltung/seitenverwaltung.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/physischSpeicher/physischSpeicher.go
src/port/port.go	src/anschluss/anschluss.go
src/port/port.s	src/anschluss/anschluss.s
src/systemcall/systemcall.go	src/systemAufruf/systemAufruf.go
src/systemcall/systemcall.s	src/systemAufruf/systemAufruf.s
src/tasking/process/process.go	src/aufgabenverwaltung/prozess/prozess.go
src/tasking/scheduler/scheduler.go	src/aufgabenverwaltung/planer/planer.go
src/tasking/scheduler/scheduler.s	src/aufgabenverwaltung/planer/planer.s
src/tasking/thread/thread.go	src/aufgabenverwaltung/ausführungsfaden/ausführungsfaden.go
src/tasking/tss/tss.go	src/aufgabenverwaltung/tss/tss.go
src/tasking/tss/tss.s	src/aufgabenverwaltung/tss/tss.s
src/text_mode/text_mode.go	src/textModus/textModus.go
src/udp/udp.go	src/benutzerdatagrammprotokoll/benutzerdatagrammprotokoll.go
src/util/array/array.go	src/hilfswerkzeug/feld/feld.go
src/util/list/list.go	src/hilfswerkzeug/liste/liste.go
src/util/util.go	src/hilfswerkzeug/hilfswerkzeug.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/virtuellSpeicher/virtuellSpeicher.go
src/widget/widget.go	src/bildschirmelement/bildschirmelement.go
main.go	haupt.go
main.s	haupt.s
asm/constants.inc	maschinenstart/konstante.inc
asm/gdt.inc	maschinenstart/gdt.inc
asm/go_asm_offsets.inc	maschinenstart/goasmVersatz.inc
