english	localized	language
a	a	az_Latn
access	access	az_Latn
ack	ack	az_Latn
activate	activate	az_Latn
active	Fəal	az_Latn
add	ƏlavəEt	az_Latn
addend	addend	az_Latn
addr	addr	az_Latn
addralign	addralign	az_Latn
address	address	az_Latn
advanced	Ətraflı	az_Latn
af	af	az_Latn
after	after	az_Latn
align	align	az_Latn
aligned	aligned	az_Latn
alignment	alignment	az_Latn
all	Hamısı	az_Latn
alloc	alloc	az_Latn
allocate	allocate	az_Latn
allocated	allocated	az_Latn
am	am	az_Latn
amd	amd	az_Latn
amount	amount	az_Latn
and	and	az_Latn
append	append	az_Latn
args	args	az_Latn
argument	argument	az_Latn
arguments	arguments	az_Latn
arp	arp	az_Latn
arp콘솔	arp콘솔	az_Latn
array	array	az_Latn
assembly	assembly	az_Latn
at	at	az_Latn
ata	ata	az_Latn
atime	atime	az_Latn
attachment	attachment	az_Latn
attempts	attempts	az_Latn
attr	attr	az_Latn
attribute	attribute	az_Latn
attributes	attributes	az_Latn
aux	aux	az_Latn
avail	avail	az_Latn
available	available	az_Latn
b	b	az_Latn
ba	ba	az_Latn
back	Geri	az_Latn
backend	backend	az_Latn
backup	backup	az_Latn
bar	Çubuq	az_Latn
base	base	az_Latn
be	be	az_Latn
bh	bh	az_Latn
big	big	az_Latn
bind	bind	az_Latn
bios	bios	az_Latn
bit	bit	az_Latn
bitmap	bitmap	az_Latn
bitmasp	bitmasp	az_Latn
bits	bits	az_Latn
blksize	blksize	az_Latn
block	block	az_Latn
blocked	blocked	az_Latn
blocking	blocking	az_Latn
blocks	blocks	az_Latn
boot	Açılış	az_Latn
bootable	bootable	az_Latn
bootloader	bootloader	az_Latn
bound	bound	az_Latn
bpb	bpb	az_Latn
break	break	az_Latn
brk	brk	az_Latn
broadcast	broadcast	az_Latn
buf	buf	az_Latn
buffer	buffer	az_Latn
buffers	Bufferlər	az_Latn
bufptr	bufptr	az_Latn
bus	bus	az_Latn
button	button	az_Latn
buttons	buttons	az_Latn
by	by	az_Latn
byte	byte	az_Latn
bytes	Bayt	az_Latn
c	c	az_Latn
cache	cache	az_Latn
call	call	az_Latn
candidate	candidate	az_Latn
cap	cap	az_Latn
capable	capable	az_Latn
card	card	az_Latn
central	central	az_Latn
char	char	az_Latn
chdir	chdir	az_Latn
check	check	az_Latn
checked	checked	az_Latn
checksum	checksum	az_Latn
child	child	az_Latn
chunk	chunk	az_Latn
class	Sinif	az_Latn
clear	Təmizlə	az_Latn
cloexec	cloexec	az_Latn
clone	clone	az_Latn
close	Bağla	az_Latn
cluster	cluster	az_Latn
cmp	cmp	az_Latn
code	code	az_Latn
col	col	az_Latn
color	color	az_Latn
colordepth	colordepth	az_Latn
command	Əmr	az_Latn
commandport	commandport	az_Latn
common	Ümumi	az_Latn
component	component	az_Latn
connect	Bağlan	az_Latn
connected	connected	az_Latn
console	console	az_Latn
constant	constant	az_Latn
contains	contains	az_Latn
contents	Məzmun	az_Latn
control	control	az_Latn
controller	controller	az_Latn
coordinate	coordinate	az_Latn
copies	copies	az_Latn
copy	Köçür	az_Latn
count	count	az_Latn
cow	cow	az_Latn
cpu	cpu	az_Latn
cpustate	cpustate	az_Latn
cpy	cpy	az_Latn
cr	cr	az_Latn
creat	creat	az_Latn
create	create	az_Latn
crtc	crtc	az_Latn
cs	cs	az_Latn
ctime	ctime	az_Latn
cur	cur	az_Latn
current	current	az_Latn
cursor	cursor	az_Latn
cylinder	cylinder	az_Latn
d	d	az_Latn
data	data	az_Latn
databuffer	databuffer	az_Latn
datagram	datagram	az_Latn
dataport	dataport	az_Latn
date	Tarix	az_Latn
deactivate	deactivate	az_Latn
deactive	deactive	az_Latn
debug	XətaHəlli	az_Latn
decrement	decrement	az_Latn
default	ÖnQurğulu	az_Latn
delete	Sil	az_Latn
delta	delta	az_Latn
depth	depth	az_Latn
desc	desc	az_Latn
descr	descr	az_Latn
description	İzahat	az_Latn
descriptor	descriptor	az_Latn
descriptors	descriptors	az_Latn
descsz	descsz	az_Latn
destination	destination	az_Latn
destroy	destroy	az_Latn
dev	dev	az_Latn
device	Avadanlıq	az_Latn
diff	diff	az_Latn
digits	digits	az_Latn
dir	dir	az_Latn
directory	Cərgə	az_Latn
dirent	dirent	az_Latn
disable	disable	az_Latn
discard	discard	az_Latn
disconnect	Ayır	az_Latn
dispatch	dispatch	az_Latn
divide	divide	az_Latn
divisor	divisor	az_Latn
do	do	az_Latn
domain	domain	az_Latn
double	double	az_Latn
down	down	az_Latn
draw	draw	az_Latn
drive	drive	az_Latn
driver	driver	az_Latn
drivercount	drivercount	az_Latn
drivers	drivers	az_Latn
drv	drv	az_Latn
ds	ds	az_Latn
dst	dst	az_Latn
dstptr	dstptr	az_Latn
dup	dup	az_Latn
dword	dword	az_Latn
dyn	dyn	az_Latn
dynamic	dynamic	az_Latn
e	e	az_Latn
eacces	eacces	az_Latn
eaddrinuse	eaddrinuse	az_Latn
eafnosupport	eafnosupport	az_Latn
eagain	eagain	az_Latn
eax	eax	az_Latn
ebadf	ebadf	az_Latn
ebp	ebp	az_Latn
ebusy	ebusy	az_Latn
ebx	ebx	az_Latn
echild	echild	az_Latn
echo	echo	az_Latn
ecx	ecx	az_Latn
edi	edi	az_Latn
edx	edx	az_Latn
eexist	eexist	az_Latn
ef	ef	az_Latn
efault	efault	az_Latn
efbig	efbig	az_Latn
eflags	eflags	az_Latn
ehsize	ehsize	az_Latn
eintr	eintr	az_Latn
einval	einval	az_Latn
eio	eio	az_Latn
eip	eip	az_Latn
eisdir	eisdir	az_Latn
elf	elf	az_Latn
emfile	emfile	az_Latn
empty	empty	az_Latn
