original	localized	language
Activate	Activate	az_Latn
ActivateAll	ActivateHamısı	az_Latn
Active	Fəal	az_Latn
ActiveInterruptManager	Fəalinterruptmanager	az_Latn
ActiveMemoryManager	FəalYaddaşmanager	az_Latn
Add	ƏlavəEt	az_Latn
AddDriver	ƏlavəEtdriver	az_Latn
AddRunnableThread	ƏlavəEtrunnablethread	az_Latn
AddTask	ƏlavəEttask	az_Latn
AddThread	ƏlavəEtthread	az_Latn
Address	Address	az_Latn
AlignedMalloc	Alignedmalloc	az_Latn
AlignmentCheck	Alignmentcheck	az_Latn
AllocateBlock	Allocateblock	az_Latn
AllocatePID	Allocatepid	az_Latn
AmountOfMemory	AmountofYaddaş	az_Latn
ArrayToUint16	Arraytounsignedinteger16	az_Latn
ArrayToUint32	Arraytounsignedinteger32	az_Latn
ArrayToUint48	Arraytounsignedinteger48	az_Latn
ArrayToUint48_BE	Arraytounsignedinteger48be	az_Latn
ArrayToUint64	Arraytounsignedinteger64	az_Latn
Atime	Atime	az_Latn
AtimeNsec	Atimensec	az_Latn
BLOCKS_PER_BYTE	Blockperbyte	az_Latn
BLOCK_SIZE	BlockBöyüklük	az_Latn
Backend	Backend	az_Latn
BaseAddr	Baseaddress	az_Latn
Bind	Bind	az_Latn
Blksize	Blksize	az_Latn
Blocked	Blocked	az_Latn
BlockedState	Blockedstate	az_Latn
Blocks	Block	az_Latn
BoundRangeExceeded	Boundrangeexceeded	az_Latn
BroadcastMacAddress	Broadcastmacaddress	az_Latn
BytesPerSector	Baytpersector	az_Latn
BytesToString	Bayttostring	az_Latn
Checksum	Checksum	az_Latn
Clear	Təmizlə	az_Latn
Clone	Clone	az_Latn
CloneAddressSpaceCOW	Cloneaddressspacecow	az_Latn
Connect	Bağlan	az_Latn
ContainsCoordinate	Containscoordinate	az_Latn
CopyPageFrameBlock	KöçürSəhifəframeblock	az_Latn
CpuState	Cpustate	az_Latn
Create	Create	az_Latn
CreateFromData	Createfromdata	az_Latn
CreateFromFunction	Createfromfunction	az_Latn
CreatePtrFromFunction	Createpointerfromfunction	az_Latn
Cs	Cs	az_Latn
Ctime	Ctime	az_Latn
CtimeNsec	Ctimensec	az_Latn
CurrentPID	Currentpid	az_Latn
CurrentParentPID	Currentparentpid	az_Latn
Data	Data	az_Latn
Deactivate	Deactivate	az_Latn
Deactive	Deactive	az_Latn
Decrement	Decrement	az_Latn
Delete	Sil	az_Latn
DescriptorPrivilegeLevel	Descriptorprivilegelevel	az_Latn
DescriptorType	DescriptorNöv	az_Latn
Destroy	Destroy	az_Latn
Dev	Avadanlıq	az_Latn
DeviceHasFunctions	Avadanlıqhasfunctions	az_Latn
DeviceNotAvailable	Avadanlıqnotavailable	az_Latn
Device_id	Avadanlıqid	az_Latn
DisableInt	Disableint	az_Latn
Disconnect	Ayır	az_Latn
DivideByZero	Dividebyzero	az_Latn
DoHandleInterrupt	Dohandleinterrupt	az_Latn
DoubleFault	Doublefault	az_Latn
Draw	Draw	az_Latn
DriverManager	Drivermanager	az_Latn
Ds	Ds	az_Latn
Dynamic	Dynamic	az_Latn
E2BIG	E2big	az_Latn
EACCES	Eacces	az_Latn
EADDRINUSE	Eaddrinuse	az_Latn
EAFNOSUPPORT	Eafnosupport	az_Latn
EAGAIN	Eagain	az_Latn
EBADF	Ebadf	az_Latn
EBUSY	Ebusy	az_Latn
ECHILD	Echild	az_Latn
EEXIST	Eexist	az_Latn
EFAULT	Efault	az_Latn
EFBIG	Efbig	az_Latn
EINTR	Eintr	az_Latn
EINVAL	Einval	az_Latn
EIO	Eio	az_Latn
EISDIR	Eisdir	az_Latn
EMFILE	Emfile	az_Latn
EMSGSIZE	Emsgsize	az_Latn
ENETUNREACH	Enetunreach	az_Latn
ENFILE	Enfile	az_Latn
ENODEV	Enodev	az_Latn
ENOENT	Enoent	az_Latn
ENOEXEC	Enoexec	az_Latn
ENOMEM	Enomem	az_Latn
ENOSPC	Enospc	az_Latn
ENOSYS	Enosys	az_Latn
ENOTCONN	Enotconn	az_Latn
ENOTDIR	Enotdir	az_Latn
ENOTTY	Enotty	az_Latn
EOPNOTSUPP	Eopnotsupp	az_Latn
EPERM	Eperm	az_Latn
EPROTONOSUPPORT	Eprotonosupport	az_Latn
ERANGE	Erange	az_Latn
EROFS	Erofs	az_Latn
ESPIPE	Espipe	az_Latn
ESRCH	Esrch	az_Latn
Eax	Eax	az_Latn
Ebp	Ebp	az_Latn
Ebx	Ebx	az_Latn
Ecx	Ecx	az_Latn
Edi	Edi	az_Latn
Edx	Edx	az_Latn
Eflags	Eflags	az_Latn
Eip	Eip	az_Latn
Elf	Elf	az_Latn
Elf32Dyn	Elf32dyn	az_Latn
Elf32Note	Elf32note	az_Latn
Elf32Rel	Elf32rel	az_Latn
Elf32Rela	Elf32rela	az_Latn
Elf32Sym	Elf32sym	az_Latn
ElfHeader	Elfheader	az_Latn
ElfProgramHeader	Elfproqramheader	az_Latn
ElfSectionHeader	Elfsectionheader	az_Latn
EnablePaging	Fəallaşdırpaging	az_Latn
Enabled	Enabled	az_Latn
EntryNumber	Entrynumber	az_Latn
EqualBytes	EqualBayt	az_Latn
Es	Es	az_Latn
Esi	Esi	az_Latn
Esp	Esp	az_Latn
FPUBuffer	Fpubuffer	az_Latn
FPUOffset	Fpuoffset	az_Latn
Family	Family	az_Latn
FileName	FaylAd	az_Latn
Fill	Fill	az_Latn
FillRectangle	Fillrectangle	az_Latn
First	First	az_Latn
FirstFree	FirstBoş	az_Latn
FirstFreeSize	FirstBoşBöyüklük	az_Latn
Flags	Bayraqlar	az_Latn
FloatingPointException	Floatingpointexception	az_Latn
Flush	Flush	az_Latn
FlushTlsTable	Flushtlstable	az_Latn
Focussable	Focussable	az_Latn
Free	Boş	az_Latn
Fs	Fs	az_Latn
GB	Gb	az_Latn
GDT_ENTRIES	Gdtentry	az_Latn
GOT	Got	az_Latn
GPFException	Gpfexception	az_Latn
GatewayIP	Gatewayip	az_Latn
GdtAddressHigh	Gdtaddresshigh	az_Latn
GdtAddressLow	GdtaddressAlçaq	az_Latn
GdtDescriptor	Gdtdescriptor	az_Latn
GdtEntry	Gdtentry_2	az_Latn
GdtSize	GdtBöyüklük	az_Latn
GetAt	Getat	az_Latn
GetBackend	Getbackend	az_Latn
GetBaseAddressRegister	Getbaseaddressregister	az_Latn
GetBitmaspSize	GetbitmaspBöyüklük	az_Latn
GetBytesFromPtr	GetBaytfrompointer	az_Latn
GetCR0	Getcr0	az_Latn
GetCR2	Getcr2	az_Latn
GetCR3	Getcr3	az_Latn
GetCR4	Getcr4	az_Latn
GetColorIndex	Getcolorindex	az_Latn
