original	localized	language
Activate	Activate	rn
ActivateAll	Activateall	rn
Active	Active	rn
ActiveInterruptManager	Activeinterruptmanager	rn
ActiveMemoryManager	Activememorymanager	rn
Add	Add	rn
AddDriver	Adddriver	rn
AddRunnableThread	Addrunnablethread	rn
AddTask	Addtask	rn
AddThread	Addthread	rn
Address	Address	rn
AlignedMalloc	Alignedmalloc	rn
AlignmentCheck	Alignmentcheck	rn
AllocateBlock	Allocateblock	rn
AllocatePID	Allocatepid	rn
AmountOfMemory	Amountofmemory	rn
ArrayToUint16	Arraytounsignedinteger16	rn
ArrayToUint32	Arraytounsignedinteger32	rn
ArrayToUint48	Arraytounsignedinteger48	rn
ArrayToUint48_BE	Arraytounsignedinteger48be	rn
ArrayToUint64	Arraytounsignedinteger64	rn
Atime	Atime	rn
AtimeNsec	Atimensec	rn
BLOCKS_PER_BYTE	Blockperbyte	rn
BLOCK_SIZE	Blocksize	rn
Backend	Backend	rn
BaseAddr	Baseaddress	rn
Bind	Bind	rn
Blksize	Blksize	rn
Blocked	Blocked	rn
BlockedState	Blockedstate	rn
Blocks	Block	rn
BoundRangeExceeded	Boundrangeexceeded	rn
BroadcastMacAddress	Broadcastmacaddress	rn
BytesPerSector	Bytespersector	rn
BytesToString	Bytestostring	rn
Checksum	Checksum	rn
Clear	Clear	rn
Clone	Clone	rn
CloneAddressSpaceCOW	Cloneaddressspacecow	rn
Connect	Connect	rn
ContainsCoordinate	Containscoordinate	rn
CopyPageFrameBlock	Copypageframeblock	rn
CpuState	Cpustate	rn
Create	Create	rn
CreateFromData	Createfromdata	rn
CreateFromFunction	Createfromfunction	rn
CreatePtrFromFunction	Createpointerfromfunction	rn
Cs	Cs	rn
Ctime	Ctime	rn
CtimeNsec	Ctimensec	rn
CurrentPID	Currentpid	rn
CurrentParentPID	Currentparentpid	rn
Data	Data	rn
Deactivate	Deactivate	rn
Deactive	Deactive	rn
Decrement	Decrement	rn
Delete	Delete	rn
DescriptorPrivilegeLevel	Descriptorprivilegelevel	rn
DescriptorType	Descriptortype	rn
Destroy	Destroy	rn
Dev	Device	rn
DeviceHasFunctions	Devicehasfunctions	rn
DeviceNotAvailable	Devicenotavailable	rn
Device_id	Deviceid	rn
DisableInt	Disableint	rn
Disconnect	Disconnect	rn
DivideByZero	Dividebyzero	rn
DoHandleInterrupt	Dohandleinterrupt	rn
DoubleFault	Doublefault	rn
Draw	Draw	rn
DriverManager	Drivermanager	rn
Ds	Ds	rn
Dynamic	Dynamic	rn
E2BIG	E2big	rn
EACCES	Eacces	rn
EADDRINUSE	Eaddrinuse	rn
EAFNOSUPPORT	Eafnosupport	rn
EAGAIN	Eagain	rn
EBADF	Ebadf	rn
EBUSY	Ebusy	rn
ECHILD	Echild	rn
EEXIST	Eexist	rn
EFAULT	Efault	rn
EFBIG	Efbig	rn
EINTR	Eintr	rn
EINVAL	Einval	rn
EIO	Eio	rn
EISDIR	Eisdir	rn
EMFILE	Emfile	rn
EMSGSIZE	Emsgsize	rn
ENETUNREACH	Enetunreach	rn
ENFILE	Enfile	rn
ENODEV	Enodev	rn
ENOENT	Enoent	rn
ENOEXEC	Enoexec	rn
ENOMEM	Enomem	rn
ENOSPC	Enospc	rn
ENOSYS	Enosys	rn
ENOTCONN	Enotconn	rn
ENOTDIR	Enotdir	rn
ENOTTY	Enotty	rn
EOPNOTSUPP	Eopnotsupp	rn
EPERM	Eperm	rn
EPROTONOSUPPORT	Eprotonosupport	rn
ERANGE	Erange	rn
EROFS	Erofs	rn
ESPIPE	Espipe	rn
ESRCH	Esrch	rn
Eax	Eax	rn
Ebp	Ebp	rn
Ebx	Ebx	rn
Ecx	Ecx	rn
Edi	Edi	rn
Edx	Edx	rn
Eflags	Eflags	rn
Eip	Eip	rn
Elf	Elf	rn
Elf32Dyn	Elf32dyn	rn
Elf32Note	Elf32note	rn
Elf32Rel	Elf32rel	rn
Elf32Rela	Elf32rela	rn
Elf32Sym	Elf32sym	rn
ElfHeader	Elfheader	rn
ElfProgramHeader	Elfprogramheader	rn
ElfSectionHeader	Elfsectionheader	rn
EnablePaging	Enablepaging	rn
Enabled	Enabled	rn
EntryNumber	Entrynumber	rn
EqualBytes	Equalbytes	rn
Es	Es	rn
Esi	Esi	rn
Esp	Esp	rn
FPUBuffer	Fpubuffer	rn
FPUOffset	Fpuoffset	rn
Family	Family	rn
FileName	Filename	rn
Fill	Fill	rn
FillRectangle	Fillrectangle	rn
First	First	rn
FirstFree	Firstfree	rn
FirstFreeSize	Firstfreesize	rn
Flags	Flags	rn
FloatingPointException	Floatingpointexception	rn
Flush	Flush	rn
FlushTlsTable	Flushtlstable	rn
Focussable	Focussable	rn
Free	Free	rn
Fs	Fs	rn
GB	Gb	rn
GDT_ENTRIES	Gdtentry	rn
GOT	Got	rn
GPFException	Gpfexception	rn
GatewayIP	Gatewayip	rn
GdtAddressHigh	Gdtaddresshigh	rn
GdtAddressLow	Gdtaddresslow	rn
GdtDescriptor	Gdtdescriptor	rn
GdtEntry	Gdtentry_2	rn
GdtSize	Gdtsize	rn
GetAt	Getat	rn
GetBackend	Getbackend	rn
GetBaseAddressRegister	Getbaseaddressregister	rn
GetBitmaspSize	Getbitmaspsize	rn
GetBytesFromPtr	Getbytesfrompointer	rn
GetCR0	Getcr0	rn
GetCR2	Getcr2	rn
GetCR3	Getcr3	rn
GetCR4	Getcr4	rn
GetColorIndex	Getcolorindex	rn
GetDeviceDescriptor	Getdevicedescriptor	rn
GetDriver	Getdriver	rn
GetESP0	Getesp0	rn
GetEntry	Getentry	rn
GetFileSize	Getfilesize	rn
GetFocus	Getfocus	rn
GetFrameBufferSegment	Getframebuffersegment	rn
GetFuncPtrFromPtr	Getfuncpointerfrompointer	rn
GetFunctionName	Getfunctionname	rn
GetHandler	Gethandler	rn
GetIPAddress	Getipaddress	rn
GetMACAddress	Getmacaddress	rn
GetMACFromCache	Getmacfromcache	rn
GetNextReadyThread	Getnextreadythread	rn
GetNodeAt	Getnodeat	rn
GetProvider	Providerget	rn
GetSS0	Getss0	rn
GetStr	Getstr	rn
GetUint32ArrayFromPtr	Getunsignedinteger32arrayfrompointer	rn
GetUintptrArrayFromPtr	Getunsignedintegerpointerarrayfrompointer	rn
GetValue	Getvalue	rn
GetValueInPageDir	Getvalueinpagedirectory	rn
Gid	Gid	rn
Gs	Gs	rn
HandleException	Handleexception	rn
HandleFatalInterruptFrame	Handlefatalinterruptframe	rn
HandleInterrupt	Handleinterrupt	rn
HandleInterrupt1	Handleinterrupt1	rn
HandleUserDatagramProtocolMessage	Handleuserdatagramprotocolmessage	rn
IDT_DESC_PRESENT	Idtdescriptorpresent	rn
IDT_INTERRUPT_GATE	Idtinterruptgate	rn
IDriver	IDriver	rn
IEtherFrameHandler	IEthernetframehandler	rn
IInternetProtocolHandler	IInternetprotocolhandler	rn
IInterruptHandler	IInterrupthandler	rn
IKeyboardEventHandler	IKeyboardeventhandler	rn
IMouseEventHandler	IMouseeventhandler	rn
IPCIControllerHandler	Ipcicontrollerhandler	rn
IPCache	Ipcache	rn
IP_BE	Ipnetworkbyteorder	rn
IRawDataHandler	IRawdatahandler	rn
ITimerEventHandler	ITimereventhandler	rn
IUserDatagramProtocolHandler	IUserdatagramprotocolhandler	rn
IUserDatagramProtocolSocket	IUserdatagramprotocolsocket	rn
IWidget	IWidget	rn
Identify	Identify	rn
Increment	Increment	rn
IndexOf	Indexof	rn
Init	Init	rn
InitDriver	Initdriver	rn
InitialThreadUserJump	Initialthreaduserjump	rn
Ino	Ino	rn
Install	Install	rn
Interrupt	Interrupt	rn
InterruptActive	Interruptactive	rn
InterruptDeactive	Interruptdeactive	rn
InterruptManager	Interruptmanager	rn
InterruptNumber	Interruptnumber	rn
InvalidOpcode	Invalidopcode	rn
InvalidTSS	Invalidtss	rn
IsKernel	Iskernel	rn
IsPresent	Ispresent	rn
IsUserSpace	Isuserspace	rn
KB	Kb	rn
KCS_INDEX	Kcsindex	rn
KCS_SELECTOR	Kcsselector	rn
KDS_INDEX	Kdsindex	rn
KDS_SELECTOR	Kdsselector	rn
KERNEL_HEAP_START	Kernelheapstart	rn
KERNEL_VIRT_ADDR	Kernelvirtaddress	rn
KGS_INDEX	Kgsindex	rn
KGS_SELECTOR	Kgsselector	rn
K핵심	KKernelEntry	rn
LIDT	Lidt	rn
Last	Last	rn
Len	Len	rn
Limit	Limit	rn
Link	Link	rn
LinkMap	Linkmap	rn
LinkedList	Linkedlist	rn
Listen	Listen	rn
LoadElf	Loadelf	rn
MAC	Mac	rn
MAC0	Mac0	rn
MAC1	Mac1	rn
MAC2	Mac2	rn
MAC3	Mac3	rn
MAC4	Mac4	rn
MAC5	Mac5	rn
MACAddress0Port	Macaddress0port	rn
MACAddress2Port	Macaddress2port	rn
MACAddress4Port	Macaddress4port	rn
MACCache	Maccache	rn
MAX_QUEUE_SIZE	Maxqueuesize	rn
MB	Mb	rn
MBR	Mbr	rn
MHex출력	MHexadecimalprint	rn
MHex출력XY	MHexadecimalprintxy	rn
MUint16출력	MUnsignedinteger16print	rn
MUint16출력XY	MUnsignedinteger16printxy	rn
MUint32출력	MUnsignedinteger32print	rn
MUint32출력XY	MUnsignedinteger32printxy	rn
MUint64출력	MUnsignedinteger64print	rn
MUint64출력XY	MUnsignedinteger64printxy	rn
Machine	Machine	rn
MachineCheck	Machinecheck	rn
MakeRangePrivateWritable	Makerangeprivatewritable	rn
Malloc	Malloc	rn
MemCmp	Memcmp	rn
MemCpy	Memcopy	rn
MemMove	Memmove	rn
MemSet	Memset	rn
MemoryOper	Memoryoper	rn
Mode	Mode	rn
ModelToScreen	Set_local_coordinates	rn
Mtime	Mtime	rn
MtimeNsec	Mtimensec	rn
MyHandleInterrupt	Myhandleinterrupt	rn
MyTest	Mytest	rn
M긴급로그Hex8	MEmergencyloghexadecimal8	rn
M긴급로그Uint32	MEmergencylogunsignedinteger32	rn
M긴급로그문자열	MEmergencylogstring	rn
M직렬로그초기화	MSerialloginit	rn
M출력	MPrint	rn
M출력BytesXY	MPrintbytesxy	rn
M출력Hex	MPrinthexadecimal	rn
M출력Uint16	MPrintunsignedinteger16	rn
M출력Uint32	MPrintunsignedinteger32	rn
M출력XY	MPrintxy	rn
M테스트	M테스트	rn
NMI	Nmi	rn
New	New	rn
NewInterruptHandler	Newinterrupthandler	rn
Next	Next	rn
Nlink	Nlink	rn
Node	Node	rn
Nodename	Nodename	rn
OnEtherFrameReceived	Ethernetframereceivewhen	rn
OnGetDriver	Ongetdriver	rn
OnInternetProtocolReceived	Internetprotocolreceivewhen	rn
OnKeyDown	Onkeydown	rn
OnKeyUp	Onkeyup	rn
OnMouseDown	Onmousedown	rn
OnMouseMove	Onmousemove	rn
OnMouseUp	Onmouseup	rn
OnRawDataReceived	Onrawdatareceive	rn
OnTick	Ontick	rn
