standard_identifier	native_identifier	category	status
AF_INET	code_de_famille_adresse_interréseau	network-declaration	project-proposal
AF_UNSPEC	famille_adresse_non_spécifiée	network-declaration	project-proposal
CHAR_BIT	CHAR_BIT	integer-limit	pending-language-review
CHAR_MAX	CHAR_MAX	integer-limit	pending-language-review
CHAR_MIN	CHAR_MIN	integer-limit	pending-language-review
CHECK	CHECK	variable	pending-language-review
E2BIG	E2BIG	error-code	pending-language-review
EACCES	EACCES	error-code	pending-language-review
EADDRINUSE	EADDRINUSE	error-code	pending-language-review
EAFNOSUPPORT	EAFNOSUPPORT	error-code	pending-language-review
EAGAIN	EAGAIN	error-code	pending-language-review
EBADF	EBADF	error-code	pending-language-review
EBUSY	EBUSY	error-code	pending-language-review
ECHILD	ECHILD	error-code	pending-language-review
EEXIST	EEXIST	error-code	pending-language-review
EFAULT	EFAULT	error-code	pending-language-review
EFBIG	EFBIG	error-code	pending-language-review
EINTR	EINTR	error-code	pending-language-review
EINVAL	EINVAL	error-code	pending-language-review
EIO	EIO	error-code	pending-language-review
EISDIR	EISDIR	error-code	pending-language-review
EMFILE	EMFILE	error-code	pending-language-review
EMSGSIZE	EMSGSIZE	error-code	pending-language-review
ENETUNREACH	ENETUNREACH	error-code	pending-language-review
ENFILE	ENFILE	error-code	pending-language-review
ENODEV	ENODEV	error-code	pending-language-review
ENOENT	ENOENT	error-code	pending-language-review
ENOEXEC	ENOEXEC	error-code	pending-language-review
ENOMEM	ENOMEM	error-code	pending-language-review
ENOSPC	ENOSPC	error-code	pending-language-review
ENOSYS	ENOSYS	error-code	pending-language-review
ENOTCONN	ENOTCONN	error-code	pending-language-review
ENOTDIR	ENOTDIR	error-code	pending-language-review
ENOTTY	ENOTTY	error-code	pending-language-review
EOPNOTSUPP	EOPNOTSUPP	error-code	pending-language-review
EPERM	EPERM	error-code	pending-language-review
EPROTONOSUPPORT	EPROTONOSUPPORT	error-code	pending-language-review
ERANGE	ERANGE	error-code	pending-language-review
EROFS	EROFS	error-code	pending-language-review
ESPIPE	ESPIPE	error-code	pending-language-review
ESRCH	ESRCH	error-code	pending-language-review
EXIT_FAILURE	EXIT_FAILURE	interface-constant	pending-language-review
EXIT_SUCCESS	EXIT_SUCCESS	interface-constant	pending-language-review
FD_CLOEXEC	FD_CLOEXEC	interface-constant	pending-language-review
F_DUPFD	F_DUPFD	interface-constant	pending-language-review
F_GETFD	F_GETFD	interface-constant	pending-language-review
F_GETFL	F_GETFL	interface-constant	pending-language-review
F_OK	F_OK	interface-constant	pending-language-review
F_SETFD	F_SETFD	interface-constant	pending-language-review
F_SETFL	F_SETFL	interface-constant	pending-language-review
INADDR_ANY	toute_adresse_locale	network-declaration	project-proposal
INADDR_LOOPBACK	adresse_de_bouclage	network-declaration	project-proposal
INT_MAX	INT_MAX	integer-limit	pending-language-review
INT_MIN	INT_MIN	integer-limit	pending-language-review
IPPROTO_IP	protocole_interréseau_de_base	network-declaration	project-proposal
IPPROTO_UDP	protocole_de_datagrammes_utilisateur	network-declaration	project-proposal
LLONG_MAX	LLONG_MAX	integer-limit	pending-language-review
LLONG_MIN	LLONG_MIN	integer-limit	pending-language-review
LONG_MAX	LONG_MAX	integer-limit	pending-language-review
LONG_MIN	LONG_MIN	integer-limit	pending-language-review
NULL	NULL	interface-constant	pending-language-review
O_ACCMODE	O_ACCMODE	interface-constant	pending-language-review
O_APPEND	O_APPEND	interface-constant	pending-language-review
O_CREAT	O_CREAT	interface-constant	pending-language-review
O_DIRECTORY	O_DIRECTORY	interface-constant	pending-language-review
O_EXCL	O_EXCL	interface-constant	pending-language-review
O_RDONLY	O_RDONLY	interface-constant	pending-language-review
O_RDWR	O_RDWR	interface-constant	pending-language-review
O_TRUNC	O_TRUNC	interface-constant	pending-language-review
O_WRONLY	O_WRONLY	interface-constant	pending-language-review
PF_INET	famille_de_protocoles_interréseau	network-declaration	project-proposal
R_OK	R_OK	interface-constant	pending-language-review
SC0	SC0	implementation-helper	pending-language-review
SC1	SC1	implementation-helper	pending-language-review
SC2	SC2	implementation-helper	pending-language-review
SC3	SC3	implementation-helper	pending-language-review
SCHAR_MAX	SCHAR_MAX	integer-limit	pending-language-review
SCHAR_MIN	SCHAR_MIN	integer-limit	pending-language-review
SC_accept	SC_accepter_une_connexion	internal-name	derived-from-call-role
SC_bind	SC_associer_une_adresse_locale	internal-name	derived-from-call-role
SC_connect	SC_connecter_au_correspondant	internal-name	derived-from-call-role
SC_getpeername	SC_obtenir_adresse_du_correspondant	internal-name	derived-from-call-role
SC_getsockname	SC_obtenir_adresse_locale	internal-name	derived-from-call-role
SC_listen	SC_préparer_accueil_des_connexions	internal-name	derived-from-call-role
SC_recv	SC_recevoir	internal-name	derived-from-call-role
SC_recvfrom	SC_recevoir_avec_adresse_source	internal-name	derived-from-call-role
SC_send	SC_envoyer	internal-name	derived-from-call-role
SC_sendto	SC_envoyer_vers_une_adresse	internal-name	derived-from-call-role
SC_setsockopt	SC_régler_une_option_du_point	internal-name	derived-from-call-role
SC_shutdown	SC_fermer_un_sens_de_communication	internal-name	derived-from-call-role
SC_socket	SC_créer_un_point_de_communication	internal-name	derived-from-call-role
SEEK_CUR	SEEK_CUR	interface-constant	pending-language-review
SEEK_END	SEEK_END	interface-constant	pending-language-review
SEEK_SET	SEEK_SET	interface-constant	pending-language-review
SHRT_MAX	SHRT_MAX	integer-limit	pending-language-review
SHRT_MIN	SHRT_MIN	integer-limit	pending-language-review
SHUT_RD	arrêter_réception	network-declaration	project-proposal
SHUT_RDWR	arrêter_les_deux_sens	network-declaration	project-proposal
SHUT_WR	arrêter_émission	network-declaration	project-proposal
SOCK_DGRAM	point_de_datagrammes	network-declaration	project-proposal
SOCK_STREAM	point_de_flux_de_données	network-declaration	project-proposal
STDERR_FILENO	STDERR_FILENO	interface-constant	pending-language-review
STDIN_FILENO	STDIN_FILENO	interface-constant	pending-language-review
STDOUT_FILENO	STDOUT_FILENO	interface-constant	pending-language-review
SYS_access	SYS_vérifier_les_droits_accès	internal-name	derived-from-call-role
SYS_brk	SYS_fixer_la_fin_de_mémoire_dynamique	internal-name	derived-from-call-role
SYS_chdir	SYS_changer_le_répertoire_courant	internal-name	derived-from-call-role
SYS_close	SYS_fermer	internal-name	derived-from-call-role
SYS_creat	SYS_créer_un_fichier	internal-name	derived-from-call-role
SYS_dup	SYS_dupliquer_la_référence_de_fichier_ouvert	internal-name	derived-from-call-role
SYS_dup2	SYS_dupliquer_la_référence_vers_un_numéro	internal-name	derived-from-call-role
SYS_execve	SYS_remplacer_le_programme_exécuté	internal-name	derived-from-call-role
SYS_exit	SYS_terminer_immédiatement	internal-name	derived-from-call-role
SYS_fcntl	SYS_contrôler_le_fichier	internal-name	derived-from-call-role
SYS_fork	SYS_dédoubler_le_processus	internal-name	derived-from-call-role
SYS_fstat	SYS_obtenir_état_du_fichier_ouvert	internal-name	derived-from-call-role
SYS_fsync	SYS_synchroniser_les_données_du_fichier	internal-name	derived-from-call-role
SYS_getcwd	SYS_obtenir_le_chemin_du_répertoire_courant	internal-name	derived-from-call-role
SYS_getegid	SYS_obtenir_identifiant_du_groupe_effectif	internal-name	derived-from-call-role
SYS_geteuid	SYS_obtenir_identifiant_utilisateur_effectif	internal-name	derived-from-call-role
SYS_getgid	SYS_obtenir_identifiant_du_groupe	internal-name	derived-from-call-role
SYS_getpid	SYS_obtenir_identifiant_du_processus	internal-name	derived-from-call-role
SYS_getppid	SYS_obtenir_identifiant_du_parent	internal-name	derived-from-call-role
SYS_getuid	SYS_obtenir_identifiant_utilisateur	internal-name	derived-from-call-role
SYS_lseek	SYS_déplacer_la_position_de_fichier	internal-name	derived-from-call-role
SYS_lstat	SYS_obtenir_état_du_lien_même	internal-name	derived-from-call-role
SYS_open	SYS_ouvrir	internal-name	derived-from-call-role
SYS_read	SYS_lire	internal-name	derived-from-call-role
SYS_socketcall	SYS_socketcall	implementation-helper	pending-language-review
SYS_stat	SYS_état_du_fichier	internal-name	derived-from-call-role
SYS_sync	SYS_synchroniser_toutes_les_données	internal-name	derived-from-call-role
SYS_uname	SYS_obtenir_informations_du_système	internal-name	derived-from-call-role
SYS_write	SYS_écrire	internal-name	derived-from-call-role
S_IFCHR	S_IFCHR	interface-constant	pending-language-review
S_IFDIR	S_IFDIR	interface-constant	pending-language-review
S_IFMT	S_IFMT	interface-constant	pending-language-review
S_IFREG	S_IFREG	interface-constant	pending-language-review
S_IRGRP	S_IRGRP	interface-constant	pending-language-review
S_IROTH	S_IROTH	interface-constant	pending-language-review
