english	localized	language
a	অ	bn
access	access	bn
ack	ack	bn
activate	activate	bn
active	active	bn
add	add	bn
addend	addend	bn
addr	addr	bn
addralign	addralign	bn
address	address	bn
advanced	advanced	bn
af	af	bn
after	after	bn
align	align	bn
aligned	aligned	bn
alignment	alignment	bn
all	সব	bn
alloc	alloc	bn
allocate	allocate	bn
allocated	allocated	bn
am	am	bn
amd	amd	bn
amount	amount	bn
and	and	bn
append	append	bn
args	args	bn
argument	argument	bn
arguments	arguments	bn
arp	arp	bn
arp콘솔	arp콘솔	bn
array	array	bn
assembly	assembly	bn
at	at	bn
ata	ata	bn
atime	atime	bn
attachment	attachment	bn
attempts	attempts	bn
attr	attr	bn
attribute	attribute	bn
attributes	attributes	bn
aux	aux	bn
avail	avail	bn
available	available	bn
b	b	bn
ba	ba	bn
back	back	bn
backend	backend	bn
backup	backup	bn
bar	bar	bn
base	base	bn
be	be	bn
bh	bh	bn
big	big	bn
bind	bind	bn
bios	bios	bn
bit	bit	bn
bitmap	bitmap	bn
bitmasp	bitmasp	bn
bits	bits	bn
blksize	blksize	bn
block	block	bn
blocked	blocked	bn
blocking	blocking	bn
blocks	blocks	bn
boot	boot	bn
bootable	bootable	bn
bootloader	bootloader	bn
bound	bound	bn
bpb	bpb	bn
break	break	bn
brk	brk	bn
broadcast	broadcast	bn
buf	buf	bn
buffer	buffer	bn
buffers	buffers	bn
bufptr	bufptr	bn
bus	bus	bn
button	button	bn
buttons	buttons	bn
by	by	bn
byte	byte	bn
bytes	bytes	bn
c	c	bn
cache	cache	bn
call	call	bn
candidate	candidate	bn
cap	cap	bn
capable	capable	bn
card	card	bn
central	central	bn
char	char	bn
chdir	chdir	bn
check	check	bn
checked	checked	bn
checksum	checksum	bn
child	child	bn
chunk	chunk	bn
class	class	bn
clear	clear	bn
cloexec	cloexec	bn
clone	clone	bn
close	close	bn
cluster	cluster	bn
cmp	cmp	bn
code	code	bn
col	col	bn
color	color	bn
colordepth	colordepth	bn
command	command	bn
commandport	commandport	bn
common	common	bn
component	component	bn
connect	connect	bn
connected	connected	bn
console	console	bn
constant	constant	bn
contains	contains	bn
contents	contents	bn
control	control	bn
controller	controller	bn
coordinate	coordinate	bn
copies	copies	bn
copy	copy	bn
count	count	bn
cow	cow	bn
cpu	cpu	bn
cpustate	cpustate	bn
