compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	নিবেশ_পঙ্‌ক্তির_ধারণক্ষমতা	project-proposal
MAX_ARGUMENT_COUNT	আর্গুমেন্টের_সর্বোচ্চ_সংখ্যা	project-proposal
MAX_SCRIPT_DEPTH	আদেশ_নথির_সর্বোচ্চ_অন্তর্ভুক্তি	project-proposal
argument_count	আর্গুমেন্ট_সংখ্যা	project-proposal
arguments	আর্গুমেন্ট_তালিকা	project-proposal
buffer	স্থানান্তরের_অস্থায়ী_ভান্ডার_2	project-proposal
bytes_read	পঠিত_বাইট	project-proposal
bytes_written	লিখিত_বাইটের_সংখ্যা	project-proposal
capacity	ধারণক্ষমতা	project-proposal
character	অক্ষর	project-proposal
child_pid	সন্তান_প্রক্রিয়ার_পরিচয়	project-proposal
cleanup	যোগাযোগ_প্রান্ত_বন্ধ_করা	project-proposal
command	আদেশ	project-proposal
command_aliases	স্থানীয়_আদেশের_নাম	project-proposal
command_cat	নথির_বিষয়বস্তু_দেখানো	project-proposal
command_echo	আর্গুমেন্ট_দেখানো	project-proposal
command_matches	আদেশ_মিলে_যায়	project-proposal
command_names	মূল_আদেশ	project-proposal
command_pid	প্রক্রিয়ার_পরিচয়_দেখানো	project-proposal
command_pwd	বর্তমান_নির্দেশিকা_দেখানো	project-proposal
command_run	কার্যক্রম_চালানো	project-proposal
command_source	আদেশ_নথি_ব্যাখ্যা_করা	project-proposal
command_stat	নথির_তথ্য_দেখানো	project-proposal
command_udp	স্বতন্ত্র_বার্তার_প্রত্যাবর্তন_পরীক্ষা	project-proposal
command_uname	ব্যবস্থার_পরিচয়_দেখানো	project-proposal
current	বর্তমান_অবস্থান	project-proposal
digit_text	অঙ্কের_অক্ষর	project-proposal
file_descriptor	নথি_নির্দেশক_2	project-proposal
file_name	নথির_নাম	project-proposal
input	নিবেশ	project-proposal
input_descriptor	নিবেশ_নির্দেশক	project-proposal
input_line	নিবেশের_পঙ্‌ক্তি	project-proposal
input_stream	নিবেশের_প্রবাহ	project-proposal
left	বাঁদিক	project-proposal
length	দৈর্ঘ্য	project-proposal
message	বার্তা	project-proposal
message_length	বার্তার_বাইট_দৈর্ঘ্য	project-proposal
name	ব্যবস্থার_পরিচয়	project-proposal
number	চিহ্নবিহীন_পরিমাণ	project-proposal
operation	ক্রিয়া	project-proposal
output	নির্গমের_অবস্থান	project-proposal
overflow	অবৈধ_নিবেশ_পঙ্‌ক্তি	project-proposal
path	পথ	project-proposal
position	অবস্থান	project-proposal
print_help	সহায়তা_দেখানো	project-proposal
quote	উদ্ধৃতি_চিহ্ন	project-proposal
read_line	নিবেশের_পঙ্‌ক্তি_পড়া	project-proposal
receive_address	গ্রাহকের_ঠিকানা	project-proposal
receive_socket	গ্রহণের_যোগাযোগ_প্রান্ত	project-proposal
received_data	প্রাপ্ত_তথ্য	project-proposal
received_length	প্রাপ্ত_বাইটের_সংখ্যা	project-proposal
right	ডানদিক	project-proposal
run_input	নিবেশ_ব্যাখ্যা_করা	project-proposal
script_depth	আদেশ_নথির_অন্তর্ভুক্তির_গভীরতা	project-proposal
send_socket	প্রেরণের_যোগাযোগ_প্রান্ত	project-proposal
size	অঙ্কের_সংখ্যা	project-proposal
source_address	প্রেরকের_ঠিকানা	project-proposal
source_address_length	প্রেরকের_ঠিকানার_দৈর্ঘ্য	project-proposal
split_arguments	আর্গুমেন্ট_আলাদা_করা	project-proposal
status	অবস্থা	project-proposal
text	পাঠ	project-proposal
text_equal	পাঠ_সমান	project-proposal
text_length	পাঠের_বাইট_দৈর্ঘ্য	project-proposal
value	মান	project-proposal
wait_status	সন্তান_প্রক্রিয়ার_সমাপ্তির_অবস্থা	project-proposal
write_error	ত্রুটি_জানানো	project-proposal
write_integer	পূর্ণসংখ্যা_লেখা	project-proposal
write_text	পাঠ_লেখা	project-proposal
