english	localized	language
a	а	bg
access	достъп	bg
ack	ack	bg
activate	Активиране	bg
active	Активна	bg
add	Добавяне	bg
addend	addend	bg
addr	addr	bg
addralign	addralign	bg
address	address	bg
advanced	Допълнителни	bg
af	af	bg
after	След	bg
align	Подравняване	bg
aligned	aligned	bg
alignment	alignment	bg
all	Всички	bg
alloc	alloc	bg
allocate	allocate	bg
allocated	allocated	bg
am	am	bg
amd	amd	bg
amount	Количество	bg
and	and	bg
append	append	bg
args	args	bg
argument	argument	bg
arguments	Параметри	bg
arp	arp	bg
arp콘솔	arp콘솔	bg
array	Масив	bg
assembly	assembly	bg
at	at	bg
ata	ata	bg
atime	atime	bg
attachment	attachment	bg
attempts	attempts	bg
attr	attr	bg
attribute	атрибут	bg
attributes	Атрибути	bg
aux	aux	bg
avail	avail	bg
available	Налично	bg
b	Б	bg
ba	ba	bg
back	Назад	bg
backend	backend	bg
backup	backup	bg
bar	Лента	bg
base	base	bg
be	be	bg
bh	bh	bg
big	big	bg
bind	bind	bg
bios	bios	bg
bit	bit	bg
bitmap	bitmap	bg
bitmasp	bitmasp	bg
bits	бита	bg
blksize	blksize	bg
block	Блок	bg
blocked	blocked	bg
blocking	blocking	bg
blocks	Блокчета	bg
boot	boot	bg
bootable	bootable	bg
bootloader	bootloader	bg
bound	bound	bg
bpb	bpb	bg
break	break	bg
brk	brk	bg
broadcast	broadcast	bg
buf	buf	bg
buffer	buffer	bg
buffers	Буфери	bg
bufptr	bufptr	bg
bus	bus	bg
button	Бутон	bg
buttons	Бутони	bg
by	by	bg
byte	byte	bg
bytes	Байтове	bg
c	c	bg
cache	cache	bg
call	call	bg
candidate	candidate	bg
cap	cap	bg
capable	capable	bg
card	Карти	bg
central	central	bg
char	char	bg
chdir	chdir	bg
check	check	bg
checked	checked	bg
checksum	checksum	bg
child	дете	bg
chunk	chunk	bg
class	Клас	bg
clear	Изчистване	bg
cloexec	cloexec	bg
clone	clone	bg
close	Затваряне	bg
cluster	cluster	bg
cmp	cmp	bg
code	code	bg
col	col	bg
color	Цвят	bg
colordepth	colordepth	bg
command	Команда	bg
commandport	commandport	bg
common	Честосрещани	bg
component	component	bg
connect	Свързване	bg
connected	connected	bg
console	console	bg
constant	Константа	bg
contains	contains	bg
contents	Ръководство	bg
control	Ctrl	bg
controller	controller	bg
coordinate	coordinate	bg
copies	copies	bg
copy	Копиране	bg
count	count	bg
cow	cow	bg
cpu	Процесор	bg
cpustate	cpustate	bg
cpy	cpy	bg
cr	cr	bg
creat	creat	bg
create	create	bg
crtc	crtc	bg
cs	cs	bg
ctime	ctime	bg
cur	cur	bg
current	Текущадата	bg
cursor	Курсор	bg
cylinder	cylinder	bg
d	d	bg
data	data	bg
databuffer	databuffer	bg
datagram	datagram	bg
dataport	dataport	bg
date	Дата	bg
deactivate	Деактивиране	bg
deactive	deactive	bg
debug	debug	bg
decrement	decrement	bg
default	Поподразбиране	bg
delete	Изтриване	bg
delta	delta	bg
depth	depth	bg
desc	desc	bg
descr	descr	bg
description	Описание	bg
descriptor	descriptor	bg
descriptors	descriptors	bg
descsz	descsz	bg
destination	Назначение	bg
destroy	Унищожаване	bg
dev	dev	bg
device	Устройство	bg
