original	localized	language
Activate	Активиране	bg
ActivateAll	АктивиранеВсички	bg
Active	Активна	bg
ActiveInterruptManager	АктивнаПрекъсванеmanager	bg
ActiveMemoryManager	АктивнаПаметmanager	bg
Add	Добавяне	bg
AddDriver	Добавянеdriver	bg
AddRunnableThread	Добавянеrunnablethread	bg
AddTask	ДобавянеЗадача	bg
AddThread	Добавянеthread	bg
Address	Address	bg
AlignedMalloc	Alignedmalloc	bg
AlignmentCheck	Alignmentcheck	bg
AllocateBlock	AllocateБлок	bg
AllocatePID	AllocateИдПр	bg
AmountOfMemory	КоличествоотПамет	bg
ArrayToUint16	Масивtounsignedinteger16	bg
ArrayToUint32	Масивtounsignedinteger32	bg
ArrayToUint48	Масивtounsignedinteger48	bg
ArrayToUint48_BE	Масивtounsignedinteger48be	bg
ArrayToUint64	Масивtounsignedinteger64	bg
Atime	Atime	bg
AtimeNsec	Atimensec	bg
BLOCKS_PER_BYTE	Блокperbyte	bg
BLOCK_SIZE	БлокРазмер	bg
Backend	Backend	bg
BaseAddr	Baseaddress	bg
Bind	Bind	bg
Blksize	Blksize	bg
Blocked	Blocked	bg
BlockedState	BlockedСъстояние	bg
Blocks	Блок	bg
BoundRangeExceeded	BoundДиапазонexceeded	bg
BroadcastMacAddress	Broadcastmacaddress	bg
BytesPerSector	Байтовеpersector	bg
BytesToString	БайтовеtoНиз	bg
Checksum	Checksum	bg
Clear	Изчистване	bg
Clone	Clone	bg
CloneAddressSpaceCOW	CloneaddressИнтервалcow	bg
Connect	Свързване	bg
ContainsCoordinate	Containscoordinate	bg
CopyPageFrameBlock	КопиранеСтраницаРамкаБлок	bg
CpuState	ПроцесорСъстояние	bg
Create	Create	bg
CreateFromData	Createfromdata	bg
CreateFromFunction	Createfromфункция	bg
CreatePtrFromFunction	CreateПоказалциfromфункция	bg
Cs	Cs	bg
Ctime	Ctime	bg
CtimeNsec	Ctimensec	bg
CurrentPID	ТекущадатаИдПр	bg
CurrentParentPID	ТекущадатародителИдПр	bg
Data	Data	bg
Deactivate	Деактивиране	bg
Deactive	Deactive	bg
Decrement	Decrement	bg
Delete	Изтриване	bg
DescriptorPrivilegeLevel	Descriptorprivilegelevel	bg
DescriptorType	DescriptorТип	bg
Destroy	Унищожаване	bg
Dev	Устройство	bg
DeviceHasFunctions	УстройствоhasФункции	bg
DeviceNotAvailable	УстройствоnotНалично	bg
Device_id	УстройствоИДЕНТИФИКАТОР	bg
DisableInt	ИзключванеЦялочисло	bg
Disconnect	Изключване	bg
DivideByZero	Dividebyzero	bg
DoHandleInterrupt	DoРъкохваткаПрекъсване	bg
DoubleFault	Дублиранеfault	bg
Draw	Draw	bg
DriverManager	Drivermanager	bg
Ds	Ds	bg
Dynamic	Динамично	bg
E2BIG	E2big	bg
EACCES	Eacces	bg
EADDRINUSE	Eaddrinuse	bg
EAFNOSUPPORT	Eafnosupport	bg
EAGAIN	Eagain	bg
EBADF	Ebadf	bg
EBUSY	Ebusy	bg
ECHILD	Echild	bg
EEXIST	Eexist	bg
EFAULT	Efault	bg
EFBIG	Efbig	bg
EINTR	Eintr	bg
EINVAL	Einval	bg
EIO	Eio	bg
EISDIR	Eisdir	bg
EMFILE	Emfile	bg
EMSGSIZE	Emsgsize	bg
ENETUNREACH	Enetunreach	bg
ENFILE	Enfile	bg
ENODEV	Enodev	bg
ENOENT	Enoent	bg
ENOEXEC	Enoexec	bg
ENOMEM	Enomem	bg
ENOSPC	Enospc	bg
ENOSYS	Enosys	bg
ENOTCONN	Enotconn	bg
ENOTDIR	Enotdir	bg
ENOTTY	Enotty	bg
EOPNOTSUPP	Eopnotsupp	bg
EPERM	Eperm	bg
EPROTONOSUPPORT	Eprotonosupport	bg
ERANGE	Erange	bg
EROFS	Erofs	bg
ESPIPE	Espipe	bg
ESRCH	Esrch	bg
Eax	Eax	bg
Ebp	Ebp	bg
Ebx	Ebx	bg
Ecx	Ecx	bg
Edi	Edi	bg
Edx	Edx	bg
Eflags	Eflags	bg
Eip	Eip	bg
