original	before	after	review_status	concept	changed_tokens
Activate	Активиране	Активиране	existing-unreviewed		0
ActivateAll	АктивиранеВсички	АктивиранеВсички	existing-unreviewed		0
Active	Активна	Активна	existing-unreviewed		0
ActiveInterruptManager	АктивнаПрекъсванеmanager	АктивнаПрекъсванеmanager	existing-unreviewed		0
ActiveMemoryManager	АктивнаПаметmanager	АктивнаПаметmanager	existing-unreviewed		0
Add	Добавяне	Добавяне	existing-unreviewed		0
AddDriver	Добавянеdriver	Добавянеdriver	existing-unreviewed		0
AddRunnableThread	Добавянеrunnablethread	Добавянеrunnablethread	existing-unreviewed		0
AddTask	ДобавянеЗадача	ДобавянеЗадача	existing-unreviewed		0
AddThread	Добавянеthread	Добавянеthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateБлок	AllocateБлок	existing-unreviewed		0
AllocatePID	AllocateИдПр	AllocateИдПр	existing-unreviewed		0
AmountOfMemory	КоличествоотПамет	КоличествоотПамет	existing-unreviewed		0
ArrayToUint16	Масивtounsignedinteger16	Масивtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Масивtounsignedinteger32	Масивtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Масивtounsignedinteger48	Масивtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Масивtounsignedinteger48be	Масивtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Масивtounsignedinteger64	Масивtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Блокperbyte	Блокperbyte	existing-unreviewed		0
BLOCK_SIZE	БлокРазмер	БлокРазмер	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedСъстояние	BlockedСъстояние	existing-unreviewed		0
Blocks	Блок	Блок	existing-unreviewed		0
BoundRangeExceeded	BoundДиапазонexceeded	BoundДиапазонexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Байтовеpersector	Байтовеpersector	existing-unreviewed		0
BytesToString	БайтовеtoНиз	БайтовеtoНиз	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Изчистване	Изчистване	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneaddressИнтервалcow	CloneaddressИнтервалcow	existing-unreviewed		0
Connect	Свързване	Свързване	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	КопиранеСтраницаРамкаБлок	КопиранеСтраницаРамкаБлок	existing-unreviewed		0
CpuState	ПроцесорСъстояние	ПроцесорСъстояние	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	Createfromфункция	Createfromфункция	existing-unreviewed		0
CreatePtrFromFunction	CreateПоказалциfromфункция	CreateПоказалциfromфункция	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	ТекущадатаИдПр	ТекущадатаИдПр	existing-unreviewed		0
CurrentParentPID	ТекущадатародителИдПр	ТекущадатародителИдПр	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Деактивиране	Деактивиране	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Изтриване	Изтриване	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	DescriptorТип	DescriptorТип	existing-unreviewed		0
Destroy	Унищожаване	Унищожаване	existing-unreviewed		0
Dev	Устройство	Устройство	existing-unreviewed		0
DeviceHasFunctions	УстройствоhasФункции	УстройствоhasФункции	existing-unreviewed		0
DeviceNotAvailable	УстройствоnotНалично	УстройствоnotНалично	existing-unreviewed		0
Device_id	УстройствоИДЕНТИФИКАТОР	УстройствоИДЕНТИФИКАТОР	existing-unreviewed		0
DisableInt	ИзключванеЦялочисло	ИзключванеЦялочисло	existing-unreviewed		0
Disconnect	Изключване	Изключване	existing-unreviewed		0
DivideByZero	Dividebyzero	Dividebyzero	existing-unreviewed		0
DoHandleInterrupt	DoРъкохваткаПрекъсване	DoРъкохваткаПрекъсване	existing-unreviewed		0
DoubleFault	Дублиранеfault	Дублиранеfault	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Drivermanager	Drivermanager	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Динамично	Динамично	existing-unreviewed		0
E2BIG	E2big	E2big	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
EAGAIN	Eagain	Eagain	existing-unreviewed		0
EBADF	Ebadf	Ebadf	existing-unreviewed		0
EBUSY	Ebusy	Ebusy	existing-unreviewed		0
ECHILD	Echild	Echild	existing-unreviewed		0
EEXIST	Eexist	Eexist	existing-unreviewed		0
EFAULT	Efault	Efault	existing-unreviewed		0
EFBIG	Efbig	Efbig	existing-unreviewed		0
EINTR	Eintr	Eintr	existing-unreviewed		0
EINVAL	Einval	Einval	existing-unreviewed		0
EIO	Eio	Eio	existing-unreviewed		0
EISDIR	Eisdir	Eisdir	existing-unreviewed		0
EMFILE	Emfile	Emfile	existing-unreviewed		0
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed		0
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed		0
ENFILE	Enfile	Enfile	existing-unreviewed		0
ENODEV	Enodev	Enodev	existing-unreviewed		0
ENOENT	Enoent	Enoent	existing-unreviewed		0
ENOEXEC	Enoexec	Enoexec	existing-unreviewed		0
ENOMEM	Enomem	Enomem	existing-unreviewed		0
ENOSPC	Enospc	Enospc	existing-unreviewed		0
ENOSYS	Enosys	Enosys	existing-unreviewed		0
ENOTCONN	Enotconn	Enotconn	existing-unreviewed		0
ENOTDIR	Enotdir	Enotdir	existing-unreviewed		0
ENOTTY	Enotty	Enotty	existing-unreviewed		0
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed		0
EPERM	Eperm	Eperm	existing-unreviewed		0
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed		0
ERANGE	Erange	Erange	existing-unreviewed		0
EROFS	Erofs	Erofs	existing-unreviewed		0
ESPIPE	Espipe	Espipe	existing-unreviewed		0
ESRCH	Esrch	Esrch	existing-unreviewed		0
Eax	Eax	Eax	existing-unreviewed		0
Ebp	Ebp	Ebp	existing-unreviewed		0
Ebx	Ebx	Ebx	existing-unreviewed		0
Ecx	Ecx	Ecx	existing-unreviewed		0
Edi	Edi	Edi	existing-unreviewed		0
Edx	Edx	Edx	existing-unreviewed		0
Eflags	Eflags	Eflags	existing-unreviewed		0
Eip	Eip	Eip	existing-unreviewed		0
Elf	Elf	Elf	existing-unreviewed		0
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed		0
Elf32Note	Elf32Бележка	Elf32Бележка	existing-unreviewed		0
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed		0
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed		0
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed		0
ElfHeader	Elfheader	Elfheader	existing-unreviewed		0
ElfProgramHeader	Elfпрограмаheader	Elfпрограмаheader	existing-unreviewed		0
ElfSectionHeader	Elfsectionheader	Elfsectionheader	existing-unreviewed		0
EnablePaging	Включванеpaging	Включванеpaging	existing-unreviewed		0
Enabled	Включена	Включена	existing-unreviewed		0
EntryNumber	ЗаписЧисло	ЗаписЧисло	existing-unreviewed		0
EqualBytes	ЕднакъвБайтове	ЕднакъвБайтове	existing-unreviewed		0
Es	Es	Es	existing-unreviewed		0
Esi	Esi	Esi	existing-unreviewed		0
Esp	Esp	Esp	existing-unreviewed		0
FPUBuffer	Fpubuffer	Fpubuffer	existing-unreviewed		0
FPUOffset	Fpuoffset	Fpuoffset	existing-unreviewed		0
Family	Family	Family	existing-unreviewed		0
FileName	ФайлИме	ФайлИме	existing-unreviewed		0
Fill	Fill	Fill	existing-unreviewed		0
FillRectangle	FillПравоъгълник	FillПравоъгълник	existing-unreviewed		0
First	First	First	existing-unreviewed		0
FirstFree	FirstСвободно	FirstСвободно	existing-unreviewed		0
FirstFreeSize	FirstСвободноРазмер	FirstСвободноРазмер	existing-unreviewed		0
Flags	Флагове	Флагове	existing-unreviewed		0
FloatingPointException	Плаващоpointexception	Плаващоpointexception	existing-unreviewed		0
Flush	Flush	Flush	existing-unreviewed		0
FlushTlsTable	FlushtlsТаблица	FlushtlsТаблица	existing-unreviewed		0
Focussable	Focussable	Focussable	existing-unreviewed		0
Free	Свободно	Свободно	existing-unreviewed		0
Fs	Fs	Fs	existing-unreviewed		0
GB	ГБ	ГБ	existing-unreviewed		0
GDT_ENTRIES	Gdtзапис	Gdtзапис	existing-unreviewed		0
GOT	Got	Got	existing-unreviewed		0
GPFException	Gpfexception	Gpfexception	existing-unreviewed		0
GatewayIP	Gatewayip	Gatewayip	existing-unreviewed		0
GdtAddressHigh	GdtaddressВисок	GdtaddressВисок	existing-unreviewed		0
GdtAddressLow	GdtaddressНисък	GdtaddressНисък	existing-unreviewed		0
GdtDescriptor	Gdtdescriptor	Gdtdescriptor	existing-unreviewed		0
GdtEntry	Gdtзапис_2	Gdtзапис_2	existing-unreviewed		0
GdtSize	GdtРазмер	GdtРазмер	existing-unreviewed		0
GetAt	Getat	Getat	existing-unreviewed		0
GetBackend	Getbackend	Getbackend	existing-unreviewed		0
GetBaseAddressRegister	Getbaseaddressregister	Getbaseaddressregister	existing-unreviewed		0
GetBitmaspSize	GetbitmaspРазмер	GetbitmaspРазмер	existing-unreviewed		0
GetBytesFromPtr	GetБайтовеfromПоказалци	GetБайтовеfromПоказалци	existing-unreviewed		0
GetCR0	Getcr0	Getcr0	existing-unreviewed		0
GetCR2	Getcr2	Getcr2	existing-unreviewed		0
