original	localized	language
Activate	Aktiviraj	bs_Cyrl
ActivateAll	AktivirajSve	bs_Cyrl
Active	Active	bs_Cyrl
ActiveInterruptManager	Activeinterruptmanager	bs_Cyrl
ActiveMemoryManager	ActiveMemorijamanager	bs_Cyrl
Add	Dodaj	bs_Cyrl
AddDriver	Dodajdriver	bs_Cyrl
AddRunnableThread	Dodajrunnablethread	bs_Cyrl
AddTask	Dodajtask	bs_Cyrl
AddThread	Dodajthread	bs_Cyrl
Address	Address	bs_Cyrl
AlignedMalloc	Alignedmalloc	bs_Cyrl
AlignmentCheck	Alignmentcheck	bs_Cyrl
AllocateBlock	Allocateblok	bs_Cyrl
AllocatePID	Allocatepid	bs_Cyrl
AmountOfMemory	IznosofMemorija	bs_Cyrl
ArrayToUint16	Arraytounsignedinteger16	bs_Cyrl
ArrayToUint32	Arraytounsignedinteger32	bs_Cyrl
ArrayToUint48	Arraytounsignedinteger48	bs_Cyrl
ArrayToUint48_BE	Arraytounsignedinteger48be	bs_Cyrl
ArrayToUint64	Arraytounsignedinteger64	bs_Cyrl
Atime	Atime	bs_Cyrl
AtimeNsec	Atimensec	bs_Cyrl
BLOCKS_PER_BYTE	Blokperbyte	bs_Cyrl
BLOCK_SIZE	BlokVeličina	bs_Cyrl
Backend	Backend	bs_Cyrl
BaseAddr	Baseaddress	bs_Cyrl
Bind	Bind	bs_Cyrl
Blksize	Blksize	bs_Cyrl
Blocked	Blocked	bs_Cyrl
BlockedState	Blockedstate	bs_Cyrl
Blocks	Blok	bs_Cyrl
BoundRangeExceeded	Boundrangeexceeded	bs_Cyrl
BroadcastMacAddress	Broadcastmacaddress	bs_Cyrl
BytesPerSector	Bajtovapersector	bs_Cyrl
BytesToString	BajtovatoNIZ	bs_Cyrl
Checksum	Checksum	bs_Cyrl
Clear	Obriši	bs_Cyrl
Clone	Clone	bs_Cyrl
CloneAddressSpaceCOW	Cloneaddressspacecow	bs_Cyrl
Connect	Spojise	bs_Cyrl
ContainsCoordinate	Containscoordinate	bs_Cyrl
CopyPageFrameBlock	KopirajStranicaOkvirblok	bs_Cyrl
CpuState	Cpustate	bs_Cyrl
Create	Create	bs_Cyrl
CreateFromData	Createfromdata	bs_Cyrl
CreateFromFunction	CreatefromFunkcija	bs_Cyrl
CreatePtrFromFunction	CreatepointerfromFunkcija	bs_Cyrl
Cs	Cs	bs_Cyrl
Ctime	Ctime	bs_Cyrl
CtimeNsec	Ctimensec	bs_Cyrl
CurrentPID	Currentpid	bs_Cyrl
CurrentParentPID	Currentparentpid	bs_Cyrl
Data	Data	bs_Cyrl
Deactivate	Deaktiviraj	bs_Cyrl
Deactive	Deactive	bs_Cyrl
Decrement	Decrement	bs_Cyrl
Delete	Obriši_2	bs_Cyrl
DescriptorPrivilegeLevel	Descriptorprivilegelevel	bs_Cyrl
DescriptorType	DescriptorTip	bs_Cyrl
Destroy	Destroy	bs_Cyrl
Dev	Uređaj	bs_Cyrl
DeviceHasFunctions	UređajhasFunkcije	bs_Cyrl
DeviceNotAvailable	UređajnotDostupan	bs_Cyrl
Device_id	Uređajid	bs_Cyrl
DisableInt	Disableint	bs_Cyrl
Disconnect	Prekinivezu	bs_Cyrl
DivideByZero	Dividebyzero	bs_Cyrl
DoHandleInterrupt	Dohandleinterrupt	bs_Cyrl
DoubleFault	Doublefault	bs_Cyrl
Draw	Draw	bs_Cyrl
DriverManager	Drivermanager	bs_Cyrl
Ds	Ds	bs_Cyrl
Dynamic	Dynamic	bs_Cyrl
E2BIG	E2big	bs_Cyrl
EACCES	Eacces	bs_Cyrl
EADDRINUSE	Eaddrinuse	bs_Cyrl
EAFNOSUPPORT	Eafnosupport	bs_Cyrl
EAGAIN	Eagain	bs_Cyrl
EBADF	Ebadf	bs_Cyrl
EBUSY	Ebusy	bs_Cyrl
ECHILD	Echild	bs_Cyrl
EEXIST	Eexist	bs_Cyrl
EFAULT	Efault	bs_Cyrl
EFBIG	Efbig	bs_Cyrl
EINTR	Eintr	bs_Cyrl
EINVAL	Einval	bs_Cyrl
EIO	Eio	bs_Cyrl
EISDIR	Eisdir	bs_Cyrl
EMFILE	Emfile	bs_Cyrl
EMSGSIZE	Emsgsize	bs_Cyrl
ENETUNREACH	Enetunreach	bs_Cyrl
ENFILE	Enfile	bs_Cyrl
ENODEV	Enodev	bs_Cyrl
ENOENT	Enoent	bs_Cyrl
ENOEXEC	Enoexec	bs_Cyrl
ENOMEM	Enomem	bs_Cyrl
ENOSPC	Enospc	bs_Cyrl
ENOSYS	Enosys	bs_Cyrl
ENOTCONN	Enotconn	bs_Cyrl
ENOTDIR	Enotdir	bs_Cyrl
ENOTTY	Enotty	bs_Cyrl
EOPNOTSUPP	Eopnotsupp	bs_Cyrl
EPERM	Eperm	bs_Cyrl
EPROTONOSUPPORT	Eprotonosupport	bs_Cyrl
ERANGE	Erange	bs_Cyrl
EROFS	Erofs	bs_Cyrl
ESPIPE	Espipe	bs_Cyrl
ESRCH	Esrch	bs_Cyrl
Eax	Eax	bs_Cyrl
Ebp	Ebp	bs_Cyrl
Ebx	Ebx	bs_Cyrl
Ecx	Ecx	bs_Cyrl
Edi	Edi	bs_Cyrl
Edx	Edx	bs_Cyrl
Eflags	Eflags	bs_Cyrl
Eip	Eip	bs_Cyrl
Elf	Elf	bs_Cyrl
Elf32Dyn	Elf32dyn	bs_Cyrl
Elf32Note	Elf32Bilješka	bs_Cyrl
Elf32Rel	Elf32rel	bs_Cyrl
Elf32Rela	Elf32rela	bs_Cyrl
Elf32Sym	Elf32sym	bs_Cyrl
ElfHeader	Elfheader	bs_Cyrl
ElfProgramHeader	Elfprogramheader	bs_Cyrl
ElfSectionHeader	Elfsectionheader	bs_Cyrl
EnablePaging	Enablepaging	bs_Cyrl
Enabled	Enabled	bs_Cyrl
EntryNumber	UnosBroj	bs_Cyrl
EqualBytes	EqualBajtova	bs_Cyrl
Es	Es	bs_Cyrl
Esi	Esi	bs_Cyrl
Esp	Esp	bs_Cyrl
FPUBuffer	Fpubuffer	bs_Cyrl
FPUOffset	Fpuoffset	bs_Cyrl
Family	Family	bs_Cyrl
FileName	DatotekaNaziv	bs_Cyrl
Fill	Fill	bs_Cyrl
FillRectangle	Fillrectangle	bs_Cyrl
First	First	bs_Cyrl
FirstFree	FirstSlobodno	bs_Cyrl
FirstFreeSize	FirstSlobodnoVeličina	bs_Cyrl
