original	before	after	review_status	concept	changed_tokens
Activate	Aktiviraj	Aktiviraj	existing-unreviewed		0
ActivateAll	AktivirajSve	AktivirajSve	existing-unreviewed		0
Active	Active	Active	existing-unreviewed		0
ActiveInterruptManager	Activeinterruptmanager	Activeinterruptmanager	existing-unreviewed		0
ActiveMemoryManager	ActiveMemorijamanager	ActiveMemorijamanager	existing-unreviewed		0
Add	Dodaj	Dodaj	existing-unreviewed		0
AddDriver	Dodajdriver	Dodajdriver	existing-unreviewed		0
AddRunnableThread	Dodajrunnablethread	Dodajrunnablethread	existing-unreviewed		0
AddTask	Dodajtask	Dodajtask	existing-unreviewed		0
AddThread	Dodajthread	Dodajthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	Allocateblok	Allocateblok	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	IznosofMemorija	IznosofMemorija	existing-unreviewed		0
ArrayToUint16	Arraytounsignedinteger16	Arraytounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Arraytounsignedinteger32	Arraytounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Arraytounsignedinteger48	Arraytounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Arraytounsignedinteger48be	Arraytounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Arraytounsignedinteger64	Arraytounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Blokperbyte	Blokperbyte	existing-unreviewed		0
BLOCK_SIZE	BlokVeličina	BlokVeličina	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	Blockedstate	Blockedstate	existing-unreviewed		0
Blocks	Blok	Blok	existing-unreviewed		0
BoundRangeExceeded	Boundrangeexceeded	Boundrangeexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Bajtovapersector	Bajtovapersector	existing-unreviewed		0
BytesToString	BajtovatoNIZ	BajtovatoNIZ	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Obriši	Obriši	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	Cloneaddressspacecow	Cloneaddressspacecow	existing-unreviewed		0
Connect	Spojise	Spojise	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	KopirajStranicaOkvirblok	KopirajStranicaOkvirblok	existing-unreviewed		0
CpuState	Cpustate	Cpustate	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	CreatefromFunkcija	CreatefromFunkcija	existing-unreviewed		0
CreatePtrFromFunction	CreatepointerfromFunkcija	CreatepointerfromFunkcija	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Currentpid	Currentpid	existing-unreviewed		0
CurrentParentPID	Currentparentpid	Currentparentpid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Deaktiviraj	Deaktiviraj	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Obriši_2	Obriši_2	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	DescriptorTip	DescriptorTip	existing-unreviewed		0
Destroy	Destroy	Destroy	existing-unreviewed		0
Dev	Uređaj	Uređaj	existing-unreviewed		0
DeviceHasFunctions	UređajhasFunkcije	UređajhasFunkcije	existing-unreviewed		0
DeviceNotAvailable	UređajnotDostupan	UređajnotDostupan	existing-unreviewed		0
Device_id	Uređajid	Uređajid	existing-unreviewed		0
DisableInt	Disableint	Disableint	existing-unreviewed		0
Disconnect	Prekinivezu	Prekinivezu	existing-unreviewed		0
DivideByZero	Dividebyzero	Dividebyzero	existing-unreviewed		0
DoHandleInterrupt	Dohandleinterrupt	Dohandleinterrupt	existing-unreviewed		0
DoubleFault	Doublefault	Doublefault	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Drivermanager	Drivermanager	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Dynamic	Dynamic	existing-unreviewed		0
E2BIG	E2big	E2big	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
