english	localized	language
a	a	pt
access	acesso	pt
ack	ack	pt
activate	Ativar	pt
active	Ativo	pt
add	Adicionar	pt
addend	addend	pt
addr	addr	pt
addralign	addralign	pt
address	Endereço	pt
advanced	Avançado	pt
af	af	pt
after	Depois	pt
align	Alinhamento	pt
aligned	aligned	pt
alignment	alignment	pt
all	Tudo	pt
alloc	alloc	pt
allocate	allocate	pt
allocated	allocated	pt
am	am	pt
amd	amd	pt
amount	Montante	pt
and	e	pt
append	append	pt
args	args	pt
argument	argument	pt
arguments	Argumentos	pt
arp	arp	pt
arp콘솔	arp콘솔	pt
array	matriz	pt
assembly	montador	pt
at	at	pt
ata	ata	pt
atime	atime	pt
attachment	attachment	pt
attempts	attempts	pt
attr	attr	pt
attribute	atributo	pt
attributes	attributes	pt
aux	aux	pt
avail	avail	pt
available	Disponível	pt
b	b	pt
ba	ba	pt
back	Recuar	pt
backend	backend	pt
backup	backup	pt
bar	Barra	pt
base	base	pt
be	be	pt
bh	bh	pt
big	big	pt
bind	Vincular	pt
bios	bios	pt
bit	bit	pt
bitmap	bitmap	pt
bitmasp	bitmasp	pt
bits	bits	pt
blksize	blksize	pt
block	Bloco	pt
blocked	blocked	pt
blocking	blocking	pt
blocks	Blocos	pt
boot	boot	pt
bootable	bootable	pt
bootloader	bootloader	pt
bound	bound	pt
bpb	bpb	pt
break	break	pt
brk	brk	pt
broadcast	broadcast	pt
buf	buf	pt
buffer	buffer	pt
buffers	Tampões	pt
bufptr	bufptr	pt
bus	bus	pt
button	Botão	pt
buttons	Botões	pt
by	by	pt
byte	octeto	pt
bytes	bytes	pt
c	c	pt
cache	cache	pt
call	chamada	pt
candidate	candidate	pt
cap	cap	pt
capable	capable	pt
card	Cartas	pt
central	central	pt
char	char	pt
chdir	chdir	pt
check	check	pt
checked	checked	pt
checksum	checksum	pt
child	dependente	pt
chunk	chunk	pt
class	Classe	pt
clear	Limpar	pt
cloexec	cloexec	pt
clone	clone	pt
close	fechar	pt
cluster	cluster	pt
cmp	cmp	pt
code	code	pt
col	col	pt
color	Cor	pt
colordepth	colordepth	pt
command	Comando	pt
commandport	commandport	pt
common	comum	pt
component	component	pt
connect	Ligar	pt
connected	connected	pt
console	console	pt
constant	constante	pt
contains	contains	pt
contents	Conteúdo	pt
control	Controlo	pt
controller	controlador	pt
coordinate	coordinate	pt
copies	copies	pt
copy	copiar	pt
count	Contar	pt
cow	cow	pt
cpu	cpu	pt
cpustate	cpustate	pt
cpy	cpy	pt
cr	cr	pt
creat	creat	pt
create	criar	pt
crtc	crtc	pt
cs	cs	pt
ctime	ctime	pt
