compiler_identifier	native_identifier
AF_INET	código_da_família_de_endereços_entre_redes
AF_UNSPEC	família_de_endereços_não_especificada
INADDR_ANY	qualquer_endereço_local
INADDR_LOOPBACK	endereço_de_retorno_local
IPPROTO_IP	protocolo_básico_entre_redes
IPPROTO_UDP	protocolo_de_datagramas_do_utilizador
PF_INET	família_de_protocolos_entre_redes
SC_accept	SC_aceitar_ligação
SC_bind	SC_associar_endereço_local
SC_connect	SC_ligar_ao_extremo_remoto
SC_getpeername	SC_obter_endereço_do_extremo_remoto
SC_getsockname	SC_obter_endereço_do_extremo_local
SC_listen	SC_preparar_receção_de_ligações
SC_recv	SC_receber
SC_recvfrom	SC_receber_com_endereço_de_origem
SC_send	SC_enviar
SC_sendto	SC_enviar_para_destino
SC_setsockopt	SC_definir_opção_do_extremo
SC_shutdown	SC_fechar_sentido_de_comunicação
SC_socket	SC_criar_extremo_de_comunicação
SHUT_RD	parar_receção
SHUT_RDWR	parar_ambos_os_sentidos
SHUT_WR	parar_envio
SOCK_DGRAM	extremo_de_datagramas
SOCK_STREAM	extremo_de_fluxo_de_dados
SYS_access	SYS_verificar_permissões_de_acesso
SYS_brk	SYS_definir_fim_da_memória_dinâmica
SYS_chdir	SYS_mudar_diretório_de_trabalho
SYS_close	SYS_fechar
SYS_creat	SYS_criar_ficheiro
SYS_dup	SYS_duplicar_referência_de_ficheiro_aberto
SYS_dup2	SYS_duplicar_referência_para_número_indicado
SYS_execve	SYS_substituir_programa_em_execução
SYS_exit	SYS_terminar_imediatamente
SYS_fcntl	SYS_controlar_ficheiro
SYS_fork	SYS_bifurcar_processo
SYS_fstat	SYS_obter_estado_do_ficheiro_aberto
SYS_fsync	SYS_sincronizar_dados_do_ficheiro
SYS_getcwd	SYS_obter_caminho_do_diretório_de_trabalho
SYS_getegid	SYS_obter_identificador_efetivo_do_grupo
SYS_geteuid	SYS_obter_identificador_efetivo_do_utilizador
SYS_getgid	SYS_obter_identificador_do_grupo
SYS_getpid	SYS_obter_identificador_do_processo
SYS_getppid	SYS_obter_identificador_do_processo_pai
SYS_getuid	SYS_obter_identificador_do_utilizador
SYS_lseek	SYS_mover_posição_do_ficheiro
SYS_lstat	SYS_obter_estado_da_ligação_em_si
SYS_open	SYS_abrir
SYS_read	SYS_ler
SYS_stat	SYS_estado_do_ficheiro
SYS_sync	SYS_sincronizar_todos_os_dados
SYS_uname	SYS_obter_informações_do_sistema
SYS_write	SYS_escrever
_LIBC_ARPA_INET_H	_include_conversão_de_endereços_ordem_de_octetos
_LIBC_NETINET_IN_H	_include_entre_redes_endereço
_LIBC_STDDEF_H	_include_definições_básicas
_LIBC_STDINT_H	_include_tipos_inteiros
_LIBC_SYSCALL_H	_include_sistema_syscall
_LIBC_SYS_SOCKET_H	_include_sistema_socket
_LIBC_SYS_STAT_H	_include_sistema_stat
_LIBC_SYS_TYPES_H	_include_sistema_tipos_de_dados
_LIBC_SYS_UTSNAME_H	_include_sistema_identidade_do_sistema
_LIBC_SYS_WAIT_H	_include_sistema_espera_de_filhos
_exit	terminar_imediatamente
accept	aceitar_ligação
access	verificar_permissões_de_acesso
argv	argumentos_2
bind	associar_endereço_local
brk	definir_fim_da_memória_dinâmica
buf	memória_intermédia_de_transferência
chdir	mudar_diretório_de_trabalho
close	fechar
connect	ligar_ao_extremo_remoto
creat	criar_ficheiro
dup	duplicar_referência_de_ficheiro_aberto
dup2	duplicar_referência_para_número_indicado
execve	substituir_programa_em_execução
fcntl	controlar_ficheiro
fd	descritor_do_ficheiro
fork	bifurcar_processo
fstat	obter_estado_do_ficheiro_aberto
fsync	sincronizar_dados_do_ficheiro
getcwd	obter_caminho_do_diretório_de_trabalho
getegid	obter_identificador_efetivo_do_grupo
geteuid	obter_identificador_efetivo_do_utilizador
getgid	obter_identificador_do_grupo
getpeername	obter_endereço_do_extremo_remoto
getpid	obter_identificador_do_processo
getppid	obter_identificador_do_processo_pai
getsockname	obter_endereço_do_extremo_local
getuid	obter_identificador_do_utilizador
hostlong	valor_de_32_bits_na_ordem_da_máquina
hostshort	valor_de_16_bits_na_ordem_da_máquina
htonl	converter_32_bits_para_ordem_da_rede
htons	converter_16_bits_para_ordem_da_rede
in_addr	endereço_entre_redes
in_addr_t	tipo_do_valor_de_endereço_entre_redes
in_port_t	tipo_do_número_de_porta_de_comunicação
isatty	verificar_se_é_terminal
listen	preparar_receção_de_ligações
lseek	mover_posição_do_ficheiro
lstat	obter_estado_da_ligação_em_si
netlong	valor_de_32_bits_na_ordem_da_rede
netshort	valor_de_16_bits_na_ordem_da_rede
ntohl	converter_32_bits_para_ordem_da_máquina
ntohs	converter_16_bits_para_ordem_da_máquina
open	abrir
read	ler
recv	receber
recvfrom	receber_com_endereço_de_origem
s_addr	valor_do_endereço
sa_data	dados_do_endereço
sa_family	família_de_endereços_do_extremo
sa_family_t	tipo_da_família_de_endereços
sbrk	mover_fim_da_memória_dinâmica
send	enviar
sendto	enviar_para_destino
setsockopt	definir_opção_do_extremo
shutdown	fechar_sentido_de_comunicação
sin_addr	conteúdo_do_endereço_entre_redes
sin_family	família_de_endereços_entre_redes
sin_port	número_de_porta_de_comunicação
sin_zero	preenchimento_do_endereço
sockaddr	endereço_do_extremo_de_comunicação
sockaddr_in	endereço_do_extremo_entre_redes
socket	criar_extremo_de_comunicação
socklen_t	tipo_do_comprimento_do_endereço
stat	estado_do_ficheiro
sync	sincronizar_todos_os_dados
uname	obter_informações_do_sistema
wait	aguardar_filho
waitpid	aguardar_filho_indicado
write	escrever
