original	before	after	review_status	concept	changed_tokens
Activate	Aktifkan	Aktifkan	existing-unreviewed		0
ActivateAll	AktifkanSemua	AktifkanSemua	existing-unreviewed		0
Active	Aktif	Aktif	existing-unreviewed		0
ActiveInterruptManager	AktifSampukmanager	AktifSampukmanager	existing-unreviewed		0
ActiveMemoryManager	AktifIngatanmanager	AktifIngatanmanager	existing-unreviewed		0
Add	Tambah	Tambah	existing-unreviewed		0
AddDriver	Tambahdriver	Tambahdriver	existing-unreviewed		0
AddRunnableThread	Tambahrunnablethread	Tambahrunnablethread	existing-unreviewed		0
AddTask	TambahTugas	TambahTugas	existing-unreviewed		0
AddThread	Tambahthread	Tambahthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateBlok	AllocateBlok	existing-unreviewed		0
AllocatePID	AllocateIDP	AllocateIDP	existing-unreviewed		0
AmountOfMemory	AmountdariIngatan	AmountdariIngatan	existing-unreviewed		0
ArrayToUint16	Tatasusunantounsignedinteger16	Tatasusunantounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Tatasusunantounsignedinteger32	Tatasusunantounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Tatasusunantounsignedinteger48	Tatasusunantounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Tatasusunantounsignedinteger48be	Tatasusunantounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Tatasusunantounsignedinteger64	Tatasusunantounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Blokperbyte	Blokperbyte	existing-unreviewed		0
BLOCK_SIZE	BlokSaiz	BlokSaiz	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedKeadaan	BlockedKeadaan	existing-unreviewed		0
Blocks	Blok	Blok	existing-unreviewed		0
BoundRangeExceeded	BoundJulatexceeded	BoundJulatexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Baitpersector	Baitpersector	existing-unreviewed		0
BytesToString	BaittoRentetan	BaittoRentetan	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Kosongkan	Kosongkan	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneaddressRuangcow	CloneaddressRuangcow	existing-unreviewed		0
Connect	Sambung	Sambung	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	SalinHalamanBingkaiBlok	SalinHalamanBingkaiBlok	existing-unreviewed		0
CpuState	CpuKeadaan	CpuKeadaan	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	CreatefromFungsi	CreatefromFungsi	existing-unreviewed		0
CreatePtrFromFunction	CreatePenudingfromFungsi	CreatePenudingfromFungsi	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	SemasaIDP	SemasaIDP	existing-unreviewed		0
CurrentParentPID	SemasaindukIDP	SemasaindukIDP	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Nyahaktifkan	Nyahaktifkan	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Padam	Padam	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	DescriptorJenis	DescriptorJenis	existing-unreviewed		0
Destroy	Musnah	Musnah	existing-unreviewed		0
Dev	Peranti	Peranti	existing-unreviewed		0
DeviceHasFunctions	Perantihasfunctions	Perantihasfunctions	existing-unreviewed		0
DeviceNotAvailable	PerantinotTersedia	PerantinotTersedia	existing-unreviewed		0
Device_id	Perantiid	Perantiid	existing-unreviewed		0
DisableInt	Lumpuhint	Lumpuhint	existing-unreviewed		0
Disconnect	Putus	Putus	existing-unreviewed		0
DivideByZero	Dividebyzero	Dividebyzero	existing-unreviewed		0
DoHandleInterrupt	DoKendaliSampuk	DoKendaliSampuk	existing-unreviewed		0
DoubleFault	Dwifault	Dwifault	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Drivermanager	Drivermanager	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Dynamic	Dynamic	existing-unreviewed		0
E2BIG	E2big	E2big	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
EAGAIN	Eagain	Eagain	existing-unreviewed		0
EBADF	Ebadf	Ebadf	existing-unreviewed		0
EBUSY	Ebusy	Ebusy	existing-unreviewed		0
ECHILD	Echild	Echild	existing-unreviewed		0
EEXIST	Eexist	Eexist	existing-unreviewed		0
EFAULT	Efault	Efault	existing-unreviewed		0
EFBIG	Efbig	Efbig	existing-unreviewed		0
EINTR	Eintr	Eintr	existing-unreviewed		0
EINVAL	Einval	Einval	existing-unreviewed		0
EIO	Eio	Eio	existing-unreviewed		0
EISDIR	Eisdir	Eisdir	existing-unreviewed		0
EMFILE	Emfile	Emfile	existing-unreviewed		0
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed		0
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed		0
ENFILE	Enfile	Enfile	existing-unreviewed		0
ENODEV	Enodev	Enodev	existing-unreviewed		0
ENOENT	Enoent	Enoent	existing-unreviewed		0
ENOEXEC	Enoexec	Enoexec	existing-unreviewed		0
ENOMEM	Enomem	Enomem	existing-unreviewed		0
ENOSPC	Enospc	Enospc	existing-unreviewed		0
ENOSYS	Enosys	Enosys	existing-unreviewed		0
ENOTCONN	Enotconn	Enotconn	existing-unreviewed		0
ENOTDIR	Enotdir	Enotdir	existing-unreviewed		0
ENOTTY	Enotty	Enotty	existing-unreviewed		0
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed		0
EPERM	Eperm	Eperm	existing-unreviewed		0
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed		0
ERANGE	Erange	Erange	existing-unreviewed		0
EROFS	Erofs	Erofs	existing-unreviewed		0
ESPIPE	Espipe	Espipe	existing-unreviewed		0
ESRCH	Esrch	Esrch	existing-unreviewed		0
Eax	Eax	Eax	existing-unreviewed		0
Ebp	Ebp	Ebp	existing-unreviewed		0
Ebx	Ebx	Ebx	existing-unreviewed		0
Ecx	Ecx	Ecx	existing-unreviewed		0
Edi	Edi	Edi	existing-unreviewed		0
Edx	Edx	Edx	existing-unreviewed		0
Eflags	Eflags	Eflags	existing-unreviewed		0
Eip	Eip	Eip	existing-unreviewed		0
Elf	Elf	Elf	existing-unreviewed		0
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed		0
Elf32Note	Elf32Nota	Elf32Nota	existing-unreviewed		0
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed		0
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed		0
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed		0
ElfHeader	Elfheader	Elfheader	existing-unreviewed		0
ElfProgramHeader	Elfprogramheader	Elfprogramheader	existing-unreviewed		0
ElfSectionHeader	Elfsectionheader	Elfsectionheader	existing-unreviewed		0
EnablePaging	Benarkanpaging	Benarkanpaging	existing-unreviewed		0
Enabled	Dibenarkan	Dibenarkan	existing-unreviewed		0
EntryNumber	EntryNOMBOR	EntryNOMBOR	existing-unreviewed		0
EqualBytes	SamaBait	SamaBait	existing-unreviewed		0
Es	Es	Es	existing-unreviewed		0
Esi	Esi	Esi	existing-unreviewed		0
Esp	Esp	Esp	existing-unreviewed		0
FPUBuffer	Fpubuffer	Fpubuffer	existing-unreviewed		0
FPUOffset	Fpuoffset	Fpuoffset	existing-unreviewed		0
Family	Family	Family	existing-unreviewed		0
FileName	FailNama	FailNama	existing-unreviewed		0
Fill	Fill	Fill	existing-unreviewed		0
FillRectangle	Fillrectangle	Fillrectangle	existing-unreviewed		0
First	First	First	existing-unreviewed		0
FirstFree	FirstBebas	FirstBebas	existing-unreviewed		0
FirstFreeSize	FirstBebasSaiz	FirstBebasSaiz	existing-unreviewed		0
Flags	Bendera	Bendera	existing-unreviewed		0
FloatingPointException	Terapungpointexception	Terapungpointexception	existing-unreviewed		0
Flush	Flush	Flush	existing-unreviewed		0
FlushTlsTable	FlushtlsJadual	FlushtlsJadual	existing-unreviewed		0
Focussable	Focussable	Focussable	existing-unreviewed		0
Free	Bebas	Bebas	existing-unreviewed		0
Fs	Fs	Fs	existing-unreviewed		0
GB	Gb	Gb	existing-unreviewed		0
GDT_ENTRIES	Gdtentry	Gdtentry	existing-unreviewed		0
GOT	Got	Got	existing-unreviewed		0
GPFException	Gpfexception	Gpfexception	existing-unreviewed		0
GatewayIP	Gatewayip	Gatewayip	existing-unreviewed		0
GdtAddressHigh	GdtaddressTinggi	GdtaddressTinggi	existing-unreviewed		0
GdtAddressLow	GdtaddressRendah	GdtaddressRendah	existing-unreviewed		0
GdtDescriptor	Gdtdescriptor	Gdtdescriptor	existing-unreviewed		0
GdtEntry	Gdtentry_2	Gdtentry_2	existing-unreviewed		0
GdtSize	GdtSaiz	GdtSaiz	existing-unreviewed		0
GetAt	Getat	Getat	existing-unreviewed		0
GetBackend	Getbackend	Getbackend	existing-unreviewed		0
GetBaseAddressRegister	Getbaseaddressregister	Getbaseaddressregister	existing-unreviewed		0
GetBitmaspSize	GetbitmaspSaiz	GetbitmaspSaiz	existing-unreviewed		0
GetBytesFromPtr	GetBaitfromPenuding	GetBaitfromPenuding	existing-unreviewed		0
GetCR0	Getcr0	Getcr0	existing-unreviewed		0
GetCR2	Getcr2	Getcr2	existing-unreviewed		0
GetCR3	Getcr3	Getcr3	existing-unreviewed		0
GetCR4	Getcr4	Getcr4	existing-unreviewed		0
GetColorIndex	GetWarnaIndeks	GetWarnaIndeks	existing-unreviewed		0
GetDeviceDescriptor	GetPerantidescriptor	GetPerantidescriptor	existing-unreviewed		0
GetDriver	Getdriver	Getdriver	existing-unreviewed		0
GetESP0	Getesp0	Getesp0	existing-unreviewed		0
GetEntry	Getentry	Getentry	existing-unreviewed		0
GetFileSize	GetFailSaiz	GetFailSaiz	existing-unreviewed		0
GetFocus	GetFokus	GetFokus	existing-unreviewed		0
GetFrameBufferSegment	GetBingkaibuffersegment	GetBingkaibuffersegment	existing-unreviewed		0
GetFuncPtrFromPtr	GetfuncPenudingfromPenuding	GetfuncPenudingfromPenuding	existing-unreviewed		0
GetFunctionName	GetFungsiNama	GetFungsiNama	existing-unreviewed		0
GetHandler	Gethandler	Gethandler	existing-unreviewed		0
GetIPAddress	Getipaddress	Getipaddress	existing-unreviewed		0
GetMACAddress	Getmacaddress	Getmacaddress	existing-unreviewed		0
GetMACFromCache	Getmacfromcache	Getmacfromcache	existing-unreviewed		0
GetNextReadyThread	GetBerikutnyaSediathread	GetBerikutnyaSediathread	existing-unreviewed		0
GetNodeAt	GetNodat	GetNodat	existing-unreviewed		0
GetProvider	Providerget	Providerget	existing-unreviewed		0
GetSS0	Getss0	Getss0	existing-unreviewed		0
GetStr	Getstr	Getstr	existing-unreviewed		0
GetUint32ArrayFromPtr	Getunsignedinteger32TatasusunanfromPenuding	Getunsignedinteger32TatasusunanfromPenuding	existing-unreviewed		0
GetUintptrArrayFromPtr	GetunsignedintegerPenudingTatasusunanfromPenuding	GetunsignedintegerPenudingTatasusunanfromPenuding	existing-unreviewed		0
GetValue	GetNilai	GetNilai	existing-unreviewed		0
GetValueInPageDir	GetNilaiMasukHalamandirektori	GetNilaiMasukHalamandirektori	existing-unreviewed		0
Gid	Gid	Gid	existing-unreviewed		0
Gs	Gs	Gs	existing-unreviewed		0
HandleException	Kendaliexception	Kendaliexception	existing-unreviewed		0
HandleFatalInterruptFrame	KendalifatalSampukBingkai	KendalifatalSampukBingkai	existing-unreviewed		0
HandleInterrupt	KendaliSampuk	KendaliSampuk	existing-unreviewed		0
