english	localized	language
a	a	dz
access	access	dz
ack	ack	dz
activate	activate	dz
active	active	dz
add	add	dz
addend	addend	dz
addr	addr	dz
addralign	addralign	dz
address	address	dz
advanced	advanced	dz
af	af	dz
after	after	dz
align	align	dz
aligned	aligned	dz
alignment	alignment	dz
all	all	dz
alloc	alloc	dz
allocate	allocate	dz
allocated	allocated	dz
am	am	dz
amd	amd	dz
amount	amount	dz
and	and	dz
append	append	dz
args	args	dz
argument	argument	dz
arguments	arguments	dz
arp	arp	dz
arp콘솔	arp콘솔	dz
array	array	dz
assembly	assembly	dz
at	at	dz
ata	ata	dz
atime	atime	dz
attachment	attachment	dz
attempts	attempts	dz
attr	attr	dz
attribute	attribute	dz
attributes	attributes	dz
aux	aux	dz
avail	avail	dz
available	available	dz
b	b	dz
ba	ba	dz
back	back	dz
backend	backend	dz
backup	backup	dz
bar	bar	dz
base	base	dz
be	be	dz
bh	bh	dz
big	big	dz
bind	bind	dz
bios	bios	dz
bit	bit	dz
bitmap	bitmap	dz
bitmasp	bitmasp	dz
bits	bits	dz
blksize	blksize	dz
block	block	dz
blocked	blocked	dz
blocking	blocking	dz
blocks	blocks	dz
boot	boot	dz
bootable	bootable	dz
bootloader	bootloader	dz
bound	bound	dz
bpb	bpb	dz
break	break	dz
brk	brk	dz
broadcast	broadcast	dz
buf	buf	dz
buffer	buffer	dz
buffers	buffers	dz
bufptr	bufptr	dz
bus	bus	dz
button	button	dz
buttons	buttons	dz
by	by	dz
byte	byte	dz
bytes	bytes	dz
c	c	dz
cache	cache	dz
call	call	dz
candidate	candidate	dz
cap	cap	dz
capable	capable	dz
card	card	dz
central	central	dz
char	char	dz
chdir	chdir	dz
check	check	dz
checked	checked	dz
checksum	checksum	dz
child	child	dz
chunk	chunk	dz
class	class	dz
clear	clear	dz
cloexec	cloexec	dz
clone	clone	dz
close	close	dz
cluster	cluster	dz
cmp	cmp	dz
code	code	dz
col	col	dz
color	color	dz
colordepth	colordepth	dz
command	command	dz
commandport	commandport	dz
common	common	dz
component	component	dz
connect	connect	dz
connected	connected	dz
console	console	dz
constant	constant	dz
contains	contains	dz
contents	contents	dz
control	control	dz
controller	controller	dz
coordinate	coordinate	dz
copies	copies	dz
copy	copy	dz
count	count	dz
cow	cow	dz
cpu	cpu	dz
cpustate	cpustate	dz
cpy	cpy	dz
cr	cr	dz
creat	creat	dz
create	create	dz
crtc	crtc	dz
cs	cs	dz
ctime	ctime	dz
cur	cur	dz
current	current	dz
cursor	cursor	dz
cylinder	cylinder	dz
d	d	dz
data	data	dz
databuffer	databuffer	dz
datagram	datagram	dz
dataport	dataport	dz
date	date	dz
deactivate	deactivate	dz
deactive	deactive	dz
debug	debug	dz
decrement	decrement	dz
default	default	dz
delete	delete	dz
delta	delta	dz
depth	depth	dz
desc	desc	dz
descr	descr	dz
description	description	dz
descriptor	descriptor	dz
descriptors	descriptors	dz
descsz	descsz	dz
destination	destination	dz
destroy	destroy	dz
dev	dev	dz
device	device	dz
diff	diff	dz
digits	digits	dz
dir	dir	dz
directory	directory	dz
dirent	dirent	dz
disable	disable	dz
discard	discard	dz
disconnect	disconnect	dz
dispatch	dispatch	dz
divide	divide	dz
divisor	divisor	dz
do	do	dz
domain	domain	dz
double	double	dz
down	down	dz
draw	draw	dz
drive	drive	dz
driver	driver	dz
drivercount	drivercount	dz
drivers	drivers	dz
drv	drv	dz
ds	ds	dz
dst	dst	dz
dstptr	dstptr	dz
dup	dup	dz
dword	dword	dz
dyn	dyn	dz
dynamic	dynamic	dz
e	e	dz
eacces	eacces	dz
eaddrinuse	eaddrinuse	dz
eafnosupport	eafnosupport	dz
eagain	eagain	dz
eax	eax	dz
ebadf	ebadf	dz
ebp	ebp	dz
ebusy	ebusy	dz
ebx	ebx	dz
echild	echild	dz
echo	echo	dz
ecx	ecx	dz
edi	edi	dz
edx	edx	dz
eexist	eexist	dz
ef	ef	dz
efault	efault	dz
efbig	efbig	dz
eflags	eflags	dz
ehsize	ehsize	dz
eintr	eintr	dz
einval	einval	dz
eio	eio	dz
eip	eip	dz
eisdir	eisdir	dz
elf	elf	dz
emfile	emfile	dz
empty	empty	dz
emsgsize	emsgsize	dz
enable	enable	dz
enabled	enabled	dz
end	end	dz
enetunreach	enetunreach	dz
enfile	enfile	dz
enodev	enodev	dz
enoent	enoent	dz
enoexec	enoexec	dz
enomem	enomem	dz
enospc	enospc	dz
enosys	enosys	dz
enotconn	enotconn	dz
enotdir	enotdir	dz
enotty	enotty	dz
ensure	ensure	dz
entries	entries	dz
entry	entry	dz
entrypoint	entrypoint	dz
entsize	entsize	dz
environment	environment	dz
eopnotsupp	eopnotsupp	dz
eperm	eperm	dz
ephemeral	ephemeral	dz
eprotonosupport	eprotonosupport	dz
equal	equal	dz
erange	erange	dz
erofs	erofs	dz
err	err	dz
error	error	dz
errorln	errorln	dz
es	es	dz
esi	esi	dz
esp	esp	dz
espipe	espipe	dz
esrch	esrch	dz
ether	ether	dz
etherframe	etherframe	dz
ethernet	ethernet	dz
event	event	dz
events	events	dz
exceeded	exceeded	dz
except	except	dz
exception	exception	dz
exec	exec	dz
execve	execve	dz
exists	exists	dz
exit	exit	dz
exited	exited	dz
ext	ext	dz
extended	extended	dz
f	f	dz
family	family	dz
fat	fat	dz
fatal	fatal	dz
fatbuf	fatbuf	dz
fatbuffer	fatbuffer	dz
fault	fault	dz
fb	fb	dz
fcntl	fcntl	dz
fd	fd	dz
fds	fds	dz
field	field	dz
file	file	dz
filename	filename	dz
files	files	dz
filesz	filesz	dz
fill	fill	dz
find	find	dz
first	first	dz
fl	fl	dz
flag	flag	dz
flags	flags	dz
floating	floating	dz
flush	flush	dz
fn	fn	dz
focus	focus	dz
focussable	focussable	dz
foo	foo	dz
for	for	dz
forced	forced	dz
fork	fork	dz
found	found	dz
fp	fp	dz
fpu	fpu	dz
frame	frame	dz
free	free	dz
frequency	frequency	dz
from	from	dz
front	front	dz
fs	fs	dz
fstat	fstat	dz
fsync	fsync	dz
fuction	fuction	dz
full	full	dz
func	func	dz
function	function	dz
functions	functions	dz
fxrstor	fxrstor	dz
fxsave	fxsave	dz
g	g	dz
gate	gate	dz
gateway	gateway	dz
gb	gb	dz
gdt	gdt	dz
get	get	dz
getcwd	getcwd	dz
getegid	getegid	dz
geteuid	geteuid	dz
getgid	getgid	dz
getpid	getpid	dz
getppid	getppid	dz
getuid	getuid	dz
gid	gid	dz
global	global	dz
got	got	dz
gpf	gpf	dz
gran	gran	dz
graphics	graphics	dz
grub	grub	dz
gs	gs	dz
h	h	dz
halt	halt	dz
handle	handle	dz
handler	handler	dz
handlers	handlers	dz
hardware	hardware	dz
has	has	dz
hd	hd	dz
head	head	dz
header	header	dz
headertype	headertype	dz
heap	heap	dz
height	height	dz
helper	helper	dz
hex	hex	dz
hex출력	hex출력	dz
hi	hi	dz
hidden	hidden	dz
high	high	dz
hop	hop	dz
i	i	dz
icmp	icmp	dz
icmp콘솔	icmp콘솔	dz
id	id	dz
ident	ident	dz
identify	identify	dz
idt	idt	dz
idx	idx	dz
ifchr	ifchr	dz
ifdir	ifdir	dz
ifmt	ifmt	dz
ifreg	ifreg	dz
ifsock	ifsock	dz
in	in	dz
increment	increment	dz
index	index	dz
inet	inet	dz
info	info	dz
init	init	dz
initial	initial	dz
initialization	initialization	dz
initialize	initialize	dz
ino	ino	dz
inode	inode	dz
input	input	dz
install	install	dz
int	int	dz
interconnect	interconnect	dz
interface	interface	dz
internet	internet	dz
internetprotocol	internetprotocol	dz
interrupt	interrupt	dz
interrupts	interrupts	dz
invalid	invalid	dz
io	io	dz
iomap	iomap	dz
ip	ip	dz
ipci	ipci	dz
ipmessage	ipmessage	dz
ipv	ipv	dz
ip콘솔	ip콘솔	dz
iret	iret	dz
is	is	dz
ist	ist	dz
j	j	dz
jmp	jmp	dz
jump	jump	dz
k	k	dz
kb	kb	dz
kcs	kcs	dz
kds	kds	dz
kernel	kernel	dz
key	key	dz
keyboard	keyboard	dz
kgs	kgs	dz
kind	kind	dz
k핵심	k핵심	dz
l	l	dz
label	label	dz
last	last	dz
lba	lba	dz
ldt	ldt	dz
left	left	dz
len	len	dz
length	length	dz
lengths	lengths	dz
level	level	dz
lib	lib	dz
lidt	lidt	dz
lidtaddr	lidtaddr	dz
limit	limit	dz
line	line	dz
link	link	dz
linked	linked	dz
linker	linker	dz
list	list	dz
listen	listen	dz
listening	listening	dz
live	live	dz
load	load	dz
loader	loader	dz
local	local	dz
log	log	dz
logical	logical	dz
loop	loop	dz
low	low	dz
lseek	lseek	dz
lstat	lstat	dz
m	m	dz
mac	mac	dz
machine	machine	dz
magicnumber	magicnumber	dz
main	gtsowo	dz
make	make	dz
malloc	malloc	dz
manager	manager	dz
map	map	dz
mask	mask	dz
master	master	dz
matches	matches	dz
max	max	dz
maximum	maximum	dz
mb	mb	dz
mbr	mbr	dz
media	media	dz
mem	mem	dz
memory	memory	dz
memorymananger	memorymananger	dz
memorytest	memorytest	dz
memsz	memsz	dz
mesg	mesg	dz
message	message	dz
mics	mics	dz
mid	mid	dz
minimum	minimum	dz
mode	mode	dz
model	model	dz
mouse	mouse	dz
mousemove	mousemove	dz
move	move	dz
msdospart	msdospart	dz
msg	msg	dz
mtime	mtime	dz
multi	multi	dz
multiboot	multiboot	dz
multitasking	multitasking	dz
my	my	dz
myfunction	myfunction	dz
m긴급로그	m긴급로그	dz
m긴급로그문자열	m긴급로그문자열	dz
m직렬로그초기화	m직렬로그초기화	dz
m출력	m출력	dz
m테스트	m테스트	dz
n	n	dz
name	name	dz
namesz	namesz	dz
net	net	dz
network	network	dz
new	new	dz
next	next	dz
nibble	nibble	dz
nlink	nlink	dz
nmi	nmi	dz
node	node	dz
nodename	nodename	dz
noexec	noexec	dz
none	none	dz
normal	normal	dz
norw	norw	dz
not	not	dz
note	note	dz
nsec	nsec	dz
num	num	dz
number	number	dz
o	o	dz
of	of	dz
offset	offset	dz
ok	ok	dz
old	old	dz
on	on	dz
only	only	dz
opcode	opcode	dz
open	open	dz
oper	oper	dz
operation	operation	dz
options	options	dz
order	order	dz
org	org	dz
other	other	dz
out	out	dz
output	output	dz
overflow	overflow	dz
p	p	dz
packet	packet	dz
packets	packets	dz
paddr	paddr	dz
page	page	dz
pages	pages	dz
paging	paging	dz
param	param	dz
parameter	parameter	dz
params	params	dz
parent	parent	dz
parse	parse	dz
part	part	dz
partition	partition	dz
partitions	partitions	dz
path	path	dz
pause	pause	dz
payload	payload	dz
pci	pci	dz
pde	pde	dz
pdelen	pdelen	dz
peer	peer	dz
pending	pending	dz
per	per	dz
peripheral	peripheral	dz
phentsize	phentsize	dz
phnum	phnum	dz
phoff	phoff	dz
phy	phy	dz
phyaddr	phyaddr	dz
phymem	phymem	dz
phys	phys	dz
physical	physical	dz
pic	pic	dz
pid	pid	dz
pit	pit	dz
pixel	pixel	dz
point	point	dz
pointer	pointer	dz
pointers	pointers	dz
poll	poll	dz
port	port	dz
portnumber	portnumber	dz
pos	pos	dz
position	position	dz
posix	posix	dz
prefetch	prefetch	dz
prefetchable	prefetchable	dz
present	present	dz
prev	prev	dz
primary	primary	dz
print	print	dz
printf	printf	dz
println	println	dz
printreg	printreg	dz
priv	priv	dz
private	private	dz
privilege	privilege	dz
proc	proc	dz
process	process	dz
processes	processes	dz
processing	processing	dz
program	program	dz
programmable	programmable	dz
protocol	protocol	dz
provided	provided	dz
provider	provider	dz
ps	ps	dz
pt	pt	dz
pte	pte	dz
ptr	ptr	dz
push	push	dz
put	put	dz
pv	pv	dz
queue	queue	dz
r	r	dz
range	range	dz
raw	raw	dz
rdev	rdev	dz
read	log	dz
ready	ready	dz
receive	receive	dz
received	received	dz
receiver	receiver	dz
receviced	receviced	dz
record	record	dz
rectangle	rectangle	dz
recv	recv	dz
ref	ref	dz
refs	refs	dz
reg	reg	dz
region	region	dz
register	register	dz
registeroffset	registeroffset	dz
registers	registers	dz
regs	regs	dz
regtype	regtype	dz
rel	rel	dz
rela	rela	dz
release	release	dz
released	released	dz
reload	reload	dz
relocation	relocation	dz
remaining	remaining	dz
remote	remote	dz
remove	remove	dz
reply	reply	dz
request	request	dz
requested	requested	dz
reserved	reserved	dz
reset	reset	dz
resolve	resolve	dz
restore	restore	dz
result	result	dz
ret	ret	dz
revision	revision	dz
rgb	rgb	dz
right	གཡས	dz
root	root	dz
round	round	dz
route	route	dz
rs	rs	dz
rt	rt	dz
run	run	dz
runnable	runnable	dz
rx	rx	dz
s	s	dz
saved	saved	dz
sc	sc	dz
scan	scan	dz
scancode	scancode	dz
sche	sche	dz
schedule	schedule	dz
scheduler	scheduler	dz
screen	screen	dz
secondary	secondary	dz
sect	sect	dz
section	section	dz
sector	sector	dz
sectors	sectors	dz
seek	seek	dz
seg	seg	dz
segment	segment	dz
segments	segments	dz
select	select	dz
selector	selector	dz
self	self	dz
send	send	dz
sequencer	sequencer	dz
serial	serial	dz
set	set	dz
setup	setup	dz
sh	sh	dz
shared	shared	dz
shentsize	shentsize	dz
shift	shift	dz
shndx	shndx	dz
shnum	shnum	dz
shoff	shoff	dz
shstrndx	shstrndx	dz
signature	signature	dz
simd	simd	dz
size	ཚད	dz
sl	sl	dz
slave	slave	dz
sock	sock	dz
socket	socket	dz
socketcall	socketcall	dz
sockets	sockets	dz
soft	soft	dz
software	software	dz
source	source	dz
space	space	dz
spawn	spawn	dz
src	src	dz
srcptr	srcptr	dz
ss	ss	dz
st	st	dz
stack	stack	dz
stackbottom	stackbottom	dz
stacktop	stacktop	dz
start	start	dz
started	started	dz
starting	starting	dz
stat	stat	dz
state	state	dz
status	status	dz
stderr	stderr	dz
stdin	stdin	dz
stdout	stdout	dz
stop	བཀག	dz
stopped	stopped	dz
str	str	dz
string	string	dz
strtab	strtab	dz
subclass	subclass	dz
subnet	subnet	dz
support	support	dz
swap	swap	dz
switch	switch	dz
sym	sym	dz
sync	sync	dz
sys	sys	dz
syscall	syscall	dz
sysname	sysname	dz
system	system	dz
systemcall	systemcall	dz
t	t	dz
table	table	dz
tag	tag	dz
tail	tail	dz
tamd	tamd	dz
tarp	tarp	dz
task	task	dz
tasking	tasking	dz
tasks	tasks	dz
tcow	tcow	dz
tcpu	tcpu	dz
technology	technology	dz
temp	temp	dz
temporary	temporary	dz
tenth	tenth	dz
terminated	terminated	dz
test	test	dz
text	text	dz
thr	thr	dz
thread	thread	dz
threads	threads	dz
tick	tick	dz
ticmp	ticmp	dz
time	time	dz
timer	timer	dz
tip	tip	dz
tls	tls	dz
tmp	tmp	dz
tmsdos	tmsdos	dz
to	to	dz
top	top	dz
tos	tos	dz
total	total	dz
track	track	dz
trap	trap	dz
truncate	truncate	dz
tss	tss	dz
type	type	dz
t공용서술자테이블	t공용서술자테이블	dz
t작업관리자	t작업관리자	dz
t조각설명자	t조각설명자	dz
t콘솔	t콘솔	dz
t함수	t함수	dz
udesc	udesc	dz
udp	udp	dz
udp콘솔	udp콘솔	dz
uid	uid	dz
uint	uint	dz
uintptr	uintptr	dz
uname	uname	dz
unhandle	unhandle	dz
unhandled	unhandled	dz
unit	unit	dz
unset	unset	dz
unused	unused	dz
up	up	dz
update	update	dz
usable	usable	dz
use	use	dz
used	used	dz
user	user	dz
userhandler	userhandler	dz
usermode	usermode	dz
userproc	userproc	dz
util	util	dz
util콘솔	util콘솔	dz
uts	uts	dz
utsname	utsname	dz
v	v	dz
vaddr	vaddr	dz
val	val	dz
value	value	dz
values	values	dz
vector	vector	dz
vendor	vendor	dz
ver	ver	dz
version	version	dz
vfs	vfs	dz
vga	vga	dz
video	video	dz
virt	virt	dz
virtlen	virtlen	dz
virtmem	virtmem	dz
virtual	virtual	dz
volume	volume	dz
w	w	dz
wait	wait	dz
waitpid	waitpid	dz
wdata	wdata	dz
when	when	dz
whence	whence	dz
widget	widget	dz
width	width	dz
word	word	dz
writable	writable	dz
write	bri	dz
