compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	input_line_capacity	pending-language-review
MAX_ARGUMENT_COUNT	maximum_argument_count	pending-language-review
MAX_SCRIPT_DEPTH	maximum_script_nesting	pending-language-review
argument_count	argument_count	pending-language-review
arguments	arguments	pending-language-review
buffer	transfer_buffer	pending-language-review
bytes_read	bytes_read	pending-language-review
bytes_written	written_byte_count	pending-language-review
capacity	capacity	pending-language-review
character	character	pending-language-review
child_pid	child_process_identifier	pending-language-review
cleanup	close_sockets	pending-language-review
command	command	pending-language-review
command_aliases	native_command_aliases	pending-language-review
command_cat	display_file_contents	pending-language-review
command_echo	print_arguments	pending-language-review
command_matches	command_matches	pending-language-review
command_names	canonical_commands	pending-language-review
command_pid	show_process_identifiers	pending-language-review
command_pwd	show_working_directory	pending-language-review
command_run	run_program	pending-language-review
command_source	interpret_command_file	pending-language-review
command_stat	show_file_information	pending-language-review
command_udp	test_datagram_loopback	pending-language-review
command_uname	show_system_identity	pending-language-review
current	current	pending-language-review
digit_text	digit_characters	pending-language-review
file_descriptor	file_descriptor	pending-language-review
file_name	file_name	pending-language-review
input	input	pending-language-review
input_descriptor	input_descriptor	pending-language-review
input_line	input_line	pending-language-review
input_stream	input_stream	pending-language-review
left	left	pending-language-review
length	length	pending-language-review
message	message	pending-language-review
message_length	message_byte_length	pending-language-review
name	system_identity	pending-language-review
number	unsigned_magnitude	pending-language-review
operation	operation	pending-language-review
output	output	pending-language-review
overflow	invalid_input_line	pending-language-review
path	path	pending-language-review
position	position	pending-language-review
print_help	show_help	pending-language-review
quote	quote	pending-language-review
read_line	read_input_line	pending-language-review
receive_address	receiving_endpoint_address	pending-language-review
receive_socket	receiving_socket	pending-language-review
received_data	received_data	pending-language-review
received_length	received_byte_count	pending-language-review
right	right	pending-language-review
run_input	interpret_input	pending-language-review
script_depth	script_nesting_depth	pending-language-review
send_socket	sending_socket	pending-language-review
size	digit_count	pending-language-review
source_address	sender_endpoint_address	pending-language-review
source_address_length	sender_address_length	pending-language-review
split_arguments	split_arguments	pending-language-review
status	status	pending-language-review
text	text	pending-language-review
text_equal	texts_equal	pending-language-review
text_length	text_byte_length	pending-language-review
value	value	pending-language-review
wait_status	child_termination_status	pending-language-review
write_error	report_error	pending-language-review
write_integer	write_integer	pending-language-review
write_text	write_text	pending-language-review
