english	localized	language
a	F	de
access	zugreifen	de
ack	ack	de
activate	Aktivieren	de
active	Aktiv	de
add	Hinzufügen	de
addend	addend	de
addr	addr	de
addralign	addralign	de
address	address	de
advanced	Erweitert	de
af	af	de
after	Nach	de
align	Ausrichtung	de
aligned	aligned	de
alignment	alignment	de
all	Alle	de
alloc	alloc	de
allocate	allocate	de
allocated	allocated	de
am	am	de
amd	amd	de
amount	Menge	de
and	und	de
append	append	de
args	args	de
argument	argument	de
arguments	Argumente	de
arp	arp	de
arp콘솔	arp콘솔	de
array	Feld	de
assembly	Assembler	de
at	at	de
ata	ata	de
atime	atime	de
attachment	attachment	de
attempts	attempts	de
attr	attr	de
attribute	Attribut	de
attributes	Attribute	de
aux	aux	de
avail	avail	de
available	Verfügbar	de
b	bit	de
ba	ba	de
back	Zurück	de
backend	backend	de
backup	backup	de
bar	Balken	de
base	base	de
be	be	de
bh	bh	de
big	Groß	de
bind	Bindung	de
bios	bios	de
bit	bit	de
bitmap	bitmap	de
bitmasp	bitmasp	de
bits	Bit	de
blksize	blksize	de
block	Rechteck	de
blocked	blocked	de
blocking	blocking	de
blocks	Tetrisartig	de
boot	boot	de
bootable	bootable	de
bootloader	bootloader	de
bound	bound	de
bpb	bpb	de
break	break	de
brk	brk	de
broadcast	broadcast	de
buf	buf	de
buffer	buffer	de
buffers	Puffer	de
bufptr	bufptr	de
bus	bus	de
button	Knopf	de
buttons	ReihenfolgederTasten	de
by	by	de
byte	Byte	de
bytes	Byte	de
c	B	de
cache	cache	de
call	Aufruf	de
candidate	candidate	de
cap	cap	de
capable	capable	de
card	Kartenspiele	de
central	central	de
char	char	de
chdir	chdir	de
check	check	de
checked	checked	de
checksum	Prüfsumme	de
child	Kind	de
chunk	chunk	de
class	Klasse	de
clear	Leeren	de
cloexec	cloexec	de
clone	clone	de
close	Schließen	de
cluster	cluster	de
cmp	cmp	de
code	code	de
col	Kol	de
color	Farbe	de
colordepth	colordepth	de
command	Befehl	de
commandport	commandport	de
common	gemeinsam	de
component	component	de
connect	Verbinden	de
connected	connected	de
console	Konsole	de
constant	Konstante	de
contains	contains	de
contents	Inhalt	de
control	Strg	de
controller	Steuerung	de
coordinate	coordinate	de
copies	copies	de
copy	Kopieren	de
count	Anzahl	de
cow	cow	de
cpu	cpu	de
cpustate	cpustate	de
cpy	cpy	de
cr	cr	de
creat	creat	de
create	Erstellen	de
crtc	crtc	de
cs	cs	de
ctime	ctime	de
cur	cur	de
current	Systemzeit	de
cursor	Eingabemarke	de
cylinder	cylinder	de
d	TP	de
data	Daten	de
databuffer	databuffer	de
datagram	datagram	de
dataport	dataport	de
date	Datum	de
deactivate	Deaktivieren	de
deactive	deactive	de
debug	Debuggen	de
decrement	decrement	de
default	Standard	de
delete	Löschen	de
delta	delta	de
depth	Tiefe	de
desc	desc	de
descr	descr	de
description	Beschreibung	de
descriptor	descriptor	de
descriptors	descriptors	de
descsz	descsz	de
destination	Ziel	de
destroy	Zerstören	de
dev	dev	de
device	Gerät	de
diff	diff	de
digits	digits	de
dir	ORDNER	de
directory	Ordner	de
dirent	dirent	de
disable	Deaktivieren	de
discard	Verwerfen	de
disconnect	Trennen	de
dispatch	dispatch	de
divide	Dividieren	de
divisor	divisor	de
do	do	de
domain	Domäne	de
double	Gleitkommazahl	de
down	Abwärts	de
draw	draw	de
drive	drive	de
driver	Treiber	de
drivercount	drivercount	de
drivers	drivers	de
drv	drv	de
ds	ds	de
dst	dst	de
dstptr	dstptr	de
dup	dup	de
dword	dword	de
dyn	dyn	de
dynamic	Dynamisch	de
e	O	de
eacces	eacces	de
eaddrinuse	eaddrinuse	de
eafnosupport	eafnosupport	de
eagain	eagain	de
eax	eax	de
ebadf	ebadf	de
ebp	ebp	de
ebusy	ebusy	de
ebx	ebx	de
echild	echild	de
echo	echo	de
ecx	ecx	de
edi	edi	de
edx	edx	de
eexist	eexist	de
ef	ef	de
efault	efault	de
efbig	efbig	de
eflags	eflags	de
ehsize	ehsize	de
eintr	eintr	de
einval	einval	de
eio	eio	de
eip	eip	de
eisdir	eisdir	de
elf	elf	de
emfile	emfile	de
empty	Leer	de
emsgsize	emsgsize	de
enable	Aktivieren	de
enabled	Aktiviert	de
end	Ende	de
enetunreach	enetunreach	de
enfile	enfile	de
enodev	enodev	de
enoent	enoent	de
enoexec	enoexec	de
enomem	enomem	de
enospc	enospc	de
enosys	enosys	de
enotconn	enotconn	de
enotdir	enotdir	de
enotty	enotty	de
ensure	ensure	de
entries	entries	de
entry	Eintrag	de
entrypoint	entrypoint	de
entsize	entsize	de
environment	environment	de
eopnotsupp	eopnotsupp	de
eperm	eperm	de
ephemeral	ephemeral	de
eprotonosupport	eprotonosupport	de
equal	Entsprechend	de
erange	erange	de
erofs	erofs	de
err	err	de
error	Fehler	de
errorln	errorln	de
es	es	de
esi	esi	de
esp	esp	de
espipe	espipe	de
esrch	esrch	de
ether	ether	de
etherframe	etherframe	de
ethernet	Ethernet	de
event	Ereignis	de
events	Ereignisse	de
exceeded	exceeded	de
except	except	de
exception	exception	de
exec	Ausführen	de
execve	execve	de
exists	exists	de
exit	Beenden	de
exited	Beendet	de
ext	ext	de
extended	extended	de
f	N	de
family	family	de
fat	fat	de
fatal	fatal	de
fatbuf	fatbuf	de
fatbuffer	fatbuffer	de
fault	Fehler	de
fb	fb	de
fcntl	fcntl	de
fd	fd	de
fds	fds	de
field	Feld	de
file	Datei	de
filename	Dateiname	de
files	DATEIEN	de
filesz	filesz	de
fill	fill	de
find	Suchen	de
first	first	de
fl	fl	de
flag	Flagge	de
flags	Optionen	de
