function	native_identifier	implementation	limits
_exit	sofort_beenden	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	lesen	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	schreiben	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	schließen	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	Dateiposition_verschieben	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	Prozess_verzweigen	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	Programmbild_ersetzen	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	Prozesskennung_ermitteln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	Elternprozesskennung_ermitteln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	Benutzerkennung_ermitteln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	wirksame_Benutzerkennung_ermitteln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	Gruppenkennung_ermitteln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	wirksame_Gruppenkennung_ermitteln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	Zugriffsrechte_prüfen	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	Arbeitsverzeichnis_wechseln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	Arbeitsverzeichnispfad_ermitteln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	offenen_Dateiverweis_duplizieren	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	Dateiverweis_auf_Kennung_duplizieren	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	Dateidaten_synchronisieren	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	alle_Dateidaten_synchronisieren	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	Terminal_prüfen	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	Speicherende_setzen	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	Speicherende_verschieben	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	bestimmtes_Kind_abwarten	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	Kind_abwarten	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	öffnen	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	Datei_anlegen	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	Dateizugriff_steuern	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	Dateizustand	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	Verknüpfungszustand_ermitteln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	Zustand_offener_Datei_ermitteln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	Systeminformationen_ermitteln	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	_16_Bit_in_Netzreihenfolge	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	_16_Bit_in_Rechnerreihenfolge	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htonl	_32_Bit_in_Netzreihenfolge	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohl	_32_Bit_in_Rechnerreihenfolge	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
