before	after
asm/constante.inc	démarrage_machine/constante.inc
asm/gdt.inc	démarrage_machine/gdt.inc
asm/goasmDécalage.inc	démarrage_machine/goasmDécalage.inc
asm/multibootenTête.s	démarrage_machine/multibootenTête.s
asm/rt0.s	démarrage_machine/rt0.s
go.sh	compiler_le_noyau.sh
linker.ld	plan_de_liaison.ld
src/composant/composant.go	src/élément_graphique/élément_graphique.go
src/ethernettrame/ethernettrame.go	src/trame_du_réseau_à_support_partagé/trame_du_réseau_à_support_partagé.go
src/fichiersystème/elf/elf.go	src/fichiersystème/format_exécutable_et_liable/format_exécutable_et_liable.go
src/fichiersystème/elf/elfenTête.go	src/fichiersystème/format_exécutable_et_liable/elfenTête.go
src/fichiersystème/elf/elfsection.go	src/fichiersystème/format_exécutable_et_liable/elfsection.go
src/fichiersystème/elf/liencarte.go	src/fichiersystème/format_exécutable_et_liable/liencarte.go
src/icmp/icmp.go	src/protocole_des_messages_de_contrôle_du_réseau_interconnecté/protocole_des_messages_de_contrôle_du_réseau_interconnecté.go
src/ipv4/ipv4.go	src/protocole_du_réseau_interconnecté_4/protocole_du_réseau_interconnecté_4.go
src/pilote/souris/souris.go	src/pilote/dispositif_de_pointage/dispositif_de_pointage.go
src/udp/udp.go	src/protocole_des_datagrammes_utilisateur/protocole_des_datagrammes_utilisateur.go
tools/decode-virtualbox-log.sh	outils/décoder_le_journal_série.sh
tools/offsets.go	outils/décalages_de_structure.go
userland/posix/Makefile	espace_utilisateur/posix/Makefile
userland/posix/TEST_RESULTS.md	espace_utilisateur/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	espace_utilisateur/posix/déclarations/arpa/inet.h
userland/posix/include/engos/syscall.h	espace_utilisateur/posix/déclarations/engos/syscall.h
userland/posix/include/errno.h	espace_utilisateur/posix/déclarations/errno.h
userland/posix/include/fcntl.h	espace_utilisateur/posix/déclarations/fcntl.h
userland/posix/include/netinet/in.h	espace_utilisateur/posix/déclarations/netinet/in.h
userland/posix/include/stddef.h	espace_utilisateur/posix/déclarations/stddef.h
userland/posix/include/stdint.h	espace_utilisateur/posix/déclarations/stdint.h
userland/posix/include/sys/socket.h	espace_utilisateur/posix/déclarations/sys/socket.h
userland/posix/include/sys/stat.h	espace_utilisateur/posix/déclarations/sys/stat.h
userland/posix/include/sys/types.h	espace_utilisateur/posix/déclarations/sys/types.h
userland/posix/include/sys/utsname.h	espace_utilisateur/posix/déclarations/sys/utsname.h
userland/posix/include/sys/wait.h	espace_utilisateur/posix/déclarations/sys/wait.h
userland/posix/include/unistd.h	espace_utilisateur/posix/déclarations/unistd.h
userland/posix/linker.ld	espace_utilisateur/posix/plan_de_liaison.ld
userland/posix/src/crt0.S	espace_utilisateur/posix/implémentation/démarrage.S
userland/posix/src/errno.c	espace_utilisateur/posix/implémentation/numéro_erreur.c
userland/posix/src/fcntl.c	espace_utilisateur/posix/implémentation/contrôle_de_fichier.c
userland/posix/src/socket.c	espace_utilisateur/posix/implémentation/socket.c
userland/posix/src/stat.c	espace_utilisateur/posix/implémentation/état_de_fichier.c
userland/posix/src/syscall.S	espace_utilisateur/posix/implémentation/appel_système.S
userland/posix/src/unistd.c	espace_utilisateur/posix/implémentation/unistd.c
userland/posix/tests/compile.c	espace_utilisateur/posix/essais/compile.c
userland/posix/tests/exec_runtime.c	espace_utilisateur/posix/essais/exec_runtime.c
userland/posix/tests/exec_target.c	espace_utilisateur/posix/essais/exec_target.c
userland/posix/tests/fork_runtime.c	espace_utilisateur/posix/essais/fork_runtime.c
userland/posix/tests/heap_runtime.c	espace_utilisateur/posix/essais/heap_runtime.c
userland/posix/tests/runtime.c	espace_utilisateur/posix/essais/runtime.c
userland/posix/tests/socket_runtime.c	espace_utilisateur/posix/essais/socket_runtime.c
userland/posix/tests/stdin_runtime.c	espace_utilisateur/posix/essais/stdin_runtime.c
