compiler_identifier	native_identifier
AF_INET	code_de_famille_adresse_interréseau
AF_UNSPEC	famille_adresse_non_spécifiée
INADDR_ANY	toute_adresse_locale
INADDR_LOOPBACK	adresse_de_bouclage
IPPROTO_IP	protocole_interréseau_de_base
IPPROTO_UDP	protocole_de_datagrammes_utilisateur
PF_INET	famille_de_protocoles_interréseau
SC_accept	SC_accepter_une_connexion
SC_bind	SC_associer_une_adresse_locale
SC_connect	SC_connecter_au_correspondant
SC_getpeername	SC_obtenir_adresse_du_correspondant
SC_getsockname	SC_obtenir_adresse_locale
SC_listen	SC_préparer_accueil_des_connexions
SC_recv	SC_recevoir
SC_recvfrom	SC_recevoir_avec_adresse_source
SC_send	SC_envoyer
SC_sendto	SC_envoyer_vers_une_adresse
SC_setsockopt	SC_régler_une_option_du_point
SC_shutdown	SC_fermer_un_sens_de_communication
SC_socket	SC_créer_un_point_de_communication
SHUT_RD	arrêter_réception
SHUT_RDWR	arrêter_les_deux_sens
SHUT_WR	arrêter_émission
SOCK_DGRAM	point_de_datagrammes
SOCK_STREAM	point_de_flux_de_données
SYS_access	SYS_vérifier_les_droits_accès
SYS_brk	SYS_fixer_la_fin_de_mémoire_dynamique
SYS_chdir	SYS_changer_le_répertoire_courant
SYS_close	SYS_fermer
SYS_creat	SYS_créer_un_fichier
SYS_dup	SYS_dupliquer_la_référence_de_fichier_ouvert
SYS_dup2	SYS_dupliquer_la_référence_vers_un_numéro
SYS_execve	SYS_remplacer_le_programme_exécuté
SYS_exit	SYS_terminer_immédiatement
SYS_fcntl	SYS_contrôler_le_fichier
SYS_fork	SYS_dédoubler_le_processus
SYS_fstat	SYS_obtenir_état_du_fichier_ouvert
SYS_fsync	SYS_synchroniser_les_données_du_fichier
SYS_getcwd	SYS_obtenir_le_chemin_du_répertoire_courant
SYS_getegid	SYS_obtenir_identifiant_du_groupe_effectif
SYS_geteuid	SYS_obtenir_identifiant_utilisateur_effectif
SYS_getgid	SYS_obtenir_identifiant_du_groupe
SYS_getpid	SYS_obtenir_identifiant_du_processus
SYS_getppid	SYS_obtenir_identifiant_du_parent
SYS_getuid	SYS_obtenir_identifiant_utilisateur
SYS_lseek	SYS_déplacer_la_position_de_fichier
SYS_lstat	SYS_obtenir_état_du_lien_même
SYS_open	SYS_ouvrir
SYS_read	SYS_lire
SYS_stat	SYS_état_du_fichier
SYS_sync	SYS_synchroniser_toutes_les_données
SYS_uname	SYS_obtenir_informations_du_système
SYS_write	SYS_écrire
_LIBC_ARPA_INET_H	_include_conversion_des_adresses_ordre_des_octets
_LIBC_NETINET_IN_H	_include_interréseau_adresse
_LIBC_STDDEF_H	_include_définitions_de_base
_LIBC_STDINT_H	_include_types_entiers
_LIBC_SYSCALL_H	_include_système_syscall
_LIBC_SYS_SOCKET_H	_include_système_socket
_LIBC_SYS_STAT_H	_include_système_stat
_LIBC_SYS_TYPES_H	_include_système_types_de_données
_LIBC_SYS_UTSNAME_H	_include_système_identité_du_système
_LIBC_SYS_WAIT_H	_include_système_attente_des_enfants
_exit	terminer_immédiatement
accept	accepter_une_connexion
access	vérifier_les_droits_accès
argv	arguments_2
bind	associer_une_adresse_locale
brk	fixer_la_fin_de_mémoire_dynamique
buf	tampon_de_transfert
chdir	changer_le_répertoire_courant
close	fermer
connect	connecter_au_correspondant
creat	créer_un_fichier
dup	dupliquer_la_référence_de_fichier_ouvert
dup2	dupliquer_la_référence_vers_un_numéro
execve	remplacer_le_programme_exécuté
fcntl	contrôler_le_fichier
fd	descripteur_de_fichier
fork	dédoubler_le_processus
fstat	obtenir_état_du_fichier_ouvert
fsync	synchroniser_les_données_du_fichier
getcwd	obtenir_le_chemin_du_répertoire_courant
getegid	obtenir_identifiant_du_groupe_effectif
geteuid	obtenir_identifiant_utilisateur_effectif
getgid	obtenir_identifiant_du_groupe
getpeername	obtenir_adresse_du_correspondant
getpid	obtenir_identifiant_du_processus
getppid	obtenir_identifiant_du_parent
getsockname	obtenir_adresse_locale
getuid	obtenir_identifiant_utilisateur
hostlong	valeur_de_32_bits_en_ordre_machine
hostshort	valeur_de_16_bits_en_ordre_machine
htonl	convertir_32_bits_vers_ordre_réseau
htons	convertir_16_bits_vers_ordre_réseau
in_addr	adresse_interréseau
in_addr_t	type_de_valeur_adresse_interréseau
in_port_t	type_de_numéro_de_port_de_communication
isatty	vérifier_si_terminal
listen	préparer_accueil_des_connexions
lseek	déplacer_la_position_de_fichier
lstat	obtenir_état_du_lien_même
netlong	valeur_de_32_bits_en_ordre_réseau
netshort	valeur_de_16_bits_en_ordre_réseau
ntohl	convertir_32_bits_vers_ordre_machine
ntohs	convertir_16_bits_vers_ordre_machine
open	ouvrir
read	lire
recv	recevoir
recvfrom	recevoir_avec_adresse_source
s_addr	valeur_adresse
sa_data	données_adresse
sa_family	famille_adresse_du_point
sa_family_t	type_de_famille_adresse
sbrk	déplacer_la_fin_de_mémoire_dynamique
send	envoyer
sendto	envoyer_vers_une_adresse
setsockopt	régler_une_option_du_point
shutdown	fermer_un_sens_de_communication
sin_addr	contenu_adresse_interréseau
sin_family	famille_adresse_interréseau
sin_port	numéro_de_port_de_communication
sin_zero	remplissage_adresse
sockaddr	adresse_du_point_de_communication
sockaddr_in	adresse_du_point_de_communication_interréseau
socket	créer_un_point_de_communication
socklen_t	type_de_longueur_adresse
stat	état_du_fichier
sync	synchroniser_toutes_les_données
uname	obtenir_informations_du_système
wait	attendre_un_enfant
waitpid	attendre_un_enfant_désigné
write	écrire
