function	native_identifier	implementation	limits
_exit	terminar_inmediatamente	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	leer	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	escribir	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	cerrar	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	mover_posición_del_archivo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	bifurcar_proceso	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	sustituir_programa_en_ejecución	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	obtener_identificador_de_proceso	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	obtener_identificador_del_padre	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	obtener_identificador_de_usuario	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	obtener_identificador_efectivo_de_usuario	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	obtener_identificador_de_grupo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	obtener_identificador_efectivo_de_grupo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	comprobar_permisos_de_acceso	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	cambiar_directorio_de_trabajo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	obtener_ruta_del_directorio_de_trabajo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	duplicar_referencia_de_archivo_abierto	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	duplicar_referencia_al_número_indicado	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	sincronizar_datos_del_archivo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	sincronizar_todos_los_datos	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	comprobar_si_es_terminal	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	fijar_fin_de_memoria_dinámica	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	mover_fin_de_memoria_dinámica	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	esperar_hijo_indicado	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	esperar_hijo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	abrir	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	crear_archivo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	controlar_archivo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	estado_del_archivo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	obtener_estado_del_enlace_mismo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	obtener_estado_del_archivo_abierto	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	obtener_información_del_sistema	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	convertir_16_bits_a_orden_de_red	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	convertir_16_bits_a_orden_de_máquina	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htonl	convertir_32_bits_a_orden_de_red	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohl	convertir_32_bits_a_orden_de_máquina	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
socket	crear_extremo_de_comunicación	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
bind	asociar_dirección_local	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
connect	conectar_con_extremo_remoto	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
listen	preparar_recepción_de_conexiones	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
accept	aceptar_conexión	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getsockname	obtener_dirección_local	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpeername	obtener_dirección_remota	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
send	enviar	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recv	recibir	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sendto	enviar_a_destino	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recvfrom	recibir_con_dirección_de_origen	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
shutdown	cerrar_sentido_de_comunicación	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
setsockopt	configurar_opción_del_extremo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
memcpy	memcpy	userspace-library	single-thread;C-locale;byte-strings;i386
memmove	memmove	userspace-library	single-thread;C-locale;byte-strings;i386
memset	memset	userspace-library	single-thread;C-locale;byte-strings;i386
memcmp	memcmp	userspace-library	single-thread;C-locale;byte-strings;i386
memchr	memchr	userspace-library	single-thread;C-locale;byte-strings;i386
strlen	strlen	userspace-library	single-thread;C-locale;byte-strings;i386
strnlen	strnlen	userspace-library	single-thread;C-locale;byte-strings;i386
strcpy	strcpy	userspace-library	single-thread;C-locale;byte-strings;i386
strncpy	strncpy	userspace-library	single-thread;C-locale;byte-strings;i386
stpcpy	stpcpy	userspace-library	single-thread;C-locale;byte-strings;i386
stpncpy	stpncpy	userspace-library	single-thread;C-locale;byte-strings;i386
strcat	strcat	userspace-library	single-thread;C-locale;byte-strings;i386
strncat	strncat	userspace-library	single-thread;C-locale;byte-strings;i386
strcmp	strcmp	userspace-library	single-thread;C-locale;byte-strings;i386
strncmp	strncmp	userspace-library	single-thread;C-locale;byte-strings;i386
strcoll	strcoll	userspace-library	single-thread;C-locale;byte-strings;i386
strxfrm	strxfrm	userspace-library	single-thread;C-locale;byte-strings;i386
strchr	strchr	userspace-library	single-thread;C-locale;byte-strings;i386
strrchr	strrchr	userspace-library	single-thread;C-locale;byte-strings;i386
strstr	strstr	userspace-library	single-thread;C-locale;byte-strings;i386
strspn	strspn	userspace-library	single-thread;C-locale;byte-strings;i386
strcspn	strcspn	userspace-library	single-thread;C-locale;byte-strings;i386
strpbrk	strpbrk	userspace-library	single-thread;C-locale;byte-strings;i386
strtok	strtok	userspace-library	single-thread;C-locale;byte-strings;i386
strtok_r	strtok_r	userspace-library	single-thread;C-locale;byte-strings;i386
strdup	strdup	userspace-library	single-thread;C-locale;byte-strings;i386
strndup	strndup	userspace-library	single-thread;C-locale;byte-strings;i386
strcasecmp	strcasecmp	userspace-library	single-thread;C-locale;byte-strings;i386
strncasecmp	strncasecmp	userspace-library	single-thread;C-locale;byte-strings;i386
isalnum	isalnum	userspace-library	single-thread;C-locale;byte-strings;i386
isalpha	isalpha	userspace-library	single-thread;C-locale;byte-strings;i386
isblank	isblank	userspace-library	single-thread;C-locale;byte-strings;i386
iscntrl	iscntrl	userspace-library	single-thread;C-locale;byte-strings;i386
