original	before	after	review_status	concept	changed_tokens
Activate	Activar	Activar	existing-unreviewed		0
ActivateAll	ActivarTodo	ActivarTodo	existing-unreviewed		0
Active	Activo	Activo	existing-unreviewed		0
ActiveInterruptManager	Activointerrupcióngestor	Activointerrupcióngestor	existing-unreviewed		0
ActiveMemoryManager	Activomemoriagestor	Activomemoriagestor	existing-unreviewed		0
Add	Añadir	Añadir	existing-unreviewed		0
AddDriver	Añadircontrolador	Añadircontrolador	existing-unreviewed		0
AddRunnableThread	Añadirrunnablehilo	Añadirrunnablehilo	existing-unreviewed		0
AddTask	Añadirtarea	Añadirtarea	existing-unreviewed		0
AddThread	Añadirhilo	Añadirhilo	existing-unreviewed		0
Address	Dirección	Dirección	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateBloque	AllocateBloque	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	Cantidaddememoria	Cantidaddememoria	existing-unreviewed		0
ArrayToUint16	Matriztounsignedinteger16	Matriztounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Matriztounsignedinteger32	Matriztounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Matriztounsignedinteger48	Matriztounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Matriztounsignedinteger48be	Matriztounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Matriztounsignedinteger64	Matriztounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Bloqueperocteto	Bloqueperocteto	existing-unreviewed		0
BLOCK_SIZE	BloqueTamaño	BloqueTamaño	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	BaseDirección	BaseDirección	existing-unreviewed		0
Bind	Víncula	Víncula	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedEstado	BlockedEstado	existing-unreviewed		0
Blocks	Bloque	Bloque	existing-unreviewed		0
BoundRangeExceeded	BoundIntervaloexceeded	BoundIntervaloexceeded	existing-unreviewed		0
BroadcastMacAddress	BroadcastmacDirección	BroadcastmacDirección	existing-unreviewed		0
BytesPerSector	Bytespersector	Bytespersector	existing-unreviewed		0
BytesToString	BytestoCadena	BytestoCadena	existing-unreviewed		0
Checksum	Sumadeverificación	Sumadeverificación	existing-unreviewed		0
Clear	Limpiar	Limpiar	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneDirecciónEspaciocow	CloneDirecciónEspaciocow	existing-unreviewed		0
Connect	Conectar	Conectar	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	CopiarpáginatramaBloque	CopiarpáginatramaBloque	existing-unreviewed		0
CpuState	CpuEstado	CpuEstado	existing-unreviewed		0
Create	Crear	Crear	existing-unreviewed		0
CreateFromData	Creardesdedatos	Creardesdedatos	existing-unreviewed		0
CreateFromFunction	CreardesdeFunción	CreardesdeFunción	existing-unreviewed		0
CreatePtrFromFunction	CrearPunterodesdeFunción	CrearPunterodesdeFunción	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Actualpid	Actualpid	existing-unreviewed		0
CurrentParentPID	Actualpadrepid	Actualpadrepid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Desactivar	Desactivar	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Eliminar	Eliminar	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	Descriptortipo	Descriptortipo	existing-unreviewed		0
Destroy	Destruir	Destruir	existing-unreviewed		0
Dev	Dispositivo	Dispositivo	existing-unreviewed		0
DeviceHasFunctions	DispositivohasFunciones	DispositivohasFunciones	existing-unreviewed		0
DeviceNotAvailable	DispositivonotDisponible	DispositivonotDisponible	existing-unreviewed		0
Device_id	Dispositivoid	Dispositivoid	existing-unreviewed		0
DisableInt	DesactivarEntero	DesactivarEntero	existing-unreviewed		0
Disconnect	Desconectar	Desconectar	existing-unreviewed		0
DivideByZero	DividirbyCero	DividirbyCero	existing-unreviewed		0
DoHandleInterrupt	DoManijainterrupción	DoManijainterrupción	existing-unreviewed		0
DoubleFault	Doblefallo	Doblefallo	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Controladorgestor	Controladorgestor	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Dinámico	Dinámico	existing-unreviewed		0
