original	localized	language
Activate	Activate	pap
ActivateAll	Activateall	pap
Active	Active	pap
ActiveInterruptManager	Activeinterruptmanager	pap
ActiveMemoryManager	Activememorymanager	pap
Add	Add	pap
AddDriver	Adddriver	pap
AddRunnableThread	Addrunnablethread	pap
AddTask	Addtask	pap
AddThread	Addthread	pap
Address	Address	pap
AlignedMalloc	Alignedmalloc	pap
AlignmentCheck	Alignmentcheck	pap
AllocateBlock	Allocateblock	pap
AllocatePID	Allocatepid	pap
AmountOfMemory	Amountofmemory	pap
ArrayToUint16	Arraytounsignedinteger16	pap
ArrayToUint32	Arraytounsignedinteger32	pap
ArrayToUint48	Arraytounsignedinteger48	pap
ArrayToUint48_BE	Arraytounsignedinteger48be	pap
ArrayToUint64	Arraytounsignedinteger64	pap
Atime	Atime	pap
AtimeNsec	Atimensec	pap
BLOCKS_PER_BYTE	Blockperbyte	pap
BLOCK_SIZE	Blocksize	pap
Backend	Backend	pap
BaseAddr	Baseaddress	pap
Bind	Bind	pap
Blksize	Blksize	pap
Blocked	Blocked	pap
BlockedState	Blockedstate	pap
Blocks	Block	pap
BoundRangeExceeded	Boundrangeexceeded	pap
BroadcastMacAddress	Broadcastmacaddress	pap
BytesPerSector	Bytespersector	pap
BytesToString	Bytestostring	pap
Checksum	Checksum	pap
Clear	Clear	pap
Clone	Clone	pap
CloneAddressSpaceCOW	Cloneaddressspacecow	pap
Connect	Connect	pap
ContainsCoordinate	Containscoordinate	pap
CopyPageFrameBlock	Copypageframeblock	pap
CpuState	Cpustate	pap
Create	Create	pap
CreateFromData	Createfromdata	pap
CreateFromFunction	Createfromfunction	pap
CreatePtrFromFunction	Createpointerfromfunction	pap
Cs	Cs	pap
Ctime	Ctime	pap
CtimeNsec	Ctimensec	pap
CurrentPID	Currentpid	pap
CurrentParentPID	Currentparentpid	pap
Data	Data	pap
Deactivate	Deactivate	pap
Deactive	Deactive	pap
Decrement	Decrement	pap
Delete	Delete	pap
DescriptorPrivilegeLevel	Descriptorprivilegelevel	pap
DescriptorType	Descriptortype	pap
Destroy	Destroy	pap
Dev	Device	pap
DeviceHasFunctions	Devicehasfunctions	pap
DeviceNotAvailable	Devicenotavailable	pap
Device_id	Deviceid	pap
DisableInt	Disableint	pap
Disconnect	Disconnect	pap
DivideByZero	Dividebyzero	pap
DoHandleInterrupt	Dohandleinterrupt	pap
DoubleFault	Doublefault	pap
Draw	Draw	pap
DriverManager	Drivermanager	pap
Ds	Ds	pap
Dynamic	Dynamic	pap
E2BIG	E2big	pap
EACCES	Eacces	pap
EADDRINUSE	Eaddrinuse	pap
EAFNOSUPPORT	Eafnosupport	pap
EAGAIN	Eagain	pap
EBADF	Ebadf	pap
