original	localized	language
Activate	Ενεργοποίηση	el
ActivateAll	ΕνεργοποίησηΌλα	el
Active	Ενεργό	el
ActiveInterruptManager	ΕνεργόΔιακοπήmanager	el
ActiveMemoryManager	ΕνεργόΜνήμηmanager	el
Add	Προσθήκη	el
AddDriver	Προσθήκηdriver	el
AddRunnableThread	Προσθήκηrunnablethread	el
AddTask	ΠροσθήκηΔιεργασία	el
AddThread	Προσθήκηthread	el
Address	Address	el
AlignedMalloc	Alignedmalloc	el
AlignmentCheck	Alignmentcheck	el
AllocateBlock	AllocateΜπλοκ	el
AllocatePID	Allocatepid	el
AmountOfMemory	ΠοσόαπόΜνήμη	el
ArrayToUint16	Διάταξηtounsignedinteger16	el
ArrayToUint32	Διάταξηtounsignedinteger32	el
ArrayToUint48	Διάταξηtounsignedinteger48	el
ArrayToUint48_BE	Διάταξηtounsignedinteger48be	el
ArrayToUint64	Διάταξηtounsignedinteger64	el
Atime	Atime	el
AtimeNsec	Atimensec	el
BLOCKS_PER_BYTE	Μπλοκperbyte	el
BLOCK_SIZE	ΜπλοκΜέγεθος	el
Backend	Backend	el
BaseAddr	Baseaddress	el
Bind	Bind	el
Blksize	Blksize	el
Blocked	Blocked	el
BlockedState	BlockedΚατάσταση	el
Blocks	Μπλοκ	el
BoundRangeExceeded	BoundΕύροςexceeded	el
BroadcastMacAddress	Broadcastmacaddress	el
BytesPerSector	Bytespersector	el
BytesToString	BytestoΣυμβολοσειρά	el
Checksum	Checksum	el
Clear	Καθαρισμός	el
Clone	Clone	el
CloneAddressSpaceCOW	CloneaddressΔιάστημαcow	el
Connect	Σύνδεση	el
ContainsCoordinate	Containscoordinate	el
CopyPageFrameBlock	ΑντιγραφήΣελίδαΠλαίσιοΜπλοκ	el
CpuState	ΕπεξεργαστήςΚατάσταση	el
Create	Create	el
CreateFromData	Createfromdata	el
CreateFromFunction	CreatefromΣυνάρτηση	el
CreatePtrFromFunction	CreateΔείκτηςfromΣυνάρτηση	el
Cs	Cs	el
Ctime	Ctime	el
CtimeNsec	Ctimensec	el
CurrentPID	Τρέχονpid	el
CurrentParentPID	Τρέχονγονικόpid	el
Data	Data	el
Deactivate	Απενεργοποίηση	el
Deactive	Deactive	el
Decrement	Decrement	el
Delete	Διαγραφή	el
DescriptorPrivilegeLevel	Descriptorprivilegelevel	el
DescriptorType	DescriptorΤύπος	el
Destroy	Καταστροφή	el
Dev	Συσκευή	el
DeviceHasFunctions	ΣυσκευήhasΣυναρτήσεις	el
DeviceNotAvailable	ΣυσκευήnotΔιαθέσιμα	el
Device_id	ΣυσκευήΤΑΥΤΌΤΗΤΑ	el
DisableInt	ΑπενεργοποίησηΑκέραιος	el
Disconnect	Αποσύνδεση	el
DivideByZero	ΔιαίρεσηbyΜηδέν	el
DoHandleInterrupt	DoΧειρολαβήΔιακοπή	el
DoubleFault	Διπλόςfault	el
Draw	Draw	el
DriverManager	Drivermanager	el
Ds	Ds	el
Dynamic	Δυναμικό	el
E2BIG	E2big	el
EACCES	Eacces	el
EADDRINUSE	Eaddrinuse	el
EAFNOSUPPORT	Eafnosupport	el
EAGAIN	Eagain	el
EBADF	Ebadf	el
EBUSY	Ebusy	el
ECHILD	Echild	el
EEXIST	Eexist	el
EFAULT	Efault	el
EFBIG	Efbig	el
EINTR	Eintr	el
EINVAL	Einval	el
EIO	Eio	el
EISDIR	Eisdir	el
EMFILE	Emfile	el
EMSGSIZE	Emsgsize	el
ENETUNREACH	Enetunreach	el
ENFILE	Enfile	el
ENODEV	Enodev	el
ENOENT	Enoent	el
ENOEXEC	Enoexec	el
ENOMEM	Enomem	el
ENOSPC	Enospc	el
ENOSYS	Enosys	el
ENOTCONN	Enotconn	el
ENOTDIR	Enotdir	el
ENOTTY	Enotty	el
EOPNOTSUPP	Eopnotsupp	el
EPERM	Eperm	el
EPROTONOSUPPORT	Eprotonosupport	el
ERANGE	Erange	el
EROFS	Erofs	el
ESPIPE	Espipe	el
ESRCH	Esrch	el
Eax	Eax	el
Ebp	Ebp	el
Ebx	Ebx	el
Ecx	Ecx	el
Edi	Edi	el
Edx	Edx	el
Eflags	Eflags	el
Eip	Eip	el
Elf	Elf	el
Elf32Dyn	Elf32dyn	el
Elf32Note	Elf32Σημείωση	el
Elf32Rel	Elf32rel	el
Elf32Rela	Elf32rela	el
Elf32Sym	Elf32sym	el
ElfHeader	Elfheader	el
ElfProgramHeader	Elfπρόγραμμαheader	el
ElfSectionHeader	Elfsectionheader	el
EnablePaging	Ενεργοποίησηpaging	el
Enabled	Ενεργό_2	el
EntryNumber	ΚαταχώρησηΑριθμός	el
EqualBytes	Ίσοbytes	el
Es	Es	el
Esi	Esi	el
Esp	Esp	el
FPUBuffer	Fpubuffer	el
FPUOffset	Fpuoffset	el
Family	Family	el
FileName	ΑρχείοΌνομα	el
Fill	Fill	el
FillRectangle	FillΟρθογώνιο	el
First	First	el
FirstFree	FirstΕλεύθερα	el
FirstFreeSize	FirstΕλεύθεραΜέγεθος	el
Flags	Διακόπτες	el
FloatingPointException	Πλωτόpointexception	el
Flush	Flush	el
FlushTlsTable	FlushtlsΠίνακας	el
Focussable	Focussable	el
Free	Ελεύθερα	el
Fs	Fs	el
GB	Gb	el
GDT_ENTRIES	Gdtκαταχώρηση	el
GOT	Got	el
GPFException	Gpfexception	el
GatewayIP	Gatewayip	el
GdtAddressHigh	GdtaddressΥψηλή	el
GdtAddressLow	GdtaddressΧαμηλή	el
GdtDescriptor	Gdtdescriptor	el
GdtEntry	Gdtκαταχώρηση_2	el
GdtSize	GdtΜέγεθος	el
GetAt	Getat	el
GetBackend	Getbackend	el
GetBaseAddressRegister	Getbaseaddressregister	el
GetBitmaspSize	GetbitmaspΜέγεθος	el
GetBytesFromPtr	GetbytesfromΔείκτης	el
GetCR0	Getcr0	el
GetCR2	Getcr2	el
