english	localized	source	evidence_count
a	α	gettext	1
access	προσπέλαση	gettext	5
ack	ack	fallback-English	0
activate	Ενεργοποίηση	gettext	3
active	Ενεργό	gettext	3
add	Προσθήκη	gettext	33
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	Γιαπροχωρημένους	gettext	29
af	af	fallback-English	0
after	after	fallback-English	0
align	Στοίχιση	gettext	6
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Όλα	gettext	8
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Ποσό	gettext	1
and	ΚΑΙ	gettext	1
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Παράμετροι	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Διάταξη	gettext	10
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	γνώρισμα	gettext	5
attributes	Ιδιότητες	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Διαθέσιμα	gettext	5
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Πίσω	gettext	18
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Μπάρα	gettext	3
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	bits	fallback-English	0
blksize	blksize	fallback-English	0
block	Μπλοκ	gettext	5
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	blocks	fallback-English	0
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Ενταμιευτές	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Κουμπί	gettext	2
buttons	Πλήκτρα	gettext	10
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	bytes	fallback-English	0
c	c	fallback-English	0
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Χαρτιά	gettext	1
central	Κεντρική	gettext	2
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	θυγατρική	gettext	5
chunk	chunk	fallback-English	0
class	Κλάση	gettext	6
clear	Καθαρισμός	gettext	14
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Κλείσιμο	gettext	47
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Χρώμα	gettext	3
colordepth	colordepth	fallback-English	0
command	Εντολή	gettext	22
commandport	commandport	fallback-English	0
common	κοινό	gettext	5
component	component	fallback-English	0
connect	Σύνδεση	gettext	5
connected	connected	fallback-English	0
console	console	fallback-English	0
constant	Σταθερά	gettext	2
contains	contains	fallback-English	0
contents	Περιεχόμενα	gettext	47
control	Έλεγχος	gettext	1
controller	controller	fallback-English	0
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Αντιγραφή	gettext	42
count	count	fallback-English	0
cow	cow	fallback-English	0
cpu	Επεξεργαστής	gettext	1
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	create	fallback-English	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
current	Τρέχον	gettext	5
cursor	Δείκτης	gettext	5
cylinder	cylinder	fallback-English	0
d	ΣΥ	gettext	1
data	data	fallback-English	0
databuffer	databuffer	fallback-English	0
datagram	datagram	fallback-English	0
dataport	dataport	fallback-English	0
