compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	kapacita_vstupního_řádku	project-proposal
MAX_ARGUMENT_COUNT	maximální_počet_argumentů	project-proposal
MAX_SCRIPT_DEPTH	maximální_vnoření_příkazových_souborů	project-proposal
argument_count	počet_argumentů	project-proposal
arguments	argumenty	project-proposal
buffer	vyrovnávací_paměť_přenosu_2	project-proposal
bytes_read	přečtené_bajty	project-proposal
bytes_written	počet_zapsaných_bajtů	project-proposal
capacity	kapacita	project-proposal
character	znak	project-proposal
child_pid	identifikátor_potomka	project-proposal
cleanup	zavřít_komunikační_body	project-proposal
command	příkaz	project-proposal
command_aliases	místní_názvy_příkazů	project-proposal
command_cat	zobrazit_obsah_souboru	project-proposal
command_echo	vypsat_argumenty	project-proposal
command_matches	příkaz_odpovídá	project-proposal
command_names	základní_příkazy	project-proposal
command_pid	zobrazit_identifikátory_procesů	project-proposal
command_pwd	zobrazit_pracovní_adresář	project-proposal
command_run	spustit_program	project-proposal
command_source	interpretovat_příkazový_soubor	project-proposal
command_stat	zobrazit_informace_o_souboru	project-proposal
command_udp	ověřit_návrat_datagramu	project-proposal
command_uname	zobrazit_identitu_systému	project-proposal
current	aktuální_pozice	project-proposal
digit_text	znaky_číslic	project-proposal
file_descriptor	deskriptor_souboru_2	project-proposal
file_name	název_souboru	project-proposal
input	vstup	project-proposal
input_descriptor	vstupní_deskriptor	project-proposal
input_line	vstupní_řádek	project-proposal
input_stream	vstupní_proud	project-proposal
left	levý	project-proposal
length	délka	project-proposal
message	zpráva	project-proposal
message_length	délka_zprávy_v_bajtech	project-proposal
name	identita_systému	project-proposal
number	velikost_bez_znaménka	project-proposal
operation	operace	project-proposal
output	výstupní_pozice	project-proposal
overflow	neplatný_vstupní_řádek	project-proposal
path	cesta	project-proposal
position	pozice	project-proposal
print_help	zobrazit_nápovědu	project-proposal
quote	uvozovka	project-proposal
read_line	číst_vstupní_řádek	project-proposal
receive_address	adresa_příjemce	project-proposal
receive_socket	přijímací_koncový_bod	project-proposal
received_data	přijatá_data	project-proposal
received_length	počet_přijatých_bajtů	project-proposal
right	pravý	project-proposal
run_input	interpretovat_vstup	project-proposal
script_depth	hloubka_vnoření_příkazových_souborů	project-proposal
send_socket	odesílací_koncový_bod	project-proposal
size	počet_číslic	project-proposal
source_address	adresa_odesílatele	project-proposal
source_address_length	délka_adresy_odesílatele	project-proposal
split_arguments	rozdělit_argumenty	project-proposal
status	stav	project-proposal
text	text	project-proposal
text_equal	texty_stejné	project-proposal
text_length	délka_textu_v_bajtech	project-proposal
value	hodnota	project-proposal
wait_status	stav_ukončení_potomka	project-proposal
write_error	ohlásit_chybu	project-proposal
write_integer	vypsat_celé_číslo	project-proposal
write_text	vypsat_text	project-proposal
