english	localized	language
a	Z	cs
access	přístup	cs
ack	ack	cs
activate	Aktivovat	cs
active	Aktivní	cs
add	Přidat	cs
addend	addend	cs
addr	addr	cs
addralign	addralign	cs
address	Adresa	cs
advanced	Pokročilé	cs
af	af	cs
after	Potom	cs
align	Zarovnání	cs
aligned	aligned	cs
alignment	alignment	cs
all	Vše	cs
alloc	alloc	cs
allocate	allocate	cs
allocated	allocated	cs
am	am	cs
amd	amd	cs
amount	Množství	cs
and	a	cs
append	append	cs
args	args	cs
argument	argument	cs
arguments	Argumenty	cs
arp	arp	cs
arp콘솔	arp콘솔	cs
array	Pole	cs
assembly	assembly	cs
at	at	cs
ata	ata	cs
atime	atime	cs
attachment	attachment	cs
attempts	attempts	cs
attr	attr	cs
attribute	atribut	cs
attributes	Atributy	cs
aux	aux	cs
avail	avail	cs
available	Kdispozici	cs
b	b	cs
ba	ba	cs
back	Zpět	cs
backend	backend	cs
backup	backup	cs
bar	Pruh	cs
base	base	cs
be	be	cs
bh	bh	cs
big	big	cs
bind	Svázat	cs
bios	bios	cs
bit	bit	cs
bitmap	bitmap	cs
bitmasp	bitmasp	cs
bits	bitů	cs
blksize	blksize	cs
block	Blokový	cs
blocked	blocked	cs
blocking	blocking	cs
blocks	Blokové	cs
boot	boot	cs
bootable	bootable	cs
bootloader	bootloader	cs
bound	bound	cs
bpb	bpb	cs
break	break	cs
brk	brk	cs
broadcast	broadcast	cs
buf	buf	cs
buffer	buffer	cs
buffers	Buffery	cs
bufptr	bufptr	cs
bus	bus	cs
button	Tlačítko	cs
buttons	Tlačítka	cs
by	by	cs
byte	byte	cs
bytes	Bytů	cs
c	O	cs
cache	cache	cs
call	call	cs
candidate	candidate	cs
cap	cap	cs
capable	capable	cs
card	Karetní	cs
central	central	cs
char	char	cs
chdir	chdir	cs
check	check	cs
checked	checked	cs
checksum	Kontrolnísoučet	cs
child	syn	cs
chunk	chunk	cs
class	Třída	cs
clear	Vyčistit	cs
cloexec	cloexec	cs
clone	clone	cs
close	Zavřít	cs
cluster	cluster	cs
cmp	cmp	cs
code	code	cs
col	col	cs
color	Barva	cs
colordepth	colordepth	cs
command	Příkaz	cs
commandport	commandport	cs
common	Běžné	cs
component	component	cs
connect	Spojení	cs
connected	connected	cs
console	Konzole	cs
constant	Konstanta	cs
contains	contains	cs
contents	Obsah	cs
control	Ovládání	cs
controller	controller	cs
coordinate	coordinate	cs
copies	copies	cs
copy	Kopírovat	cs
count	Počet	cs
cow	cow	cs
cpu	cpu	cs
cpustate	cpustate	cs
cpy	cpy	cs
cr	cr	cs
creat	creat	cs
create	create	cs
crtc	crtc	cs
