original	localized	language
Activate	Aktivovat	cs
ActivateAll	AktivovatVše	cs
Active	Aktivní	cs
ActiveInterruptManager	AktivníPřerušenímanager	cs
ActiveMemoryManager	AktivníPaměťmanager	cs
Add	Přidat	cs
AddDriver	Přidatdriver	cs
AddRunnableThread	Přidatrunnablethread	cs
AddTask	PřidatÚloha	cs
AddThread	Přidatthread	cs
Address	Adresa	cs
AlignedMalloc	Alignedmalloc	cs
AlignmentCheck	Alignmentcheck	cs
AllocateBlock	AllocateBlokový	cs
AllocatePID	Allocatepid	cs
AmountOfMemory	MnožstvízPaměť	cs
ArrayToUint16	Poledounsignedinteger16	cs
ArrayToUint32	Poledounsignedinteger32	cs
ArrayToUint48	Poledounsignedinteger48	cs
ArrayToUint48_BE	Poledounsignedinteger48be	cs
ArrayToUint64	Poledounsignedinteger64	cs
Atime	Atime	cs
AtimeNsec	Atimensec	cs
BLOCKS_PER_BYTE	Blokovýperbyte	cs
BLOCK_SIZE	BlokovýVelikost	cs
Backend	Backend	cs
BaseAddr	BaseAdresa	cs
Bind	Svázat	cs
Blksize	Blksize	cs
Blocked	Blocked	cs
BlockedState	BlockedStav	cs
Blocks	Blokový	cs
BoundRangeExceeded	BoundRozsahexceeded	cs
BroadcastMacAddress	BroadcastmacAdresa	cs
BytesPerSector	Bytůpersector	cs
BytesToString	Bytůdořetězec	cs
Checksum	Kontrolnísoučet	cs
Clear	Vyčistit	cs
Clone	Clone	cs
CloneAddressSpaceCOW	CloneAdresaMezeracow	cs
Connect	Spojení	cs
ContainsCoordinate	Containscoordinate	cs
CopyPageFrameBlock	KopírovatStránkaRámBlokový	cs
CpuState	CpuStav	cs
Create	Create	cs
CreateFromData	Createzdata	cs
CreateFromFunction	CreatezFunkce	cs
CreatePtrFromFunction	CreateKurzorzFunkce	cs
Cs	Cs	cs
Ctime	Ctime	cs
CtimeNsec	Ctimensec	cs
CurrentPID	Současnýpid	cs
CurrentParentPID	Současnýrodičpid	cs
Data	Data	cs
Deactivate	Deaktivovat	cs
Deactive	Deactive	cs
Decrement	Decrement	cs
Delete	Smazat	cs
DescriptorPrivilegeLevel	Descriptorprivilegelevel	cs
DescriptorType	DescriptorTyp	cs
Destroy	Zničit	cs
Dev	Zařízení	cs
DeviceHasFunctions	ZařízeníhasFunkce	cs
DeviceNotAvailable	ZařízenínotKdispozici	cs
Device_id	Zařízeníid	cs
DisableInt	Zakázatint	cs
Disconnect	Odpojit	cs
DivideByZero	DěleníbyNula	cs
DoHandleInterrupt	DoÚchytkaPřerušení	cs
DoubleFault	Dvojitéfault	cs
Draw	Draw	cs
DriverManager	Drivermanager	cs
Ds	Ds	cs
Dynamic	Dynamické	cs
E2BIG	E2big	cs
EACCES	Eacces	cs
EADDRINUSE	Eaddrinuse	cs
EAFNOSUPPORT	Eafnosupport	cs
EAGAIN	Eagain	cs
EBADF	Ebadf	cs
EBUSY	Ebusy	cs
ECHILD	Echild	cs
EEXIST	Eexist	cs
EFAULT	Efault	cs
EFBIG	Efbig	cs
EINTR	Eintr	cs
EINVAL	Einval	cs
EIO	Eio	cs
EISDIR	Eisdir	cs
EMFILE	Emfile	cs
EMSGSIZE	Emsgsize	cs
ENETUNREACH	Enetunreach	cs
ENFILE	Enfile	cs
ENODEV	Enodev	cs
ENOENT	Enoent	cs
ENOEXEC	Enoexec	cs
ENOMEM	Enomem	cs
ENOSPC	Enospc	cs
ENOSYS	Enosys	cs
ENOTCONN	Enotconn	cs
ENOTDIR	Enotdir	cs
ENOTTY	Enotty	cs
EOPNOTSUPP	Eopnotsupp	cs
EPERM	Eperm	cs
EPROTONOSUPPORT	Eprotonosupport	cs
ERANGE	Erange	cs
EROFS	Erofs	cs
ESPIPE	Espipe	cs
ESRCH	Esrch	cs
Eax	Eax	cs
Ebp	Ebp	cs
Ebx	Ebx	cs
Ecx	Ecx	cs
Edi	Edi	cs
Edx	Edx	cs
Eflags	Eflags	cs
Eip	Eip	cs
Elf	Elf	cs
Elf32Dyn	Elf32dyn	cs
Elf32Note	Elf32Poznámka	cs
Elf32Rel	Elf32rel	cs
Elf32Rela	Elf32rela	cs
Elf32Sym	Elf32sym	cs
ElfHeader	Elfheader	cs
ElfProgramHeader	Elfprogramheader	cs
