original	before	after	review_status	concept	changed_tokens
Activate	Aktivovat	Aktivovat	existing-unreviewed		0
ActivateAll	AktivovatVše	AktivovatVše	existing-unreviewed		0
Active	Aktivní	Aktivní	existing-unreviewed		0
ActiveInterruptManager	AktivníPřerušenímanager	AktivníPřerušenímanager	existing-unreviewed		0
ActiveMemoryManager	AktivníPaměťmanager	AktivníPaměťmanager	existing-unreviewed		0
Add	Přidat	Přidat	existing-unreviewed		0
AddDriver	Přidatdriver	Přidatdriver	existing-unreviewed		0
AddRunnableThread	Přidatrunnablethread	Přidatrunnablethread	existing-unreviewed		0
AddTask	PřidatÚloha	PřidatÚloha	existing-unreviewed		0
AddThread	Přidatthread	Přidatthread	existing-unreviewed		0
Address	Adresa	Adresa	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateBlokový	AllocateBlokový	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	MnožstvízPaměť	MnožstvízPaměť	existing-unreviewed		0
ArrayToUint16	Poledounsignedinteger16	Poledounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Poledounsignedinteger32	Poledounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Poledounsignedinteger48	Poledounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Poledounsignedinteger48be	Poledounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Poledounsignedinteger64	Poledounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Blokovýperbyte	Blokovýperbyte	existing-unreviewed		0
BLOCK_SIZE	BlokovýVelikost	BlokovýVelikost	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	BaseAdresa	BaseAdresa	existing-unreviewed		0
Bind	Svázat	Svázat	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedStav	BlockedStav	existing-unreviewed		0
Blocks	Blokový	Blokový	existing-unreviewed		0
BoundRangeExceeded	BoundRozsahexceeded	BoundRozsahexceeded	existing-unreviewed		0
BroadcastMacAddress	BroadcastmacAdresa	BroadcastmacAdresa	existing-unreviewed		0
BytesPerSector	Bytůpersector	Bytůpersector	existing-unreviewed		0
BytesToString	Bytůdořetězec	Bytůdořetězec	existing-unreviewed		0
Checksum	Kontrolnísoučet	Kontrolnísoučet	existing-unreviewed		0
Clear	Vyčistit	Vyčistit	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneAdresaMezeracow	CloneAdresaMezeracow	existing-unreviewed		0
Connect	Spojení	Spojení	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	KopírovatStránkaRámBlokový	KopírovatStránkaRámBlokový	existing-unreviewed		0
CpuState	CpuStav	CpuStav	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createzdata	Createzdata	existing-unreviewed		0
CreateFromFunction	CreatezFunkce	CreatezFunkce	existing-unreviewed		0
CreatePtrFromFunction	CreateKurzorzFunkce	CreateKurzorzFunkce	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Současnýpid	Současnýpid	existing-unreviewed		0
CurrentParentPID	Současnýrodičpid	Současnýrodičpid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Deaktivovat	Deaktivovat	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Smazat	Smazat	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	DescriptorTyp	DescriptorTyp	existing-unreviewed		0
Destroy	Zničit	Zničit	existing-unreviewed		0
Dev	Zařízení	Zařízení	existing-unreviewed		0
DeviceHasFunctions	ZařízeníhasFunkce	ZařízeníhasFunkce	existing-unreviewed		0
