before	after
asm/gdt.inc	spuštění_stroje/gdt.inc
asm/goasmoffset.inc	spuštění_stroje/goasmoffset.inc
asm/konstanta.inc	spuštění_stroje/konstanta.inc
asm/multibootheader.s	spuštění_stroje/multibootheader.s
asm/rt0.s	spuštění_stroje/rt0.s
go.sh	přeložit_jádro.sh
linker.ld	rozvržení_spojování.ld
src/driver/myš/myš.go	src/driver/polohovací_zařízení/polohovací_zařízení.go
src/ethernetRám/ethernetRám.go	src/rámec_sítě_se_sdíleným_médiem/rámec_sítě_se_sdíleným_médiem.go
src/icmp/icmp.go	src/protokol_řídicích_zpráv_propojených_sítí/protokol_řídicích_zpráv_propojených_sítí.go
src/ipv4/ipv4.go	src/protokol_propojených_sítí_4/protokol_propojených_sítí_4.go
src/souborSystém/elf/elf.go	src/souborSystém/spustitelný_a_spojitelný_formát/spustitelný_a_spojitelný_formát.go
src/souborSystém/elf/elfheader.go	src/souborSystém/spustitelný_a_spojitelný_formát/elfheader.go
src/souborSystém/elf/elfsection.go	src/souborSystém/spustitelný_a_spojitelný_formát/elfsection.go
src/souborSystém/elf/odkazmap.go	src/souborSystém/spustitelný_a_spojitelný_formát/odkazmap.go
src/udp/udp.go	src/protokol_uživatelských_datagramů/protokol_uživatelských_datagramů.go
src/widget/widget.go	src/prvek_obrazovky/prvek_obrazovky.go
tools/decode-virtualbox-log.sh	nástroje/zpracovat_sériový_záznam.sh
tools/offsets.go	nástroje/posuny_struktury.go
userland/posix/Makefile	uživatelský_prostor/posix/Makefile
userland/posix/TEST_RESULTS.md	uživatelský_prostor/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	uživatelský_prostor/posix/deklarace/arpa/inet.h
userland/posix/include/engos/syscall.h	uživatelský_prostor/posix/deklarace/engos/syscall.h
userland/posix/include/errno.h	uživatelský_prostor/posix/deklarace/errno.h
userland/posix/include/fcntl.h	uživatelský_prostor/posix/deklarace/fcntl.h
userland/posix/include/netinet/in.h	uživatelský_prostor/posix/deklarace/netinet/in.h
userland/posix/include/stddef.h	uživatelský_prostor/posix/deklarace/stddef.h
userland/posix/include/stdint.h	uživatelský_prostor/posix/deklarace/stdint.h
userland/posix/include/sys/socket.h	uživatelský_prostor/posix/deklarace/sys/socket.h
userland/posix/include/sys/stat.h	uživatelský_prostor/posix/deklarace/sys/stat.h
userland/posix/include/sys/types.h	uživatelský_prostor/posix/deklarace/sys/types.h
userland/posix/include/sys/utsname.h	uživatelský_prostor/posix/deklarace/sys/utsname.h
userland/posix/include/sys/wait.h	uživatelský_prostor/posix/deklarace/sys/wait.h
userland/posix/include/unistd.h	uživatelský_prostor/posix/deklarace/unistd.h
userland/posix/linker.ld	uživatelský_prostor/posix/rozvržení_spojování.ld
userland/posix/src/crt0.S	uživatelský_prostor/posix/implementace/spuštění.S
userland/posix/src/errno.c	uživatelský_prostor/posix/implementace/číslo_chyby.c
userland/posix/src/fcntl.c	uživatelský_prostor/posix/implementace/řízení_souboru.c
userland/posix/src/socket.c	uživatelský_prostor/posix/implementace/socket.c
userland/posix/src/stat.c	uživatelský_prostor/posix/implementace/stav_souboru.c
userland/posix/src/syscall.S	uživatelský_prostor/posix/implementace/systémové_volání.S
userland/posix/src/unistd.c	uživatelský_prostor/posix/implementace/unistd.c
userland/posix/tests/compile.c	uživatelský_prostor/posix/zkoušky/compile.c
userland/posix/tests/exec_runtime.c	uživatelský_prostor/posix/zkoušky/exec_runtime.c
userland/posix/tests/exec_target.c	uživatelský_prostor/posix/zkoušky/exec_target.c
userland/posix/tests/fork_runtime.c	uživatelský_prostor/posix/zkoušky/fork_runtime.c
userland/posix/tests/heap_runtime.c	uživatelský_prostor/posix/zkoušky/heap_runtime.c
userland/posix/tests/runtime.c	uživatelský_prostor/posix/zkoušky/runtime.c
userland/posix/tests/socket_runtime.c	uživatelský_prostor/posix/zkoušky/socket_runtime.c
userland/posix/tests/stdin_runtime.c	uživatelský_prostor/posix/zkoušky/stdin_runtime.c
