compiler_identifier	native_identifier
AF_INET	Netzverbundadressfamilienkennung
AF_UNSPEC	nicht_festgelegte_Adressfamilie
INADDR_ANY	beliebige_lokale_Adresse
INADDR_LOOPBACK	Rückschleifenadresse
IPPROTO_IP	Netzverbundgrundprotokoll
IPPROTO_UDP	Benutzerdatagrammprotokoll
PF_INET	Netzverbundprotokollfamilie
SC_accept	SC_Verbindung_annehmen
SC_bind	SC_lokale_Adresse_zuordnen
SC_connect	SC_Gegenstelle_verbinden
SC_getpeername	SC_Gegenstellenadresse_ermitteln
SC_getsockname	SC_lokale_Endpunktadresse_ermitteln
SC_listen	SC_Verbindungsannahme_vorbereiten
SC_recv	SC_empfangen
SC_recvfrom	SC_mit_Absenderadresse_empfangen
SC_send	SC_senden
SC_sendto	SC_an_Zieladresse_senden
SC_setsockopt	SC_Endpunktoption_setzen
SC_shutdown	SC_Übertragungsrichtung_schließen
SC_socket	SC_Kommunikationsendpunkt_anlegen
SHUT_RD	Empfang_beenden
SHUT_RDWR	beide_Richtungen_beenden
SHUT_WR	Senden_beenden
SOCK_DGRAM	Datagrammendpunkt
SOCK_STREAM	Datenstromendpunkt
SYS_access	SYS_Zugriffsrechte_prüfen
SYS_brk	SYS_Speicherende_setzen
SYS_chdir	SYS_Arbeitsverzeichnis_wechseln
SYS_close	SYS_schließen
SYS_creat	SYS_Datei_anlegen
SYS_dup	SYS_offenen_Dateiverweis_duplizieren
SYS_dup2	SYS_Dateiverweis_auf_Kennung_duplizieren
SYS_execve	SYS_Programmbild_ersetzen
SYS_exit	SYS_sofort_beenden
SYS_fcntl	SYS_Dateizugriff_steuern
SYS_fork	SYS_Prozess_verzweigen
SYS_fstat	SYS_Zustand_offener_Datei_ermitteln
SYS_fsync	SYS_Dateidaten_synchronisieren
SYS_getcwd	SYS_Arbeitsverzeichnispfad_ermitteln
SYS_getegid	SYS_wirksame_Gruppenkennung_ermitteln
SYS_geteuid	SYS_wirksame_Benutzerkennung_ermitteln
SYS_getgid	SYS_Gruppenkennung_ermitteln
SYS_getpid	SYS_Prozesskennung_ermitteln
SYS_getppid	SYS_Elternprozesskennung_ermitteln
SYS_getuid	SYS_Benutzerkennung_ermitteln
SYS_lseek	SYS_Dateiposition_verschieben
SYS_lstat	SYS_Verknüpfungszustand_ermitteln
SYS_open	SYS_öffnen
SYS_read	SYS_lesen
SYS_stat	SYS_Dateizustand
SYS_sync	SYS_alle_Dateidaten_synchronisieren
SYS_uname	SYS_Systeminformationen_ermitteln
SYS_write	SYS_schreiben
_LIBC_ARPA_INET_H	_include_Netzadressumwandlung_Bytereihenfolge
_LIBC_NETINET_IN_H	_include_Netzverbund_Adresse
_LIBC_STDDEF_H	_include_Grunddefinitionen
_LIBC_STDINT_H	_include_Ganzzahltypen
_LIBC_SYSCALL_H	_include_System_syscall
_LIBC_SYS_SOCKET_H	_include_System_socket
_LIBC_SYS_STAT_H	_include_System_stat
_LIBC_SYS_TYPES_H	_include_System_Datentypen
_LIBC_SYS_UTSNAME_H	_include_System_Systemkennung
_LIBC_SYS_WAIT_H	_include_System_Kindwartung
_exit	sofort_beenden
accept	Verbindung_annehmen
access	Zugriffsrechte_prüfen
argv	Argumente_2
bind	lokale_Adresse_zuordnen
brk	Speicherende_setzen
buf	Übertragungspuffer
chdir	Arbeitsverzeichnis_wechseln
close	schließen
connect	Gegenstelle_verbinden
creat	Datei_anlegen
dup	offenen_Dateiverweis_duplizieren
dup2	Dateiverweis_auf_Kennung_duplizieren
execve	Programmbild_ersetzen
fcntl	Dateizugriff_steuern
fd	Dateideskriptor
fork	Prozess_verzweigen
fstat	Zustand_offener_Datei_ermitteln
fsync	Dateidaten_synchronisieren
getcwd	Arbeitsverzeichnispfad_ermitteln
getegid	wirksame_Gruppenkennung_ermitteln
geteuid	wirksame_Benutzerkennung_ermitteln
getgid	Gruppenkennung_ermitteln
getpeername	Gegenstellenadresse_ermitteln
getpid	Prozesskennung_ermitteln
getppid	Elternprozesskennung_ermitteln
getsockname	lokale_Endpunktadresse_ermitteln
getuid	Benutzerkennung_ermitteln
hostlong	_32_Bit_Wert_in_Rechnerreihenfolge
hostshort	_16_Bit_Wert_in_Rechnerreihenfolge
htonl	_32_Bit_in_Netzreihenfolge
htons	_16_Bit_in_Netzreihenfolge
in_addr	Netzverbundadresse
in_addr_t	Typ_des_Netzverbundadresswerts
in_port_t	Typ_der_Kommunikationsportnummer
isatty	Terminal_prüfen
listen	Verbindungsannahme_vorbereiten
lseek	Dateiposition_verschieben
lstat	Verknüpfungszustand_ermitteln
netlong	_32_Bit_Wert_in_Netzreihenfolge
netshort	_16_Bit_Wert_in_Netzreihenfolge
ntohl	_32_Bit_in_Rechnerreihenfolge
ntohs	_16_Bit_in_Rechnerreihenfolge
open	öffnen
read	lesen
recv	empfangen
recvfrom	mit_Absenderadresse_empfangen
s_addr	Adresswert
sa_data	Adressdaten
sa_family	Endpunktadressfamilie
sa_family_t	Adressfamilientyp
sbrk	Speicherende_verschieben
send	senden
sendto	an_Zieladresse_senden
setsockopt	Endpunktoption_setzen
shutdown	Übertragungsrichtung_schließen
sin_addr	Netzverbundadressinhalt
sin_family	Netzverbundadressfamilie
sin_port	Kommunikationsportnummer
sin_zero	Adressauffüllung
sockaddr	Kommunikationsendpunktadresse
sockaddr_in	Netzverbundendpunktadresse
socket	Kommunikationsendpunkt_anlegen
socklen_t	Adresslängentyp
stat	Dateizustand
sync	alle_Dateidaten_synchronisieren
uname	Systeminformationen_ermitteln
wait	Kind_abwarten
waitpid	bestimmtes_Kind_abwarten
write	schreiben
