english	localized	source	evidence_count
a	F	gettext	1
access	zugreifen	gettext	5
ack	ack	fallback-English	0
activate	Aktivieren	gettext	3
active	Aktiv	gettext	9
add	Hinzufügen	gettext	34
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	Erweitert	gettext	22
af	af	fallback-English	0
after	Nach	gettext	5
align	Ausrichtung	gettext	5
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Alle	gettext	6
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Menge	gettext	1
and	und	gettext	3
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argumente	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Feld	curated-seed	5
assembly	Assembler	curated-seed	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	Attribut	curated-seed	7
attributes	Attribute	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Verfügbar	gettext	6
b	bit	gettext	1
ba	ba	fallback-English	0
back	Zurück	gettext	20
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Balken	gettext	1
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	Groß	gettext	1
bind	Bindung	gettext	5
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	Bit	gettext	2
blksize	blksize	fallback-English	0
block	Rechteck	gettext	5
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Tetrisartig	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Puffer	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Knopf	gettext	8
buttons	ReihenfolgederTasten	gettext	5
by	by	fallback-English	0
byte	Byte	curated-seed	0
bytes	Byte	gettext	8
c	B	gettext	1
cache	cache	fallback-English	0
call	Aufruf	curated-seed	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Kartenspiele	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	Prüfsumme	gettext	1
child	Kind	gettext	5
chunk	chunk	fallback-English	0
class	Klasse	gettext	11
