original	localized	language
Activate	Aktivieren	de
ActivateAll	AktivierenAlle	de
Active	Aktiv	de
ActiveInterruptManager	AktivUnterbrechungVerwalter	de
ActiveMemoryManager	AktivSpeicherVerwalter	de
Add	Hinzufügen	de
AddDriver	HinzufügenTreiber	de
AddRunnableThread	HinzufügenrunnableAusführungsfaden	de
AddTask	HinzufügenAufgabe	de
AddThread	HinzufügenAusführungsfaden	de
Address	Address	de
AlignedMalloc	Alignedmalloc	de
AlignmentCheck	Alignmentcheck	de
AllocateBlock	AllocateRechteck	de
AllocatePID	AllocateProzesskennung	de
AmountOfMemory	MengevonSpeicher	de
ArrayToUint16	Feldtounsignedinteger16	de
ArrayToUint32	Feldtounsignedinteger32	de
ArrayToUint48	Feldtounsignedinteger48	de
ArrayToUint48_BE	Feldtounsignedinteger48be	de
ArrayToUint64	Feldtounsignedinteger64	de
Atime	Atime	de
AtimeNsec	Atimensec	de
BLOCKS_PER_BYTE	RechteckperByte	de
BLOCK_SIZE	RechteckGröße	de
Backend	Backend	de
BaseAddr	Baseaddress	de
Bind	Bindung	de
Blksize	Blksize	de
Blocked	Blocked	de
BlockedState	BlockedStatus	de
Blocks	Rechteck	de
BoundRangeExceeded	BoundSpannweiteexceeded	de
BroadcastMacAddress	Broadcastmacaddress	de
BytesPerSector	Bytepersector	de
BytesToString	BytetoZeichenkette	de
Checksum	Prüfsumme	de
Clear	Leeren	de
Clone	Clone	de
CloneAddressSpaceCOW	CloneaddressLeerzeichencow	de
Connect	Verbinden	de
ContainsCoordinate	Containscoordinate	de
CopyPageFrameBlock	KopierenSeiteRahmenRechteck	de
CpuState	CpuStatus	de
Create	Erstellen	de
CreateFromData	ErstellenvonDaten	de
CreateFromFunction	ErstellenvonFunktion	de
CreatePtrFromFunction	ErstellenZeigervonFunktion	de
Cs	Cs	de
Ctime	Ctime	de
CtimeNsec	Ctimensec	de
CurrentPID	SystemzeitProzesskennung	de
CurrentParentPID	SystemzeitElternelementProzesskennung	de
Data	Data	de
Deactivate	Deaktivieren	de
Deactive	Deactive	de
Decrement	Decrement	de
Delete	Löschen	de
DescriptorPrivilegeLevel	Descriptorprivilegelevel	de
DescriptorType	DescriptorTyp	de
Destroy	Zerstören	de
Dev	Gerät	de
DeviceHasFunctions	GeräthasFunktionen	de
DeviceNotAvailable	GerätNichtVerfügbar	de
Device_id	GerätKennung	de
DisableInt	DeaktivierenGanzzahl	de
Disconnect	Trennen	de
DivideByZero	DividierenbyNull	de
DoHandleInterrupt	DoGriffUnterbrechung	de
DoubleFault	GleitkommazahlFehler	de
Draw	Draw	de
DriverManager	TreiberVerwalter	de
Ds	Ds	de
Dynamic	Dynamisch	de
E2BIG	E2Groß	de
EACCES	Eacces	de
EADDRINUSE	Eaddrinuse	de
EAFNOSUPPORT	Eafnosupport	de
EAGAIN	Eagain	de
EBADF	Ebadf	de
EBUSY	Ebusy	de
ECHILD	Echild	de
EEXIST	Eexist	de
EFAULT	Efault	de
EFBIG	Efbig	de
EINTR	Eintr	de
EINVAL	Einval	de
EIO	Eio	de
EISDIR	Eisdir	de
EMFILE	Emfile	de
EMSGSIZE	Emsgsize	de
ENETUNREACH	Enetunreach	de
ENFILE	Enfile	de
ENODEV	Enodev	de
ENOENT	Enoent	de
ENOEXEC	Enoexec	de
ENOMEM	Enomem	de
ENOSPC	Enospc	de
ENOSYS	Enosys	de
ENOTCONN	Enotconn	de
ENOTDIR	Enotdir	de
ENOTTY	Enotty	de
EOPNOTSUPP	Eopnotsupp	de
EPERM	Eperm	de
EPROTONOSUPPORT	Eprotonosupport	de
ERANGE	Erange	de
EROFS	Erofs	de
ESPIPE	Espipe	de
ESRCH	Esrch	de
Eax	Eax	de
Ebp	Ebp	de
Ebx	Ebx	de
Ecx	Ecx	de
Edi	Edi	de
Edx	Edx	de
Eflags	Eflags	de
Eip	Eip	de
Elf	Elf	de
Elf32Dyn	Elf32dyn	de
Elf32Note	Elf32Notiz	de
Elf32Rel	Elf32rel	de
Elf32Rela	Elf32rela	de
Elf32Sym	Elf32sym	de
ElfHeader	ElfKopf	de
ElfProgramHeader	ElfProgrammKopf	de
ElfSectionHeader	ElfAbschnittKopf	de
EnablePaging	AktivierenSeitenverwaltung	de
Enabled	Aktiviert	de
EntryNumber	EintragNummer	de
EqualBytes	EntsprechendByte	de
Es	Es	de
Esi	Esi	de
Esp	Esp	de
FPUBuffer	Fpubuffer	de
FPUOffset	FpuVersatz	de
Family	Family	de
FileName	DateiElementname	de
Fill	Fill	de
FillRectangle	FillRechteck	de
First	First	de
FirstFree	FirstFrei	de
FirstFreeSize	FirstFreiGröße	de
Flags	Optionen	de
FloatingPointException	Gleitendpointexception	de
Flush	Flush	de
FlushTlsTable	FlushtlsTabelle	de
Focussable	Focussable	de
Free	Frei	de
Fs	Fs	de
GB	Gb	de
GDT_ENTRIES	GdtEintrag	de
GOT	Got	de
GPFException	Gpfexception	de
GatewayIP	Gatewayip	de
GdtAddressHigh	GdtaddressHoch	de
GdtAddressLow	GdtaddressNiedrig	de
GdtDescriptor	Gdtdescriptor	de
GdtEntry	GdtEintrag_2	de
GdtSize	GdtGröße	de
GetAt	Getat	de
GetBackend	Getbackend	de
GetBaseAddressRegister	GetbaseaddressRegister	de
GetBitmaspSize	GetbitmaspGröße	de
GetBytesFromPtr	GetBytevonZeiger	de
GetCR0	Getcr0	de
GetCR2	Getcr2	de
GetCR3	Getcr3	de
GetCR4	Getcr4	de
GetColorIndex	GetFarbeInhalt	de
GetDeviceDescriptor	GetGerätdescriptor	de
GetDriver	GetTreiber	de
GetESP0	Getesp0	de
GetEntry	GetEintrag	de
GetFileSize	GetDateiGröße	de
GetFocus	GetFokus	de
GetFrameBufferSegment	GetRahmenbuffersegment	de
GetFuncPtrFromPtr	GetfuncZeigervonZeiger	de
GetFunctionName	GetFunktionElementname	de
GetHandler	Gethandler	de
GetIPAddress	Getipaddress	de
GetMACAddress	Getmacaddress	de
GetMACFromCache	Getmacvoncache	de
GetNextReadyThread	GetWeiterBereitAusführungsfaden	de
GetNodeAt	GetKnotenat	de
GetProvider	Providerget	de
GetSS0	Getss0	de
GetStr	Getstr	de
GetUint32ArrayFromPtr	Getunsignedinteger32FeldvonZeiger	de
GetUintptrArrayFromPtr	GetunsignedintegerZeigerFeldvonZeiger	de
GetValue	GetWert	de
GetValueInPageDir	GetWertEinSeiteOrdner	de
Gid	Gid	de
Gs	Gs	de
HandleException	Griffexception	de
HandleFatalInterruptFrame	GrifffatalUnterbrechungRahmen	de
HandleInterrupt	GriffUnterbrechung	de
HandleInterrupt1	GriffUnterbrechung1	de
HandleUserDatagramProtocolMessage	GriffBenutzerdatagramprotocolNachricht	de
IDT_DESC_PRESENT	IdtdescriptorVorhanden	de
IDT_INTERRUPT_GATE	IdtUnterbrechungTor	de
IDriver	ITreiber	de
IEtherFrameHandler	IEthernetRahmenhandler	de
IInternetProtocolHandler	IInternetprotocolhandler	de
IInterruptHandler	IUnterbrechunghandler	de
IKeyboardEventHandler	ITastaturEreignishandler	de
IMouseEventHandler	IMausEreignishandler	de
IPCIControllerHandler	IpciSteuerunghandler	de
IPCache	Ipcache	de
IP_BE	IpNetzwerkByteorder	de
IRawDataHandler	IRawDatenhandler	de
ITimerEventHandler	IZeitgeberEreignishandler	de
IUserDatagramProtocolHandler	IBenutzerdatagramprotocolhandler	de
IUserDatagramProtocolSocket	IBenutzerdatagramprotocolNetzanschluss	de
IWidget	IBildschirmelement	de
Identify	Identify	de
Increment	Increment	de
IndexOf	Inhaltvon	de
Init	Init	de
InitDriver	InitTreiber	de
InitialThreadUserJump	InitialAusführungsfadenBenutzerjump	de
Ino	Ino	de
Install	Installieren	de
Interrupt	Unterbrechung	de
InterruptActive	UnterbrechungAktiv	de
InterruptDeactive	Unterbrechungdeactive	de
InterruptManager	UnterbrechungVerwalter	de
InterruptNumber	UnterbrechungNummer	de
InvalidOpcode	Ungültigopcode	de
InvalidTSS	Ungültigtss	de
IsKernel	IsKern	de
IsPresent	IsVorhanden	de
IsUserSpace	IsBenutzerLeerzeichen	de
KB	Kbit	de
KCS_INDEX	KcsInhalt	de
KCS_SELECTOR	Kcsselector	de
KDS_INDEX	KdsInhalt	de
KDS_SELECTOR	Kdsselector	de
KERNEL_HEAP_START	KernheapStarten	de
KERNEL_VIRT_ADDR	Kernvirtaddress	de
KGS_INDEX	KgsInhalt	de
KGS_SELECTOR	Kgsselector	de
K핵심	KKernelEntry	de
LIDT	Lidt	de
Last	Letzter	de
Len	Len	de
Limit	Beschränkung	de
Link	Verknüpfung	de
LinkMap	VerknüpfungAbbildung	de
LinkedList	LinkedListe	de
Listen	Listen	de
LoadElf	Ladenelf	de
MAC	Mac	de
MAC0	Mac0	de
MAC1	Mac1	de
MAC2	Mac2	de
MAC3	Mac3	de
MAC4	Mac4	de
MAC5	Mac5	de
MACAddress0Port	Macaddress0Anschluss	de
MACAddress2Port	Macaddress2Anschluss	de
MACAddress4Port	Macaddress4Anschluss	de
MACCache	Maccache	de
MAX_QUEUE_SIZE	MaximumWarteschlangeGröße	de
MB	Mbar	de
MBR	Mbr	de
MHex출력	MHexadecimalDrucken	de
MHex출력XY	MHexadecimalDruckenxy	de
MUint16출력	MUnsignedinteger16Drucken	de
MUint16출력XY	MUnsignedinteger16Druckenxy	de
MUint32출력	MUnsignedinteger32Drucken	de
MUint32출력XY	MUnsignedinteger32Druckenxy	de
MUint64출력	MUnsignedinteger64Drucken	de
MUint64출력XY	MUnsignedinteger64Druckenxy	de
Machine	Machine	de
MachineCheck	Machinecheck	de
MakeRangePrivateWritable	MakeSpannweitePrivatwritable	de
Malloc	Speicher_reservieren	de
MemCmp	Memcmp	de
MemCpy	MemKopieren	de
MemMove	MemVerschieben	de
MemSet	MemSetzen	de
MemoryOper	Speicheroper	de
Mode	Modus	de
ModelToScreen	Lokale_Koordinaten_setzen	de
Mtime	Mtime	de
MtimeNsec	Mtimensec	de
MyHandleInterrupt	MyGriffUnterbrechung	de
MyTest	MyTesten	de
M긴급로그Hex8	MEmergencyProtokollhexadecimal8	de
M긴급로그Uint32	MEmergencyProtokollunsignedinteger32	de
M긴급로그문자열	MEmergencyProtokollZeichenkette	de
M직렬로그초기화	MSeriellProtokollinit	de
M출력	MDrucken	de
M출력BytesXY	MDruckenBytexy	de
M출력Hex	MDruckenhexadecimal	de
M출력Uint16	MDruckenunsignedinteger16	de
M출력Uint32	MDruckenunsignedinteger32	de
M출력XY	MDruckenxy	de
M테스트	M테스트	de
NMI	Sm	de
New	Neu	de
NewInterruptHandler	NeuUnterbrechunghandler	de
Next	Weiter	de
