concept	native_phrase_or_english_fallback	code_spelling	status	rationale
allocate_memory	Speicher reservieren	speicher_reservieren	project-proposal	function-based project proposal
append	am Listenende anfügen	am_Listenende_anfügen	project-proposal	src/util/list/list.go: links after tail; back is not undo
bitmap	Belegungsbitkarte	belegungsbitkarte	project-proposal	function-based project proposal
boot	Maschinenstart	maschinenstart	project-proposal	function-based project proposal
boot_record	Hauptstartdatensatz	hauptstartdatensatz	project-proposal	boot code and partition metadata, not an audio recording
bus	gemeinsamer Übertragungsweg	gemeinsamer_Übertragungsweg	project-proposal	function-based project proposal
compile_kernel	Kern übersetzen	kern_übersetzen	project-proposal	function-based project proposal
destination_port	Zielportnummer	zielportnummer	project-proposal	function-based project proposal
elf	ausführbares und bindbares Format	ausführbares_und_bindbares_Format	project-proposal	Executable AND Linkable Format; preserve both roles
error_number	Fehlernummer	fehlernummer	project-proposal	function-based project proposal
ethernet_frame	Rahmen des gemeinsamen Übertragungsnetzes	rahmen_des_gemeinsamen_Übertragungsnetzes	project-proposal	Ethernet shared-medium history; not a claim that all modern links share a medium
ethernet_header	Rahmenkopf des gemeinsamen Übertragungsnetzes	rahmenkopf_des_gemeinsamen_Übertragungsnetzes	project-proposal	function-based project proposal
ethernet_provider	Rahmenanbieter des gemeinsamen Übertragungsnetzes	rahmenanbieter_des_gemeinsamen_Übertragungsnetzes	project-proposal	function-based project proposal
fat_parameters	Dateisystemparameter	dateisystemparameter	project-proposal	FAT layout parameters, not a generic BIOS data block
file_control	Dateisteuerung	dateisteuerung	project-proposal	function-based project proposal
file_read	Datei lesen	datei_lesen	project-proposal	function-based project proposal
file_status	Dateistatus	dateistatus	project-proposal	function-based project proposal
file_write	Datei schreiben	datei_schreiben	project-proposal	function-based project proposal
free_memory	Speicher freigeben	speicher_freigeben	project-proposal	function-based project proposal
headers	Deklarationen	deklarationen	project-proposal	function-based project proposal
heap	dynamischer Speicher	dynamischer_Speicher	project-proposal	function-based project proposal
icmp	Netzverbundsteuerprotokoll	netzverbundsteuerprotokoll	project-proposal	function-based project proposal
implementation	Implementierung	implementierung	project-proposal	function-based project proposal
insert_at	an Position einfügen	an_Position_einfügen	project-proposal	src/util/list/list.go: insertion at zero-based index
internet	Netzverbund	netzverbund	project-proposal	function-based project proposal
ip_provider	Netzverbundprotokollanbieter	netzverbundprotokollanbieter	project-proposal	function-based project proposal
ipv4	Netzverbundprotokoll4	netzverbundprotokoll4	project-proposal	function-based project proposal
link_layout	Bindungsanordnung	bindungsanordnung	project-proposal	function-based project proposal
list_node	Listenknoten	listenknoten	project-proposal	function-based project proposal
log_decoder	serielles Protokoll auswerten	serielles_Protokoll_auswerten	project-proposal	function-based project proposal
mouse	Zeigegerät	zeigegerät	project-proposal	function-based project proposal
page_directory	Seitenverzeichnis	seitenverzeichnis	project-proposal	src/paging/paging.go: upper-level page table, not a file directory
page_frame	physische Speicherseite	physische_Speicherseite	project-proposal	physical page, not an Ethernet frame or exception record
pointer	Adressverweis	adressverweis	project-proposal	function-based project proposal
prepend	am Listenanfang einfügen	am_Listenanfang_einfügen	project-proposal	src/util/list/list.go: links before head
register	Register	register	project-proposal	function-based project proposal
set_coordinates	lokale Koordinaten setzen	lokale_Koordinaten_setzen	project-proposal	src/widget/widget.go: assigns local x/y; no parent transform
source_port	Quellportnummer	quellportnummer	project-proposal	function-based project proposal
stack	Stapelspeicher	stapelspeicher	project-proposal	function-based project proposal
startup	Start	start	project-proposal	function-based project proposal
structure_offsets	Strukturversätze	strukturversätze	project-proposal	function-based project proposal
system_call	Systemaufruf	systemaufruf	project-proposal	function-based project proposal
tests	Prüfungen	prüfungen	project-proposal	function-based project proposal
toggle_bit	Belegungsbit umkehren	belegungsbit_umkehren	project-proposal	src/phymem/phymem.go: XOR; does not unconditionally clear the bit
tools	Werkzeuge	werkzeuge	project-proposal	function-based project proposal
udp	Benutzerdatagrammprotokoll	benutzerdatagrammprotokoll	project-proposal	function-based project proposal
udp_header	Benutzerdatagrammkopf	benutzerdatagrammkopf	project-proposal	function-based project proposal
udp_socket	Benutzerdatagrammendpunkt	benutzerdatagrammendpunkt	project-proposal	function-based project proposal
user_space	Benutzerbereich	benutzerbereich	project-proposal	function-based project proposal
widget	Bildschirmelement	bildschirmelement	project-proposal	function-based project proposal
