before	after
asm/gdt.inc	maschinenstart/gdt.inc
asm/goasmVersatz.inc	maschinenstart/goasmVersatz.inc
asm/konstante.inc	maschinenstart/konstante.inc
asm/multibootKopf.s	maschinenstart/multibootKopf.s
asm/rt0.s	maschinenstart/rt0.s
go.sh	kern_übersetzen.sh
linker.ld	bindungsanordnung.ld
src/dateiSystem/elf/elf.go	src/dateiSystem/ausführbares_und_bindbares_Format/ausführbares_und_bindbares_Format.go
src/dateiSystem/elf/elfAbschnitt.go	src/dateiSystem/ausführbares_und_bindbares_Format/elfAbschnitt.go
src/dateiSystem/elf/elfKopf.go	src/dateiSystem/ausführbares_und_bindbares_Format/elfKopf.go
src/dateiSystem/elf/verknüpfungAbbildung.go	src/dateiSystem/ausführbares_und_bindbares_Format/verknüpfungAbbildung.go
src/ethernetRahmen/ethernetRahmen.go	src/rahmen_des_gemeinsamen_Übertragungsnetzes/rahmen_des_gemeinsamen_Übertragungsnetzes.go
src/icmp/icmp.go	src/netzverbundsteuerprotokoll/netzverbundsteuerprotokoll.go
src/ipv4/ipv4.go	src/netzverbundprotokoll4/netzverbundprotokoll4.go
src/steuerelement/steuerelement.go	src/bildschirmelement/bildschirmelement.go
src/treiber/maus/maus.go	src/treiber/zeigegerät/zeigegerät.go
src/udp/udp.go	src/benutzerdatagrammprotokoll/benutzerdatagrammprotokoll.go
tools/decode-virtualbox-log.sh	werkzeuge/serielles_Protokoll_auswerten.sh
tools/offsets.go	werkzeuge/strukturversätze.go
userland/posix/Makefile	benutzerbereich/posix/Makefile
userland/posix/TEST_RESULTS.md	benutzerbereich/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	benutzerbereich/posix/deklarationen/arpa/inet.h
userland/posix/include/engos/syscall.h	benutzerbereich/posix/deklarationen/engos/syscall.h
userland/posix/include/errno.h	benutzerbereich/posix/deklarationen/errno.h
userland/posix/include/fcntl.h	benutzerbereich/posix/deklarationen/fcntl.h
userland/posix/include/netinet/in.h	benutzerbereich/posix/deklarationen/netinet/in.h
userland/posix/include/stddef.h	benutzerbereich/posix/deklarationen/stddef.h
userland/posix/include/stdint.h	benutzerbereich/posix/deklarationen/stdint.h
userland/posix/include/sys/socket.h	benutzerbereich/posix/deklarationen/sys/socket.h
userland/posix/include/sys/stat.h	benutzerbereich/posix/deklarationen/sys/stat.h
userland/posix/include/sys/types.h	benutzerbereich/posix/deklarationen/sys/types.h
userland/posix/include/sys/utsname.h	benutzerbereich/posix/deklarationen/sys/utsname.h
userland/posix/include/sys/wait.h	benutzerbereich/posix/deklarationen/sys/wait.h
userland/posix/include/unistd.h	benutzerbereich/posix/deklarationen/unistd.h
userland/posix/linker.ld	benutzerbereich/posix/bindungsanordnung.ld
userland/posix/src/crt0.S	benutzerbereich/posix/implementierung/start.S
userland/posix/src/errno.c	benutzerbereich/posix/implementierung/fehlernummer.c
userland/posix/src/fcntl.c	benutzerbereich/posix/implementierung/dateisteuerung.c
userland/posix/src/socket.c	benutzerbereich/posix/implementierung/socket.c
userland/posix/src/stat.c	benutzerbereich/posix/implementierung/dateistatus.c
userland/posix/src/syscall.S	benutzerbereich/posix/implementierung/systemaufruf.S
userland/posix/src/unistd.c	benutzerbereich/posix/implementierung/unistd.c
userland/posix/tests/compile.c	benutzerbereich/posix/prüfungen/compile.c
userland/posix/tests/exec_runtime.c	benutzerbereich/posix/prüfungen/exec_runtime.c
userland/posix/tests/exec_target.c	benutzerbereich/posix/prüfungen/exec_target.c
userland/posix/tests/fork_runtime.c	benutzerbereich/posix/prüfungen/fork_runtime.c
userland/posix/tests/heap_runtime.c	benutzerbereich/posix/prüfungen/heap_runtime.c
userland/posix/tests/runtime.c	benutzerbereich/posix/prüfungen/runtime.c
userland/posix/tests/socket_runtime.c	benutzerbereich/posix/prüfungen/socket_runtime.c
userland/posix/tests/stdin_runtime.c	benutzerbereich/posix/prüfungen/stdin_runtime.c
