before	after
asm/gdt.inc	إقلاع_الآلة/gdt.inc
asm/goasmoffset.inc	إقلاع_الآلة/goasmoffset.inc
asm/multibootترويسة.s	إقلاع_الآلة/multibootترويسة.s
asm/rt0.s	إقلاع_الآلة/rt0.s
asm/ثابت.inc	إقلاع_الآلة/ثابت.inc
go.sh	ترجمة_النواة.sh
linker.ld	تخطيط_الربط.ld
src/icmp/icmp.go	src/بروتوكول_رسائل_التحكم_بالشبكة_المترابطة/بروتوكول_رسائل_التحكم_بالشبكة_المترابطة.go
src/ipv4/ipv4.go	src/بروتوكول_الشبكة_المترابطة_4/بروتوكول_الشبكة_المترابطة_4.go
src/udp/udp.go	src/بروتوكول_رزم_المستخدم/بروتوكول_رزم_المستخدم.go
src/إيثرنتإطار/إيثرنتإطار.go	src/إطار_شبكة_ذات_وسط_مشترك/إطار_شبكة_ذات_وسط_مشترك.go
src/عنصرواجهة/عنصرواجهة.go	src/عنصر_شاشة/عنصر_شاشة.go
src/مشغل/فأرة/فأرة.go	src/مشغل/جهاز_تأشير/جهاز_تأشير.go
src/ملفنظام/elf/elf.go	src/ملفنظام/صيغة_التنفيذ_والربط/صيغة_التنفيذ_والربط.go
src/ملفنظام/elf/elfترويسة.go	src/ملفنظام/صيغة_التنفيذ_والربط/elfترويسة.go
src/ملفنظام/elf/elfقسم.go	src/ملفنظام/صيغة_التنفيذ_والربط/elfقسم.go
src/ملفنظام/elf/رابطخريطة.go	src/ملفنظام/صيغة_التنفيذ_والربط/رابطخريطة.go
tools/decode-virtualbox-log.sh	أدوات/تحليل_السجل_التسلسلي.sh
tools/offsets.go	أدوات/إزاحات_البنية.go
userland/posix/Makefile	فضاء_المستخدم/posix/Makefile
userland/posix/TEST_RESULTS.md	فضاء_المستخدم/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	فضاء_المستخدم/posix/تصريحات/arpa/inet.h
userland/posix/include/engos/syscall.h	فضاء_المستخدم/posix/تصريحات/engos/syscall.h
userland/posix/include/errno.h	فضاء_المستخدم/posix/تصريحات/errno.h
userland/posix/include/fcntl.h	فضاء_المستخدم/posix/تصريحات/fcntl.h
userland/posix/include/netinet/in.h	فضاء_المستخدم/posix/تصريحات/netinet/in.h
userland/posix/include/stddef.h	فضاء_المستخدم/posix/تصريحات/stddef.h
userland/posix/include/stdint.h	فضاء_المستخدم/posix/تصريحات/stdint.h
userland/posix/include/sys/socket.h	فضاء_المستخدم/posix/تصريحات/sys/socket.h
userland/posix/include/sys/stat.h	فضاء_المستخدم/posix/تصريحات/sys/stat.h
userland/posix/include/sys/types.h	فضاء_المستخدم/posix/تصريحات/sys/types.h
userland/posix/include/sys/utsname.h	فضاء_المستخدم/posix/تصريحات/sys/utsname.h
userland/posix/include/sys/wait.h	فضاء_المستخدم/posix/تصريحات/sys/wait.h
userland/posix/include/unistd.h	فضاء_المستخدم/posix/تصريحات/unistd.h
userland/posix/linker.ld	فضاء_المستخدم/posix/تخطيط_الربط.ld
userland/posix/src/crt0.S	فضاء_المستخدم/posix/تنفيذ/بدء_التشغيل.S
userland/posix/src/errno.c	فضاء_المستخدم/posix/تنفيذ/رقم_الخطأ.c
userland/posix/src/fcntl.c	فضاء_المستخدم/posix/تنفيذ/التحكم_بالملف.c
userland/posix/src/socket.c	فضاء_المستخدم/posix/تنفيذ/socket.c
userland/posix/src/stat.c	فضاء_المستخدم/posix/تنفيذ/حالة_الملف.c
userland/posix/src/syscall.S	فضاء_المستخدم/posix/تنفيذ/نداء_النظام.S
userland/posix/src/unistd.c	فضاء_المستخدم/posix/تنفيذ/unistd.c
userland/posix/tests/compile.c	فضاء_المستخدم/posix/اختبارات/compile.c
userland/posix/tests/exec_runtime.c	فضاء_المستخدم/posix/اختبارات/exec_runtime.c
userland/posix/tests/exec_target.c	فضاء_المستخدم/posix/اختبارات/exec_target.c
userland/posix/tests/fork_runtime.c	فضاء_المستخدم/posix/اختبارات/fork_runtime.c
userland/posix/tests/heap_runtime.c	فضاء_المستخدم/posix/اختبارات/heap_runtime.c
userland/posix/tests/runtime.c	فضاء_المستخدم/posix/اختبارات/runtime.c
userland/posix/tests/socket_runtime.c	فضاء_المستخدم/posix/اختبارات/socket_runtime.c
userland/posix/tests/stdin_runtime.c	فضاء_المستخدم/posix/اختبارات/stdin_runtime.c
