original	localized	language
Activate	Aktiver	da
ActivateAll	AktiverAlle	da
Active	Aktiv	da
ActiveInterruptManager	Aktivinterruptmanager	da
ActiveMemoryManager	AktivHukommelsemanager	da
Add	Tilføj	da
AddDriver	Tilføjdriver	da
AddRunnableThread	Tilføjrunnablethread	da
AddTask	TilføjOpgave	da
AddThread	Tilføjthread	da
Address	Address	da
AlignedMalloc	Alignedmalloc	da
AlignmentCheck	Alignmentcheck	da
AllocateBlock	AllocateBlok	da
AllocatePID	Allocatepid	da
AmountOfMemory	BeløbafHukommelse	da
ArrayToUint16	Tabeltounsignedinteger16	da
ArrayToUint32	Tabeltounsignedinteger32	da
ArrayToUint48	Tabeltounsignedinteger48	da
ArrayToUint48_BE	Tabeltounsignedinteger48be	da
ArrayToUint64	Tabeltounsignedinteger64	da
Atime	Atime	da
AtimeNsec	Atimensec	da
BLOCKS_PER_BYTE	Blokperbyte	da
BLOCK_SIZE	BlokStørrelse	da
Backend	Backend	da
BaseAddr	Baseaddress	da
Bind	Bind	da
Blksize	Blksize	da
Blocked	Blocked	da
BlockedState	BlockedStatus	da
Blocks	Blok	da
BoundRangeExceeded	BoundIntervalexceeded	da
BroadcastMacAddress	Broadcastmacaddress	da
BytesPerSector	Bytepersector	da
BytesToString	BytetoStreng	da
Checksum	Checksum	da
Clear	Ryd	da
Clone	Clone	da
CloneAddressSpaceCOW	CloneaddressMellemrumcow	da
Connect	Tilslut	da
ContainsCoordinate	Containscoordinate	da
CopyPageFrameBlock	KopiérSideRammeBlok	da
CpuState	CpuStatus	da
Create	Create	da
CreateFromData	Createfradata	da
CreateFromFunction	CreatefraFunktion	da
CreatePtrFromFunction	CreateMarkørfraFunktion	da
Cs	Cs	da
Ctime	Ctime	da
CtimeNsec	Ctimensec	da
CurrentPID	Aktivepid	da
CurrentParentPID	Aktiveforælderpid	da
Data	Data	da
Deactivate	Deaktiver	da
Deactive	Deactive	da
Decrement	Decrement	da
Delete	Slet	da
DescriptorPrivilegeLevel	Descriptorprivilegelevel	da
DescriptorType	Descriptortype	da
Destroy	Destruer	da
Dev	Enhed	da
DeviceHasFunctions	EnhedhasFunktioner	da
DeviceNotAvailable	EnhedIkkeTilgængelig	da
Device_id	Enhedid	da
DisableInt	SlåfraHeltal	da
Disconnect	Afbryd	da
DivideByZero	Dividebyzero	da
DoHandleInterrupt	DoHåndtaginterrupt	da
DoubleFault	Doublefault	da
Draw	Draw	da
DriverManager	Drivermanager	da
Ds	Ds	da
Dynamic	Dynamisk	da
E2BIG	E2Stor	da
EACCES	Eacces	da
EADDRINUSE	Eaddrinuse	da
EAFNOSUPPORT	Eafnosupport	da
EAGAIN	Eagain	da
EBADF	Ebadf	da
EBUSY	Ebusy	da
ECHILD	Echild	da
EEXIST	Eexist	da
EFAULT	Efault	da
EFBIG	Efbig	da
EINTR	Eintr	da
EINVAL	Einval	da
EIO	Eio	da
EISDIR	Eisdir	da
EMFILE	Emfile	da
EMSGSIZE	Emsgsize	da
ENETUNREACH	Enetunreach	da
ENFILE	Enfile	da
ENODEV	Enodev	da
ENOENT	Enoent	da
ENOEXEC	Enoexec	da
ENOMEM	Enomem	da
ENOSPC	Enospc	da
ENOSYS	Enosys	da
ENOTCONN	Enotconn	da
ENOTDIR	Enotdir	da
ENOTTY	Enotty	da
EOPNOTSUPP	Eopnotsupp	da
EPERM	Eperm	da
EPROTONOSUPPORT	Eprotonosupport	da
ERANGE	Erange	da
EROFS	Erofs	da
ESPIPE	Espipe	da
ESRCH	Esrch	da
Eax	Eax	da
Ebp	Ebp	da
Ebx	Ebx	da
Ecx	Ecx	da
Edi	Edi	da
Edx	Edx	da
Eflags	Eflags	da
Eip	Eip	da
Elf	Elf	da
Elf32Dyn	Elf32dyn	da
Elf32Note	Elf32note	da
Elf32Rel	Elf32rel	da
Elf32Rela	Elf32rela	da
Elf32Sym	Elf32sym	da
ElfHeader	Elfheader	da
ElfProgramHeader	Elfprogramheader	da
ElfSectionHeader	Elfsectionheader	da
EnablePaging	Aktiverpaging	da
Enabled	Aktiveret	da
EntryNumber	EmneTal	da
EqualBytes	EqualByte	da
Es	Es	da
Esi	Esi	da
Esp	Esp	da
FPUBuffer	Fpubuffer	da
FPUOffset	FpuForskydning	da
Family	Family	da
FileName	FilNavn	da
Fill	Fill	da
FillRectangle	FillRektangel	da
First	First	da
FirstFree	FirstFri	da
FirstFreeSize	FirstFriStørrelse	da
Flags	Flag	da
FloatingPointException	Svævendepointexception	da
Flush	Flush	da
FlushTlsTable	FlushtlsTabel	da
Focussable	Focussable	da
Free	Fri	da
Fs	Fs	da
GB	Gb	da
GDT_ENTRIES	Gdtemne	da
GOT	Got	da
GPFException	Gpfexception	da
GatewayIP	Gatewayip	da
GdtAddressHigh	GdtaddressHøj	da
GdtAddressLow	GdtaddressLav	da
GdtDescriptor	Gdtdescriptor	da
GdtEntry	Gdtemne_2	da
GdtSize	GdtStørrelse	da
GetAt	Getat	da
GetBackend	Getbackend	da
GetBaseAddressRegister	Getbaseaddressregister	da
GetBitmaspSize	GetbitmaspStørrelse	da
GetBytesFromPtr	GetBytefraMarkør	da
GetCR0	Getcr0	da
GetCR2	Getcr2	da
GetCR3	Getcr3	da
GetCR4	Getcr4	da
GetColorIndex	GetFarveIndeks	da
GetDeviceDescriptor	GetEnheddescriptor	da
GetDriver	Getdriver	da
GetESP0	Getesp0	da
GetEntry	Getemne	da
GetFileSize	GetFilStørrelse	da
GetFocus	GetFokus	da
GetFrameBufferSegment	GetRammebuffersegment	da
GetFuncPtrFromPtr	GetfuncMarkørfraMarkør	da
GetFunctionName	GetFunktionNavn	da
GetHandler	Gethandler	da
GetIPAddress	Getipaddress	da
GetMACAddress	Getmacaddress	da
GetMACFromCache	Getmacfracache	da
GetNextReadyThread	GetNæsteKlarthread	da
GetNodeAt	GetKnudepunktat	da
GetProvider	Providerget	da
GetSS0	Getss0	da
GetStr	Getstr	da
GetUint32ArrayFromPtr	Getunsignedinteger32TabelfraMarkør	da
GetUintptrArrayFromPtr	GetunsignedintegerMarkørTabelfraMarkør	da
GetValue	GetVærdi	da
GetValueInPageDir	GetVærdiIndSideMappe	da
Gid	Gid	da
Gs	Gs	da
HandleException	Håndtagexception	da
HandleFatalInterruptFrame	HåndtagfatalinterruptRamme	da
HandleInterrupt	Håndtaginterrupt	da
HandleInterrupt1	Håndtaginterrupt1	da
HandleUserDatagramProtocolMessage	HåndtagBrugerdatagramprotocolMeddelelse	da
IDT_DESC_PRESENT	IdtdescriptorTilstedeværende	da
IDT_INTERRUPT_GATE	Idtinterruptgate	da
IDriver	IDriver	da
IEtherFrameHandler	IEthernetRammehandler	da
IInternetProtocolHandler	IInternetprotocolhandler	da
IInterruptHandler	IInterrupthandler	da
IKeyboardEventHandler	ITastatureventhandler	da
IMouseEventHandler	IMuseventhandler	da
IPCIControllerHandler	Ipcicontrollerhandler	da
IPCache	Ipcache	da
IP_BE	IpNetværkbyteorder	da
IRawDataHandler	IRawdatahandler	da
ITimerEventHandler	IStopureventhandler	da
IUserDatagramProtocolHandler	IBrugerdatagramprotocolhandler	da
IUserDatagramProtocolSocket	IBrugerdatagramprotocolSokkel	da
IWidget	IKontrol	da
Identify	Identify	da
Increment	Increment	da
IndexOf	Indeksaf	da
Init	Init	da
InitDriver	Initdriver	da
InitialThreadUserJump	InitialthreadBrugerjump	da
Ino	Ino	da
Install	Installér	da
Interrupt	Interrupt	da
InterruptActive	InterruptAktiv	da
InterruptDeactive	Interruptdeactive	da
InterruptManager	Interruptmanager	da
InterruptNumber	InterruptTal	da
InvalidOpcode	Ugyldigopcode	da
InvalidTSS	Ugyldigtss	da
IsKernel	Iskernel	da
IsPresent	IsTilstedeværende	da
IsUserSpace	IsBrugerMellemrum	da
KB	Kb	da
KCS_INDEX	KcsIndeks	da
KCS_SELECTOR	Kcsselector	da
