standard_identifier	native_identifier	category	current_role	status
in_addr_t	نوع_قيمة_عنوان_الشبكات_المترابطة	network-declaration	internetwork_address_value_type	project-proposal
in_port_t	نوع_رقم_منفذ_الاتصال	network-declaration	transport_port_number_type	project-proposal
in_addr	عنوان_الشبكات_المترابطة	network-declaration	internetwork_address	project-proposal
sockaddr_in	عنوان_نقطة_اتصال_الشبكات_المترابطة	network-declaration	internetwork_endpoint_address	project-proposal
s_addr	قيمة_العنوان	network-declaration	address_value	project-proposal
sin_family	عائلة_عناوين_الشبكات_المترابطة	network-declaration	internetwork_address_family	project-proposal
sin_port	رقم_منفذ_الاتصال	network-declaration	transport_port_number	project-proposal
sin_addr	محتوى_عنوان_الشبكات_المترابطة	network-declaration	internetwork_address_field	project-proposal
sin_zero	حشو_العنوان	network-declaration	address_padding	project-proposal
sa_family_t	نوع_عائلة_العناوين	network-declaration	address_family_type	project-proposal
sockaddr	عنوان_نقطة_الاتصال	network-declaration	endpoint_address	project-proposal
sa_family	عائلة_عناوين_نقطة_الاتصال	network-declaration	endpoint_address_family	project-proposal
sa_data	بيانات_العنوان	network-declaration	address_payload	project-proposal
socklen_t	نوع_طول_العنوان	network-declaration	address_length_type	project-proposal
AF_UNSPEC	عائلة_عناوين_غير_محددة	network-declaration	unspecified_address_family	project-proposal
AF_INET	رمز_عائلة_عناوين_الشبكات_المترابطة	network-declaration	internetwork_address_family_code	project-proposal
PF_INET	عائلة_بروتوكولات_الشبكات_المترابطة	network-declaration	internetwork_protocol_family	project-proposal
SOCK_STREAM	نقطة_تدفق_البيانات	network-declaration	stream_endpoint	project-proposal
SOCK_DGRAM	نقطة_رزم_البيانات	network-declaration	datagram_endpoint	project-proposal
SHUT_RD	إيقاف_الاستقبال	network-declaration	stop_receiving	project-proposal
SHUT_WR	إيقاف_الإرسال	network-declaration	stop_sending	project-proposal
SHUT_RDWR	إيقاف_الاتجاهين	network-declaration	stop_both_directions	project-proposal
