function	native_identifier	implementation	limits
_exit	إنهاء_فوري	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	قراءة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	كتابة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	إغلاق	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	نقل_موضع_الملف	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	إنشاء_عملية_فرعية	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	استبدال_البرنامج_الجاري	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	جلب_معرف_العملية	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	جلب_معرف_العملية_الأم	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	جلب_معرف_المستخدم	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	جلب_معرف_المستخدم_الفعلي	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	جلب_معرف_المجموعة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	جلب_معرف_المجموعة_الفعلي	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	فحص_صلاحيات_الوصول	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	تغيير_دليل_العمل	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	جلب_مسار_دليل_العمل	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	نسخ_مرجع_الملف_المفتوح	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	نسخ_مرجع_الملف_إلى_رقم_محدد	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	مزامنة_بيانات_الملف	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	مزامنة_جميع_البيانات	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	فحص_كون_الوصف_طرفية	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	تعيين_نهاية_الذاكرة_المتغيرة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	نقل_نهاية_الذاكرة_المتغيرة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	انتظار_العملية_الفرعية_المحددة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	انتظار_عملية_فرعية	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	فتح	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	إنشاء_ملف	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	التحكم_في_الملف	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	حالة_الملف	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	جلب_حالة_الرابط_نفسه	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	جلب_حالة_الملف_المفتوح	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	جلب_معلومات_النظام	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	تحويل_16_خانة_إلى_ترتيب_الشبكة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	تحويل_16_خانة_إلى_ترتيب_الآلة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htonl	تحويل_32_خانة_إلى_ترتيب_الشبكة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohl	تحويل_32_خانة_إلى_ترتيب_الآلة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
socket	إنشاء_نقطة_اتصال	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
bind	ربط_عنوان_محلي	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
connect	الاتصال_بالطرف_المقابل	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
listen	تهيئة_استقبال_الاتصالات	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
accept	قبول_اتصال	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getsockname	جلب_عنوان_النقطة_المحلية	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpeername	جلب_عنوان_الطرف_المقابل	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
send	إرسال	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recv	استقبال	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sendto	إرسال_إلى_وجهة	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recvfrom	استقبال_مع_عنوان_المصدر	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
shutdown	إغلاق_اتجاه_الاتصال	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
setsockopt	ضبط_خيار_نقطة_الاتصال	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
memcpy	memcpy	userspace-library	single-thread;C-locale;byte-strings;i386
memmove	memmove	userspace-library	single-thread;C-locale;byte-strings;i386
memset	memset	userspace-library	single-thread;C-locale;byte-strings;i386
memcmp	memcmp	userspace-library	single-thread;C-locale;byte-strings;i386
memchr	memchr	userspace-library	single-thread;C-locale;byte-strings;i386
strlen	strlen	userspace-library	single-thread;C-locale;byte-strings;i386
strnlen	strnlen	userspace-library	single-thread;C-locale;byte-strings;i386
strcpy	strcpy	userspace-library	single-thread;C-locale;byte-strings;i386
strncpy	strncpy	userspace-library	single-thread;C-locale;byte-strings;i386
stpcpy	stpcpy	userspace-library	single-thread;C-locale;byte-strings;i386
stpncpy	stpncpy	userspace-library	single-thread;C-locale;byte-strings;i386
strcat	strcat	userspace-library	single-thread;C-locale;byte-strings;i386
strncat	strncat	userspace-library	single-thread;C-locale;byte-strings;i386
strcmp	strcmp	userspace-library	single-thread;C-locale;byte-strings;i386
strncmp	strncmp	userspace-library	single-thread;C-locale;byte-strings;i386
strcoll	strcoll	userspace-library	single-thread;C-locale;byte-strings;i386
strxfrm	strxfrm	userspace-library	single-thread;C-locale;byte-strings;i386
strchr	strchr	userspace-library	single-thread;C-locale;byte-strings;i386
strrchr	strrchr	userspace-library	single-thread;C-locale;byte-strings;i386
strstr	strstr	userspace-library	single-thread;C-locale;byte-strings;i386
strspn	strspn	userspace-library	single-thread;C-locale;byte-strings;i386
strcspn	strcspn	userspace-library	single-thread;C-locale;byte-strings;i386
strpbrk	strpbrk	userspace-library	single-thread;C-locale;byte-strings;i386
strtok	strtok	userspace-library	single-thread;C-locale;byte-strings;i386
strtok_r	strtok_r	userspace-library	single-thread;C-locale;byte-strings;i386
strdup	strdup	userspace-library	single-thread;C-locale;byte-strings;i386
strndup	strndup	userspace-library	single-thread;C-locale;byte-strings;i386
strcasecmp	strcasecmp	userspace-library	single-thread;C-locale;byte-strings;i386
strncasecmp	strncasecmp	userspace-library	single-thread;C-locale;byte-strings;i386
isalnum	isalnum	userspace-library	single-thread;C-locale;byte-strings;i386
isalpha	isalpha	userspace-library	single-thread;C-locale;byte-strings;i386
isblank	isblank	userspace-library	single-thread;C-locale;byte-strings;i386
iscntrl	iscntrl	userspace-library	single-thread;C-locale;byte-strings;i386
isdigit	isdigit	userspace-library	single-thread;C-locale;byte-strings;i386
isgraph	isgraph	userspace-library	single-thread;C-locale;byte-strings;i386
islower	islower	userspace-library	single-thread;C-locale;byte-strings;i386
isprint	isprint	userspace-library	single-thread;C-locale;byte-strings;i386
